Talk_2021.8.24 13:10-15.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 5월 28일 월요일
2018. 5. 28. 16:03, (알 수 없음) : 11일밤에갈까
2018. 5. 28. 16:06, 정우 : 난
2018. 5. 28. 16:06, 경민 : 얀
2018. 5. 28. 16:06, 정우 : 못가지
2018. 5. 28. 16:06, 경민 : 니
2018. 5. 28. 16:06, 정우 : 임마
2018. 5. 28. 16:06, (알 수 없음) : 글쿤
2018. 5. 28. 16:06, (알 수 없음) : ?
2018. 5. 28. 16:06, 경민 : 여권
2018. 5. 28. 16:06, 경민 : 재발급
2018. 5. 28. 16:06, 경민 : 받앗댓냐
2018. 5. 28. 16:06, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:06, (알 수 없음) : 응;
2018. 5. 28. 16:06, (알 수 없음) : 그래서빨리가야함
2018. 5. 28. 16:06, 정우 : 미필ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:06, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:06, 정우 : 존나웃겨
2018. 5. 28. 16:06, (알 수 없음) : 안웃김
2018. 5. 28. 16:06, (알 수 없음) : ;;
2018. 5. 28. 16:06, 정우 : 1년짜리여권
2018. 5. 28. 16:06, (알 수 없음) : 존나근데
2018. 5. 28. 16:06, (알 수 없음) : 매년나갈거임
2018. 5. 28. 16:06, (알 수 없음) : ;;
2018. 5. 28. 16:06, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:06, 경민 : ㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:06, (알 수 없음) : 미필을무시하지마라
2018. 5. 28. 16:06, 경민 : ㅇ ㅏㅏㅏㅏㅏㅏ
2018. 5. 28. 16:06, 경민 : 존나가고싶네나도
2018. 5. 28. 16:06, 경민 : 어디든...
2018. 5. 28. 16:06, 경민 : ㅅㅂ…..
2018. 5. 28. 16:07, (알 수 없음) : ㅁㅊ
2018. 5. 28. 16:07, 경민 : 운전을못하니까
2018. 5. 28. 16:07, (알 수 없음) : 개싼데염?
2018. 5. 28. 16:07, (알 수 없음) : 105000원인데?
2018. 5. 28. 16:07, 경민 : 교통잘돼잇는대루
2018. 5. 28. 16:07, 경민 : 까야함
2018. 5. 28. 16:07, (알 수 없음) : 아
2018. 5. 28. 16:07, 경민 : ?
2018. 5. 28. 16:07, 경민 : 언제
2018. 5. 28. 16:07, 경민 : 편도아님?
2018. 5. 28. 16:07, (알 수 없음) : 맞아
2018. 5. 28. 16:07, 경민 : ㅋ
2018. 5. 28. 16:07, 경민 : 바보
2018. 5. 28. 16:07, 경민 : 스카이스캐너
2018. 5. 28. 16:07, 경민 : 조지라고
2018. 5. 28. 16:07, (알 수 없음) : 아씨
2018. 5. 28. 16:07, (알 수 없음) : 돌아오는게너무비싸
2018. 5. 28. 16:07, 경민 : 내가이미다봄
2018. 5. 28. 16:07, (알 수 없음) : 맘같으면
2018. 5. 28. 16:07, (알 수 없음) : 안돌아오고싶네
2018. 5. 28. 16:07, 경민 : 우리본부장님오늘
2018. 5. 28. 16:07, 경민 : 아까전에
2018. 5. 28. 16:07, 경민 : 회사에자리없다고
2018. 5. 28. 16:07, 경민 : 휴가간사람
2018. 5. 28. 16:07, 경민 : 자리
2018. 5. 28. 16:07, 경민 : ㅂ빼버리ㄱ라고
2018. 5. 28. 16:08, (알 수 없음) : 아니
2018. 5. 28. 16:08, (알 수 없음) : 씨발그럼
2018. 5. 28. 16:08, 경민 : 농담반
2018. 5. 28. 16:08, (알 수 없음) : 휴가제도를없애던가
2018. 5. 28. 16:08, 경민 : 진담반
2018. 5. 28. 16:08, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:08, 경민 : 근데
2018. 5. 28. 16:08, 경민 : 휴가를
2018. 5. 28. 16:08, (알 수 없음) : 농담도그런농담을!
2018. 5. 28. 16:08, 경민 : 3주동안가셔서
2018. 5. 28. 16:08, 경민 : ㅎ;
2018. 5. 28. 16:08, (알 수 없음) : 좋겠따
2018. 5. 28. 16:08, 경민 : 유럽가셧거든
2018. 5. 28. 16:08, (알 수 없음) : 역시몰빵
2018. 5. 28. 16:08, 경민 : 부럽
2018. 5. 28. 16:08, (알 수 없음) : 인생은몰빵
2018. 5. 28. 16:08, 경민 : 아니
2018. 5. 28. 16:08, 경민 : 5년차여서
2018. 5. 28. 16:08, 경민 : 2주
2018. 5. 28. 16:08, 경민 : 휴가
2018. 5. 28. 16:08, 경민 : 나옴
2018. 5. 28. 16:08, 경민 : 거기에
2018. 5. 28. 16:08, 경민 : 쉬는날껴잇고
2018. 5. 28. 16:08, 경민 : 휴가 2갠가더쓰니
2018. 5. 28. 16:08, 경민 : 3주댓음
2018. 5. 28. 16:08, 정우 : 그럼
2018. 5. 28. 16:08, 정우 : 본부장님휴가가면
2018. 5. 28. 16:08, 정우 : 자리빼버리셈
2018. 5. 28. 16:08, 정우 : 그리고 아 저번에 빼라고 하셔서요~
2018. 5. 28. 16:08, 정우 : ㄱㄱ
2018. 5. 28. 16:10, (알 수 없음) : 역시
2018. 5. 28. 16:10, (알 수 없음) : 이정우멋쟁이넴
2018. 5. 28. 16:10, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 스바라시
2018. 5. 28. 16:10, 경민 : 홍콩
2018. 5. 28. 16:10, 경민 : 6/6 ~ 6/9
2018. 5. 28. 16:10, 경민 : 20마넌
2018. 5. 28. 16:12, 경민 : ㅇ ㅏㅏㅏㅏㅏ
2018. 5. 28. 16:12, 경민 : 존나
2018. 5. 28. 16:12, 경민 : 떠나고싶어
2018. 5. 28. 16:12, 경민 : 씨발
2018. 5. 28. 16:12, 경민 : ㅠ
2018. 5. 28. 16:12, 정우 : 떠나
2018. 5. 28. 16:12, 정우 : 떠나요
2018. 5. 28. 16:12, 정우 : 둘이서
2018. 5. 28. 16:12, 정우 : 셋이서
2018. 5. 28. 16:12, 정우 : ?
2018. 5. 28. 16:12, 경민 : 혼자가면또재미없어
2018. 5. 28. 16:12, 정우 : 넷이서??
2018. 5. 28. 16:12, 정우 : 쨋든
2018. 5. 28. 16:12, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 다같이?
2018. 5. 28. 16:12, 정우 : 아니 나는
2018. 5. 28. 16:12, 정우 : 미안
2018. 5. 28. 16:12, 정우 : 못가
2018. 5. 28. 16:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:12, 경민 : 너는인정
2018. 5. 28. 16:12, 경민 : 가면..좀그르타
2018. 5. 28. 16:12, 정우 : 여친이 통금있어서
2018. 5. 28. 16:12, Sekwang Ludan : 링정
2018. 5. 28. 16:12, 정우 : 덩달아 나도 통금생김
2018. 5. 28. 16:12, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:12, 정우 : 시벌;;;;
2018. 5. 28. 16:12, 정우 : 존나 무슨논린지 모르겠지만
2018. 5. 28. 16:12, 정우 : 뭐 그렇대;;;;
2018. 5. 28. 16:12, (알 수 없음) : 그냥
2018. 5. 28. 16:12, (알 수 없음) : 삿포로갈까
2018. 5. 28. 16:13, (알 수 없음) : 삿포로리포로리
2018. 5. 28. 16:13, 정우 : 님
2018. 5. 28. 16:13, 정우 : 그냥 일주하고오셈
2018. 5. 28. 16:13, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:13, (알 수 없음) : 돈없음
2018. 5. 28. 16:13, 정우 : 빌려
2018. 5. 28. 16:13, (알 수 없음) : 담달에
2018. 5. 28. 16:13, (알 수 없음) : 6월5일에
2018. 5. 28. 16:13, (알 수 없음) : 돈빠지는거보고
2018. 5. 28. 16:13, (알 수 없음) : 판단한다
2018. 5. 28. 16:13, 정우 : 그러면 당연히
2018. 5. 28. 16:13, 정우 : 못가지 임마
2018. 5. 28. 16:13, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:13, 정우 : 니 이번달에 벌레짓한걸 생각해라
2018. 5. 28. 16:13, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:13, (알 수 없음) : !
2018. 5. 28. 16:13, (알 수 없음) : 생각은
2018. 5. 28. 16:13, 정우 : 좀 역대급벌레였는데
2018. 5. 28. 16:13, (알 수 없음) : 나중에한다
2018. 5. 28. 16:13, (알 수 없음) : 왜
2018. 5. 28. 16:13, (알 수 없음) : 아근데이번달진짜쩌름
2018. 5. 28. 16:13, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:13, 정우 : 우리 5월에만 3번은본듯
2018. 5. 28. 16:14, 정우 : ;;;;
2018. 5. 28. 16:14, (알 수 없음) : 그거아나
2018. 5. 28. 16:14, (알 수 없음) : 4월27일에
2018. 5. 28. 16:14, (알 수 없음) : 너네대전왔떤거
2018. 5. 28. 16:14, 정우 : ㅇㅇ
2018. 5. 28. 16:14, (알 수 없음) : .....!!!!!!!!
2018. 5. 28. 16:14, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 매주 보자
2018. 5. 28. 16:14, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:14, 정우 : 아니 나 진짜로
2018. 5. 28. 16:14, 정우 : 군대있을때보다 더자주봄
2018. 5. 28. 16:14, 정우 : ;;;;
2018. 5. 28. 16:14, 정우 : 그때 한달에한번 휴가나왔는데
2018. 5. 28. 16:14, 정우 : ;;;;
2018. 5. 28. 16:14, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:14, 경민 : 오재훈
2018. 5. 28. 16:14, 경민 : 이번주에
2018. 5. 28. 16:14, 경민 : 또
2018. 5. 28. 16:14, 경민 : 올라올수도
2018. 5. 28. 16:15, 경민 : 있뎄느넫
2018. 5. 28. 16:15, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:15, (알 수 없음) : 후니보기시로?><
2018. 5. 28. 16:15, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:15, 정우 : ㅇㅇ들었음
2018. 5. 28. 16:15, Sekwang Ludan : 후니 나는 왜 안바?
2018. 5. 28. 16:15, 정우 : 뉴캐슬온다며
2018. 5. 28. 16:15, Sekwang Ludan : 너무 해
2018. 5. 28. 16:15, (알 수 없음) : 세광이형
2018. 5. 28. 16:15, 정우 : 다와라
2018. 5. 28. 16:15, (알 수 없음) : 맨날
2018. 5. 28. 16:15, (알 수 없음) : 안보여
2018. 5. 28. 16:15, 정우 : 나 고등학교친구들이랑 있을예정
2018. 5. 28. 16:15, (알 수 없음) : 형도오든가뉴캐슬!
2018. 5. 28. 16:15, Sekwang Ludan : 나 이제 술도 먹는다고
2018. 5. 28. 16:15, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:15, 정우 : 오든가 그럼
2018. 5. 28. 16:15, Sekwang Ludan : 미친 왜 안불러??
2018. 5. 28. 16:15, Sekwang Ludan : ㅋㅋㅋ
2018. 5. 28. 16:15, (알 수 없음) : 아니!!!!
2018. 5. 28. 16:15, (알 수 없음) : 그럼
2018. 5. 28. 16:15, 정우 : 지금부르잖아
2018. 5. 28. 16:15, Sekwang Ludan : 안불러서 못갔지 마!!!
2018. 5. 28. 16:15, 정우 : 오셈
2018. 5. 28. 16:15, (알 수 없음) : 난 정우친구들이랑
2018. 5. 28. 16:15, (알 수 없음) : 놀래
2018. 5. 28. 16:15, 정우 : ;;
2018. 5. 28. 16:15, 정우 : 님
2018. 5. 28. 16:15, (알 수 없음) : ?
2018. 5. 28. 16:15, 정우 : 내친구들도 물어봐야함
2018. 5. 28. 16:15, 정우 : ;;;;
2018. 5. 28. 16:15, (알 수 없음) : 왜
2018. 5. 28. 16:15, (알 수 없음) : 싫셈
2018. 5. 28. 16:15, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그럼 난 정우 여친 친구들이랑 놀래
2018. 5. 28. 16:15, 정우 : 나는
2018. 5. 28. 16:15, 정우 : 거기는안놀래
2018. 5. 28. 16:15, (알 수 없음) : 형그건
2018. 5. 28. 16:15, (알 수 없음) : 진짜존나싫겠다
2018. 5. 28. 16:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:15, 정우 : 미안 형
2018. 5. 28. 16:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:15, Sekwang Ludan : 뭐 왜 ~~~!!!
2018. 5. 28. 16:16, Sekwang Ludan : 내가 뭘
2018. 5. 28. 16:16, 정우 : 아니
2018. 5. 28. 16:16, Sekwang Ludan : ㅋㅋㅋ 어디가 어때서
2018. 5. 28. 16:16, 정우 : 형재밌게놀라구
2018. 5. 28. 16:16, Sekwang Ludan : 아 ㅋㅋㅋ 나 혼자 감?
2018. 5. 28. 16:16, 정우 : 응
2018. 5. 28. 16:16, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:16, Sekwang Ludan : 그래서 이번주말 뉴캐슬이냐?
2018. 5. 28. 16:16, Sekwang Ludan : 가면 누가있어?
2018. 5. 28. 16:16, 정우 : 금요일
2018. 5. 28. 16:16, 정우 : 나
2018. 5. 28. 16:16, 정우 : 내고딩친구들
2018. 5. 28. 16:16, 정우 : 참고로 다남자
2018. 5. 28. 16:16, Sekwang Ludan : ㅂㅇ
2018. 5. 28. 16:16, Sekwang Ludan : 안가
2018. 5. 28. 16:16, Sekwang Ludan : ㅋㅋㅋ
2018. 5. 28. 16:16, 정우 : 거봐 형이 안오잖아
2018. 5. 28. 16:16, 정우 : ㅡㅡ
2018. 5. 28. 16:16, (알 수 없음) : 거봐
2018. 5. 28. 16:16, (알 수 없음) : 진짜
2018. 5. 28. 16:16, (알 수 없음) : 형
2018. 5. 28. 16:16, (알 수 없음) : 진짜
2018. 5. 28. 16:16, 경민 : dj
2018. 5. 28. 16:16, 경민 : sk
2018. 5. 28. 16:16, Sekwang Ludan : 쩝...
2018. 5. 28. 16:16, 경민 : 어
2018. 5. 28. 16:16, 경민 : 나
2018. 5. 28. 16:17, 경민 : 갈래
2018. 5. 28. 16:17, (알 수 없음) : !
2018. 5. 28. 16:17, 경민 : ㅎ;
2018. 5. 28. 16:17, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 정우 : 근데
2018. 5. 28. 16:17, 경민 : 마!!!!!
2018. 5. 28. 16:17, 정우 : 다여친있는데
2018. 5. 28. 16:17, 경민 : 아
2018. 5. 28. 16:17, 경민 : ㅇㅋ안감
2018. 5. 28. 16:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 정우 : 아니 
2018. 5. 28. 16:17, 정우 : 미안
2018. 5. 28. 16:17, 정우 : 공교롭게도
2018. 5. 28. 16:17, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 정우 : 그러네
2018. 5. 28. 16:17, 정우 : 진짜
2018. 5. 28. 16:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, Sekwang Ludan : 너무해
2018. 5. 28. 16:17, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 정우 : 다들 존나오래사겨서
2018. 5. 28. 16:17, 경민 : 아존나
2018. 5. 28. 16:17, 정우 : ;;;;
2018. 5. 28. 16:17, 경민 : 웃기네
2018. 5. 28. 16:17, 경민 : 행쇼하라고
2018. 5. 28. 16:17, Sekwang Ludan : 경민아 감주가자
2018. 5. 28. 16:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 경민 : 존해주라
2018. 5. 28. 16:17, Sekwang Ludan : 따로 놀자
2018. 5. 28. 16:17, 경민 : ...
2018. 5. 28. 16:17, 정우 : ㅇㅋ;;;;
2018. 5. 28. 16:17, 정우 : 아근데애들
2018. 5. 28. 16:17, 경민 : 감주
2018. 5. 28. 16:17, 정우 : 그런데가는거 좋아하는데
2018. 5. 28. 16:17, 정우 : 쓰레기냐
2018. 5. 28. 16:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 경민 : 오래
2018. 5. 28. 16:17, 경민 : 댔다며
2018. 5. 28. 16:17, 정우 : ㅇㅇㅇ...
2018. 5. 28. 16:17, Sekwang Ludan : 나 사실 안가봄
2018. 5. 28. 16:17, Sekwang Ludan : ㅋㅋㅋㅋㅋ
2018. 5. 28. 16:17, 정우 : 나도
2018. 5. 28. 16:18, Sekwang Ludan : 감주
2018. 5. 28. 16:18, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:18, 경민 : 감주가
2018. 5. 28. 16:18, 경민 : 거기가
2018. 5. 28. 16:18, Sekwang Ludan : ㅋㅋㅋ 클럽은 자주갔어도...
2018. 5. 28. 16:18, Sekwang Ludan : 감주는...
2018. 5. 28. 16:18, 경민 : 이름뭐지
2018. 5. 28. 16:18, 경민 : 다모토리?
2018. 5. 28. 16:18, 경민 : 거기ㅏ가
2018. 5. 28. 16:18, 정우 : ㄴㄴ
2018. 5. 28. 16:18, Sekwang Ludan : 아아 거긴 내스탈 아님
2018. 5. 28. 16:18, 경민 : 다른데가
2018. 5. 28. 16:18, 경민 : 다모토리안가봄
2018. 5. 28. 16:18, 정우 : 다모토리는
2018. 5. 28. 16:18, 정우 : 그냥
2018. 5. 28. 16:18, (알 수 없음) : 다모토리
2018. 5. 28. 16:18, 정우 : 아근데 누나 존나좋아할스탈
2018. 5. 28. 16:18, (알 수 없음) : 삽극혐쒸발
2018. 5. 28. 16:18, Sekwang Ludan : ㅠㅠ 거기 가면 정말 뭘해야될지 모르겠더라
2018. 5. 28. 16:18, (알 수 없음) : !
2018. 5. 28. 16:18, 정우 : 니 존나좋아하잖아
2018. 5. 28. 16:18, 정우 : 오재훈
2018. 5. 28. 16:18, (알 수 없음) : 아니
2018. 5. 28. 16:18, (알 수 없음) : 이제
2018. 5. 28. 16:18, (알 수 없음) : 안좋아함
2018. 5. 28. 16:18, (알 수 없음) : 별밤
2018. 5. 28. 16:18, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:18, (알 수 없음) : 좋아함
2018. 5. 28. 16:18, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 28. 16:18, (알 수 없음) : 대전오셈
2018. 5. 28. 16:18, (알 수 없음) : 밤사가게
2018. 5. 28. 16:18, Sekwang Ludan : 별밤...
