Talk_2021.8.24 13:11-88.txt
저장한 날짜 : 2021. 8. 24. 13:14



2021년 8월 9일 월요일
2021. 8. 9. 08:27, 원준오빠 : 나도모르게 든든댄스 든든대앤 든든댄
2021. 8. 9. 10:29, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 10:29, 정우 : 와이건
2021. 8. 9. 10:29, 정우 : ㄹㅇ아깝다
2021. 8. 9. 10:29, 정우 : 왜팔았지
2021. 8. 9. 10:32, 경민 : 나는
2021. 8. 9. 10:32, 경민 : 청약도안함 ㅎ ㅎ 귀찬항서(
2021. 8. 9. 10:34, abyss오재 : 헤이킫
2021. 8. 9. 10:34, abyss오재 : 클로쥬얼아이즈~
2021. 8. 9. 10:34, abyss오재 : 답답해도조금만참아
2021. 8. 9. 10:34, abyss오재 : 여기~~~~전쟁터에서
2021. 8. 9. 10:34, abyss오재 : 이명이끝나면비명이들리테니까
2021. 8. 9. 10:35, 경민 : 오늘부터예얃이네
2021. 8. 9. 10:35, 경민 : 재환오빠오눌해야겟누
2021. 8. 9. 10:35, 경민 : 아니지오빤이미맞앗구나
2021. 8. 9. 10:45, 빠충 : 홀
2021. 8. 9. 10:45, 빠충 : 님덜
2021. 8. 9. 10:45, 빠충 : 저 내일 예약임
2021. 8. 9. 10:53, 경민 : ㅊㅋㅊㅋ
2021. 8. 9. 10:54, 원준오빠 : ㅎㅎ ㅎㅇ2
2021. 8. 9. 10:54, 경민 : ㅎㅎ;ㅎ;;
2021. 8. 9. 10:54, 경민 : 아니나는
2021. 8. 9. 10:54, 원준오빠 : ㄷㅂㄷㅂ
2021. 8. 9. 10:54, 경민 : 저번에
2021. 8. 9. 10:55, 경민 : sk 머냐그거
2021. 8. 9. 10:55, 경민 : 바이오사이언슨가
2021. 8. 9. 10:55, 경민 : 상장햇을때
2021. 8. 9. 10:55, 경민 : 몇백인가몇천근야때려슨데
2021. 8. 9. 10:55, 경민 : 1주도배정못받아서
2021. 8. 9. 10:55, 경민 : 에이시발안해학
2021. 8. 9. 10:55, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 10:55, 경민 : ㄷ안햇지
2021. 8. 9. 11:15, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 11:15, 원준오빠 : 나는 그냥.. 돈도없구 귀찮아서..
2021. 8. 9. 11:15, 원준오빠 : 까비쓴이네...
2021. 8. 9. 11:34, 원준오빠 : 슬리피랑 딘딘 촬영하는거ㅜ봄
2021. 8. 9. 11:34, 원준오빠 : 슬리피 개크고 딘딘 ㄹㅇ 일반인이네
2021. 8. 9. 11:44, abyss오재 : ㅋㅋㅋㅋㅋ
2021. 8. 9. 12:45, abyss오재 : 샵검색 : #봉쥬르 술상
2021. 8. 9. 12:46, abyss오재 : 아 미친
2021. 8. 9. 12:46, abyss오재 : 갑자기
2021. 8. 9. 12:46, abyss오재 : 입짧은햇님
2021. 8. 9. 12:46, abyss오재 : 인스타가서보는데
2021. 8. 9. 12:46, abyss오재 : 왜케익숙한얼굴인거같지
2021. 8. 9. 12:46, abyss오재 : 이러고생각해보니
2021. 8. 9. 12:46, abyss오재 : 뉴캐슬이모님느낌잇네
2021. 8. 9. 12:47, abyss오재 : ;;;;;;;;;;;;
2021. 8. 9. 12:59, 원준오빠 : ㄱ
2021. 8. 9. 13:00, abyss오재 : ㄱ
2021. 8. 9. 13:02, 원준오빠 : 전에 본적있는데네
2021. 8. 9. 13:02, 원준오빠 : 낮에도 저녁메뉴 되겎지?
2021. 8. 9. 13:02, 원준오빠 : ;
2021. 8. 9. 13:10, abyss오재 : 어우
2021. 8. 9. 13:10, abyss오재 : 깔끔해보이네
2021. 8. 9. 13:10, abyss오재 : 조저
2021. 8. 9. 14:45, 원준오빠 : 잔여백신 왜케 많지?
2021. 8. 9. 14:46, 원준오빠 : AZ 그냥 맞으면 되나;
2021. 8. 9. 14:46, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 14:47, abyss오재 : 대봑
2021. 8. 9. 14:47, abyss오재 : 내일할거아님?
2021. 8. 9. 14:47, 원준오빠 : 뭘 내일해?
2021. 8. 9. 14:47, abyss오재 : 그거
2021. 8. 9. 14:47, abyss오재 : 예약
2021. 8. 9. 14:47, abyss오재 : 사진
2021. 8. 9. 14:47, abyss오재 : 뭐지나도넘쳐
2021. 8. 9. 14:48, 원준오빠 : az는 넘치나봄; 뭐지
2021. 8. 9. 14:48, 경민 : 오늘부터갑자기
2021. 8. 9. 14:49, 경민 : 넘치던데오전부터
2021. 8. 9. 14:49, 경민 : 근데
2021. 8. 9. 14:49, 경민 : az맞지마셈
2021. 8. 9. 14:49, 원준오빠 : 그치
2021. 8. 9. 14:49, 경민 : 내일예약ㅎ'
2021. 8. 9. 14:49, 원준오빠 : 내일은 먼데?
2021. 8. 9. 14:49, abyss오재 : 오늘부턴가
2021. 8. 9. 14:49, abyss오재 : 18-49도
2021. 8. 9. 14:49, abyss오재 : 이제예약하잖아
2021. 8. 9. 14:50, abyss오재 : 이거
2021. 8. 9. 14:50, 경민 : 아 오빠는 좀 늦게하겠네 8일
2021. 8. 9. 14:50, 경민 : 오늘부턴데
2021. 8. 9. 14:50, 경민 : 9일시작이라
2021. 8. 9. 14:50, 경민 : 오빠는 18일가능
2021. 8. 9. 14:50, 경민 : 3/8맞나?;
2021. 8. 9. 14:51, Sekwang Ludan : ㄷㄷ 다들 백신 맞네~
2021. 8. 9. 14:51, 원준오빠 : ㅇㅇ
2021. 8. 9. 14:51, Sekwang Ludan : 진통소염제 꼭 준비하도록
2021. 8. 9. 14:51, 원준오빠 : az보다 모더나가 나음?
2021. 8. 9. 14:51, 원준오빠 : 샵검색 : #모더나 부작용 탈모
2021. 8. 9. 14:51, Sekwang Ludan : https://youtube.com/watch?v=A0F5b5vGRJA&feature=share
2021. 8. 9. 14:52, 경민 : 엥!
2021. 8. 9. 14:52, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 14:52, 원준오빠 : 구라겎지 저거?
2021. 8. 9. 14:52, 빠충 : 와
2021. 8. 9. 14:52, 빠충 : 개당황스럽네 진짜
2021. 8. 9. 14:52, 빠충 : az넘쳐나네
2021. 8. 9. 14:52, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 14:52, 원준오빠 : 샵검색 : #모더나 백신
2021. 8. 9. 14:52, 원준오빠 : 히밤
2021. 8. 9. 14:52, 경민 : ;
2021. 8. 9. 14:52, 빠충 : 내일 일단 예약 좀 해보고
2021. 8. 9. 14:53, 경민 : ㅅㅂ
2021. 8. 9. 14:53, 경민 : 모더나ㅠ
2021. 8. 9. 14:53, 경민 : 맞게해조ㅠ
2021. 8. 9. 14:53, 빠충 : 각재봄
2021. 8. 9. 14:53, 원준오빠 : 이거 병원새끼들 꼼쳐놓은거
2021. 8. 9. 14:53, 원준오빠 : 푸는거아님?
2021. 8. 9. 14:53, 빠충 : 아
2021. 8. 9. 14:53, 경민 : ㄹㅇ
2021. 8. 9. 14:53, 원준오빠 : 이제 다 열리니까?
2021. 8. 9. 14:53, 경민 : 극혐
2021. 8. 9. 14:53, 경민 : ㅋㅋㅋ
2021. 8. 9. 14:53, 원준오빠 : 어이없네
2021. 8. 9. 14:53, 빠충 : 아스트라제네카는 50세 이상이구나
2021. 8. 9. 14:53, 경민 : 30일걸?
2021. 8. 9. 14:54, 빠충 : 잠만
2021. 8. 9. 14:54, 빠충 : 사진
2021. 8. 9. 14:54, 빠충 : ㄴㄴㄴ50
2021. 8. 9. 14:54, 빠충 : 50세 이상은 많이 맞아서 남나봄
2021. 8. 9. 14:54, 원준오빠 : 아 ㄹㅇ?
2021. 8. 9. 14:55, 경민 : 엥50이구나
2021. 8. 9. 14:55, 경민 : ㅁㅊ
2021. 8. 9. 14:55, 원준오빠 : 50이상이네
2021. 8. 9. 14:55, 빠충 : 50세 이상 이미 예약 한번 때렸자너
2021. 8. 9. 14:55, 빠충 : 그래서 남는거네
2021. 8. 9. 14:55, 경민 : 30이상인거도
2021. 8. 9. 14:55, 경민 : 잇지않음?
2021. 8. 9. 14:55, 빠충 : 그건 걍 저번 백신이었을걸?
2021. 8. 9. 14:56, 경민 : 그런가
2021. 8. 9. 14:56, 경민 : 울엄빠는모더나맞음..
2021. 8. 9. 14:56, 경민 : 부럽;
2021. 8. 9. 14:56, 빠충 : 오우 근데 이것도 좀 ㅈ같은게
2021. 8. 9. 14:56, 빠충 : 있는데 못맞네;
2021. 8. 9. 14:56, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 14:56, 빠충 : 왜보여줌...
2021. 8. 9. 14:56, Sekwang Ludan : 교차접종만 아니면 다행이라고 생각함 ㅠㅠ
2021. 8. 9. 14:57, 빠충 : 샵검색 : #교차접종
2021. 8. 9. 14:57, 빠충 : 엥
2021. 8. 9. 14:57, 빠충 : 좋다는데 어케 생각함
2021. 8. 9. 14:57, 빠충 : 근데 죽을 수도 있네
2021. 8. 9. 14:57, Sekwang Ludan : ㄷㄷㄷ 과연?
2021. 8. 9. 14:57, 빠충 : 인생베팅
2021. 8. 9. 14:57, 빠충 : 개쫄릭
2021. 8. 9. 14:57, 경민 : ㅁㅊ
2021. 8. 9. 14:57, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 14:58, 경민 : 개무섭
2021. 8. 9. 14:58, Sekwang Ludan : https://v.kakao.com/v/20210303112711338?from=tgt
2021. 8. 9. 14:58, Sekwang Ludan : 만든애들이 아니라는거 보면 아니지 않을까?
2021. 8. 9. 16:09, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 16:21, 원준오빠 : 토마토베이글 맛있다
2021. 8. 9. 16:21, 원준오빠 : 참고해
2021. 8. 9. 16:26, 원준오빠 : 개웃기넴
2021. 8. 9. 16:27, 원준오빠 : 플젝하는제 수석 한명 나가서
2021. 8. 9. 16:27, 원준오빠 : 나랑 팀이던 수석님이 그거 담당하고
2021. 8. 9. 16:27, 원준오빠 : 우리팀 수석님이 하던거 나보고 하래
2021. 8. 9. 16:27, 빠충 : 형 수석됨?
2021. 8. 9. 16:27, 원준오빠 : 사원월급받고 수석일하게생김
2021. 8. 9. 16:28, 원준오빠 : 그런긋
2021. 8. 9. 16:28, 빠충 : 배앰하네
2021. 8. 9. 16:28, 원준오빠 : 신수석이라불러주셈
2021. 8. 9. 16:28, 원준오빠 : 페이그레이드는 준나 프라이빗인데
2021. 8. 9. 16:28, 빠충 : 신슥삭
2021. 8. 9. 16:28, 원준오빠 : 스스긋그슥
2021. 8. 9. 16:28, 원준오빠 : 어이없네
2021. 8. 9. 16:28, 빠충 : 슉슉
2021. 8. 9. 16:28, 원준오빠 : 슈슉
2021. 8. 9. 16:28, 빠충 : 슈수슉슉
2021. 8. 9. 16:28, 원준오빠 : 슈슛ㄱ 시발롬아 슈숙 슈슉 시 시벌륨아
2021. 8. 9. 16:28, 경민 : 극혐이누;;
2021. 8. 9. 16:28, 원준오빠 : 샵검색 : #슈슉 슉슉
2021. 8. 9. 16:29, 원준오빠 : 오늘은 머리 자르기로핶우니까
2021. 8. 9. 16:29, 원준오빠 : 다 필요없고 칼퇴허고
2021. 8. 9. 16:29, 원준오빠 : 낼부터 쌉야근각이네
2021. 8. 9. 16:59, 양우성 : 매일쌉야근
2021. 8. 9. 16:59, 양우성 : 쥭을거같다
2021. 8. 9. 17:22, abyss오재 : 다들살아라
2021. 8. 9. 17:29, 양우성 : 신수석 ㅎㅇㅌ..
2021. 8. 9. 17:33, abyss오재 : ㅅㅅㅅ
2021. 8. 9. 17:47, 부그뷰 : 슈슉셕
2021. 8. 9. 17:47, 부그뷰 : 슈슉슉슈
2021. 8. 9. 17:47, 부그뷰 : 슈셕 ㅊㅊ
2021. 8. 9. 17:47, 정우 : ㅌㅌㄱㄸ
2021. 8. 9. 17:47, 정우 : 슉슋슈ㅠ슈슈슈슈슛슈슈귯ㄱ
2021. 8. 9. 17:47, 부그뷰 : ㅊㅊ
2021. 8. 9. 17:50, 정우 : ㄱㅅㄱㅅ
2021. 8. 9. 18:09, 원준오빠 : 시벌롬아.. 슈슉
2021. 8. 9. 18:09, 원준오빠 : ㅌㅌㄱㄸ
2021. 8. 9. 18:10, 원준오빠 : ㅌㄱ ㄷㅈ?
2021. 8. 9. 18:10, 원준오빠 : ㄱㄱ
2021. 8. 9. 18:14, 빠충 : ㅌㅌㅌㅌ
2021. 8. 9. 18:16, abyss오재 : 나오늘언제퇴근이지
2021. 8. 9. 18:16, abyss오재 : 출근언제했는지아시는분
2021. 8. 9. 18:16, abyss오재 : 씨부리면서했을테넫
2021. 8. 9. 18:16, abyss오재 : 텐데
2021. 8. 9. 18:17, 정우 : 9시20분
2021. 8. 9. 18:17, 정우 : 9시37분
2021. 8. 9. 18:22, abyss오재 : ㄱㅅㄱㅅ
2021. 8. 9. 18:22, abyss오재 : 개시원할때가
2021. 8. 9. 18:22, abyss오재 : 버스타기준비중이었으니
2021. 8. 9. 18:22, abyss오재 : 한50분이겠네
2021. 8. 9. 18:22, 이석준 : 정성이네 저걸 찾아오네
2021. 8. 9. 18:22, 정우 : ㅎㅇㅎㅇ치니까
2021. 8. 9. 18:22, 정우 : 금방나오던데
2021. 8. 9. 18:22, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 18:23, abyss오재 : 47분퇴근이군
2021. 8. 9. 18:23, abyss오재 : 후
2021. 8. 9. 18:36, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ똑똑허누
2021. 8. 9. 18:36, 원준오빠 : 데이터분석 오졌네ㅋㅋㅋㅋ
2021. 8. 9. 18:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 18:37, 정우 : 이모티콘 
2021. 8. 9. 19:09, abyss오재 : 퇴근갈긴다
2021. 8. 9. 19:09, abyss오재 : 하지만오늘은집에서대기다
2021. 8. 9. 19:09, abyss오재 : 흡
2021. 8. 9. 19:10, 정우 : ㅠ
2021. 8. 9. 19:10, 정우 : 일하냐
2021. 8. 9. 19:10, 정우 : 일해라
2021. 8. 9. 19:12, abyss오재 : 대기조야대기조
2021. 8. 9. 19:13, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 19:23, 원준오빠 : 오늘공뷰조진다
2021. 8. 9. 19:23, 원준오빠 : 이직의지 화륵
2021. 8. 9. 19:24, 정우 : 조져
2021. 8. 9. 19:25, abyss오재 : 화라라락
2021. 8. 9. 19:25, 정우 : 더타올라라
2021. 8. 9. 19:25, 정우 : 하 나도 공부해야하는데
2021. 8. 9. 19:25, 정우 : 쌉귀찮네
2021. 8. 9. 19:25, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 19:26, 이석준 : 공부하자
2021. 8. 9. 19:26, abyss오재 : 고추장찌개
2021. 8. 9. 19:26, abyss오재 : Vs된찌
2021. 8. 9. 19:26, abyss오재 : 오늘은왡고찌가
2021. 8. 9. 19:26, abyss오재 : 땡기네
2021. 8. 9. 19:26, abyss오재 : 고추장찌개엔한잔이지~~~~~~~~~
2021. 8. 9. 19:28, abyss오재 : ㅇㅈㅇ한잔하냐
2021. 8. 9. 19:32, abyss오재 : 켕
2021. 8. 9. 19:32, abyss오재 : 오늘도에어컨을안끄고나갓엇네
2021. 8. 9. 19:36, 정우 : 아니;;;;
2021. 8. 9. 19:37, 원준오빠 : 환경 챙겨라
2021. 8. 9. 19:37, 빠충 : 에어컨 멈춰!
2021. 8. 9. 19:40, abyss오재 : 네..
2021. 8. 9. 19:44, 원준오빠 : (심각)
2021. 8. 9. 19:44, 원준오빠 : (심각)
2021. 8. 9. 19:58, 경민 : 샵검색 : #이재용 가석방
2021. 8. 9. 19:58, 경민 : ㅎㅇ
2021. 8. 9. 19:59, abyss오재 : 어시바
2021. 8. 9. 19:59, abyss오재 : 번역가격만 보려다가
2021. 8. 9. 19:59, abyss오재 : 맡겨버렸어
2021. 8. 9. 19:59, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 19:59, abyss오재 : ㅅㅂ;;;;;;;;;;;;;;;;;;
2021. 8. 9. 19:59, 경민 : 어캄;
2021. 8. 9. 19:59, abyss오재 : 아직작업안끝났는데
2021. 8. 9. 19:59, 경민 : 튀서안댐?
2021. 8. 9. 19:59, abyss오재 : 학교돈인데
2021. 8. 9. 19:59, 경민 : 취소
2021. 8. 9. 19:59, abyss오재 : ㅅㅂ;;;;;일단취소해달라고 메일
2021. 8. 9. 19:59, abyss오재 : 넣었는데
2021. 8. 9. 19:59, abyss오재 : 취소하는게안보임 ㅠ
2021. 8. 9. 19:59, 경민 : ㅁㅊ ㅜ
2021. 8. 9. 20:00, abyss오재 : 아니 ㅈ댔따
2021. 8. 9. 20:00, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 20:00, 경민 : ㅠ
2021. 8. 9. 20:01, abyss오재 : 어케해야하지
2021. 8. 9. 20:01, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아시바 이거답올떄까지
2021. 8. 9. 20:01, abyss오재 : 걍대긴가
2021. 8. 9. 20:02, 부그뷰 : ㅌㅌ
2021. 8. 9. 20:02, abyss오재 : 아니시바 왜바로들어가냐고
2021. 8. 9. 20:02, abyss오재 : ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
2021. 8. 9. 20:04, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 20:04, 빠충 : 번역 멈춰!
2021. 8. 9. 20:06, 부그뷰 : 멈춰!
2021. 8. 9. 20:06, 정우 : 멈춰!
2021. 8. 9. 20:06, abyss오재 : 너무초조하다
2021. 8. 9. 20:07, abyss오재 : ㅠ
2021. 8. 9. 20:07, 부그뷰 : 조아요 멈춰!
2021. 8. 9. 20:08, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 20:08, abyss오재 : ㅠ
2021. 8. 9. 20:08, abyss오재 : ㅇㅋ
2021. 8. 9. 20:08, 정우 : 왜 그건멈추지마
2021. 8. 9. 20:08, 정우 : ㅠ
2021. 8. 9. 20:08, 부그뷰 : 아 비오네
2021. 8. 9. 20:10, 정우 : 잇츠레이닝 맨~~~~
2021. 8. 9. 20:21, abyss오재 : 아
2021. 8. 9. 20:21, abyss오재 : 뭐지
2021. 8. 9. 20:21, abyss오재 : 아아오우아오우아
2021. 8. 9. 20:21, abyss오재 : 개멘붕이다
2021. 8. 9. 20:21, abyss오재 : 취소해달라했는데 답없는데
2021. 8. 9. 20:22, abyss오재 : 근데어차피오늘밤에맡기긴해야하는거였는데
2021. 8. 9. 20:22, abyss오재 : 그럼 걍취소하지말고진행해달라고 다시메일을보내놔야하나?
2021. 8. 9. 20:22, abyss오재 : 이모티콘 
2021. 8. 9. 20:28, 정우 : 진행을
2021. 8. 9. 20:28, 정우 : 다른걸로 해달라고
2021. 8. 9. 20:28, 정우 : 하면안되나?
2021. 8. 9. 20:32, 원준오빠 : ㅊㅋㅊㅋ
2021. 8. 9. 20:32, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ칠칠이누!
2021. 8. 9. 20:36, abyss오재 : 아직 다른게 완성이안됨
2021. 8. 9. 20:36, abyss오재 : 그리고저녁이라 연락이안되네
2021. 8. 9. 20:36, abyss오재 : ㅠ좆댔음;
2021. 8. 9. 20:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 20:36, 정우 : ㅠ
2021. 8. 9. 20:39, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 20:39, 원준오빠 : 그냥 허심틴회하게
2021. 8. 9. 20:39, 원준오빠 : ㄷㅈ 어떰
2021. 8. 9. 20:39, 원준오빠 : ;
2021. 8. 9. 20:39, abyss오재 : ㅎ 30만원
2021. 8. 9. 20:39, abyss오재 : 날리는거라
2021. 8. 9. 20:39, abyss오재 : ㅎ;;
2021. 8. 9. 20:39, abyss오재 : 일단
2021. 8. 9. 20:39, abyss오재 : 밥쌔림
2021. 8. 9. 20:40, 빠충 : 주식으로 벌어서 갚겠다 하셈
2021. 8. 9. 20:41, abyss오재 : ㅜ
2021. 8. 9. 21:12, 원준오빠 : 아직 연럭없냐ㅋㅋㅋㅋㅋㅌ
2021. 8. 9. 21:13, abyss오재 : ㅇㅇ,,,,
2021. 8. 9. 21:13, abyss오재 : 형근데궁금한거잇는데
2021. 8. 9. 21:13, abyss오재 : 필테언제언제함
2021. 8. 9. 21:22, abyss오재 : ㅇㅈㅇ
2021. 8. 9. 21:22, abyss오재 : 한판
2021. 8. 9. 21:22, abyss오재 : ㄱ?
2021. 8. 9. 21:24, 정우 : 한시간이따
2021. 8. 9. 21:24, 정우 : ㄱ
2021. 8. 9. 21:24, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 9. 21:24, 정우 : 아니 30분
2021. 8. 9. 21:24, 정우 : 10시딱ㄱ하자
2021. 8. 9. 21:24, abyss오재 : ㅇㅋㄷㅋ
2021. 8. 9. 21:25, abyss오재 : 아배부르니좀왼쪽으로누워잇음
2021. 8. 9. 21:25, 정우 : 굿
2021. 8. 9. 21:25, 정우 : 소화ㄱ
2021. 8. 9. 21:33, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 9. 21:33, abyss오재 : 한판
2021. 8. 9. 21:33, abyss오재 : 손 ㅍㄱ
2021. 8. 9. 21:33, abyss오재 : ㄱㄴ?
2021. 8. 9. 21:33, 정우 : ㄱㄴㄱㄴ
2021. 8. 9. 21:36, 원준오빠 : ㄱㄱ
2021. 8. 9. 21:36, 원준오빠 : 필테이게 주단위로 약속 잡는거더라
2021. 8. 9. 21:36, 원준오빠 : 쌤들 바쁨;
2021. 8. 9. 21:36, abyss오재 : ㄱㄱ
2021. 8. 9. 21:36, 원준오빠 : 나 이번주는 수금
2021. 8. 9. 21:36, abyss오재 : ㄱㄱㄱㄱ
2021. 8. 9. 21:37, abyss오재 : 수그음~~~???
2021. 8. 9. 21:37, abyss오재 : ㄱㄱ
2021. 8. 9. 21:37, 원준오빠 : 수21:00 금19:00
2021. 8. 9. 21:37, 원준오빠 : 김지우 선생님
2021. 8. 9. 21:37, abyss오재 : 그으음---??
2021. 8. 9. 21:37, abyss오재 : 일대일임?
2021. 8. 9. 21:37, 원준오빠 : ㅇㅇ
2021. 8. 9. 21:37, abyss오재 : 롤체 ㄱㄱ
2021. 8. 9. 21:37, abyss오재 : 오우
2021. 8. 9. 21:37, 원준오빠 : 들어와 제발
2021. 8. 9. 21:37, abyss오재 : ㄱㄱ
2021. 8. 9. 21:37, 원준오빠 : ㄱㄱ만 몇번째야
2021. 8. 9. 21:37, 원준오빠 : 한판하면 정우오겠네
2021. 8. 9. 21:38, 원준오빠 : 굿
2021. 8. 9. 21:39, 원준오빠 : ㅈㄱ
2021. 8. 9. 21:39, 원준오빠 : ㅈㅅ
2021. 8. 9. 21:40, abyss오재 : ㅇㅋ
2021. 8. 9. 21:40, abyss오재 : 욕박으러나왓다가
2021. 8. 9. 21:40, abyss오재 : 다시들어가야지
2021. 8. 9. 21:40, abyss오재 : 컹죠
2021. 8. 9. 21:40, 원준오빠 : ㄳㄳ
2021. 8. 9. 21:52, 정우 : 둘이 열심히 달리나보군
2021. 8. 9. 21:52, 정우 : 다음판들어감
2021. 8. 9. 21:56, 원준오빠 : 6등띠
2021. 8. 9. 21:57, 원준오빠 : 오오재 대박
2021. 8. 9. 21:57, abyss오재 : 아니어케
2021. 8. 9. 21:57, 원준오빠 : 2등에서 한방에 5등죔
2021. 8. 9. 21:57, abyss오재 : 니달리하나가안나와
2021. 8. 9. 21:57, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 9. 21:57, abyss오재 : 이성도못갓어
