Talk_2021.8.24 13:11-78.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 3일 일요일
2021. 1. 3. 22:36, abyss오재 : 경소봐야하는데티빙터졋어
2021. 1. 3. 23:57, abyss오재 : ㅇㅋ
2021. 1. 3. 23:57, abyss오재 : 샤워라고옴
2021. 1. 3. 23:57, 정우 : 오
2021. 1. 3. 23:57, abyss오재 : 생일니라
2021. 1. 3. 23:57, 정우 : 살아났네
2021. 1. 3. 23:58, abyss오재 : https://zoom.us/j/94828998194?pwd=dDR2ZDcydk5GaXA2K3BFMlZpOHd6dz09
2021. 1. 3. 23:58, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

2021년 1월 4일 월요일
2021. 1. 4. 00:01, 정우 : 오재훈 생축생축
2021. 1. 4. 00:01, 정우 : 감사감사
2021. 1. 4. 00:01, 원준오빠 : 생축생축
2021. 1. 4. 00:01, 경민 : 오재 ㅅㅊㅅㅊ
2021. 1. 4. 00:01, 경민 : 오머야 시작햇누
2021. 1. 4. 00:01, 경민 : ?
2021. 1. 4. 00:02, abyss오재 : ㄱㅅㄱㅅ
2021. 1. 4. 00:02, 원준오빠 : ㅇㅇㅇㅇ
2021. 1. 4. 00:09, abyss오재 : 내가종료하면
2021. 1. 4. 00:09, abyss오재 : 다나가진다구
2021. 1. 4. 00:09, 정우 : 예고와 실행을
2021. 1. 4. 00:09, abyss오재 : 맞지
2021. 1. 4. 00:09, 정우 : 같이하네
2021. 1. 4. 00:09, 경민 : ㅇㅇ
2021. 1. 4. 00:09, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 00:09, 경민 : 말하다가
2021. 1. 4. 00:09, 경민 : 긑남
2021. 1. 4. 00:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 00:09, 경민 : 생일잘 보내라누
2021. 1. 4. 00:09, 원준오빠 : 피피티 잘 만들라누
2021. 1. 4. 00:09, abyss오재 : 그러겟다누
2021. 1. 4. 00:09, 원준오빠 : 피잘만
2021. 1. 4. 00:09, abyss오재 : 일단자야겟다누
2021. 1. 4. 00:09, abyss오재 : 그럼
2021. 1. 4. 00:09, 원준오빠 : ㅂㅇㅂㅇ
2021. 1. 4. 00:09, abyss오재 : 요구르트4개먹었으니
2021. 1. 4. 00:09, abyss오재 : 둔둔하누
2021. 1. 4. 00:10, 정우 : 나도자야지
2021. 1. 4. 00:10, 정우 : ㅂㅇㅂㅇ
2021. 1. 4. 00:10, abyss오재 : ㅂㅇㅂㅇ
2021. 1. 4. 00:24, 원준오빠 : ㅂㅇㅂㅇㅂ
2021. 1. 4. 00:51, abyss오재 : gk
2021. 1. 4. 00:51, abyss오재 : 하우
2021. 1. 4. 00:51, abyss오재 : 쒸 시간잘가네
2021. 1. 4. 00:51, 경민 : 피피티
2021. 1. 4. 00:51, 경민 : 만드누
2021. 1. 4. 00:51, 경민 : ?
2021. 1. 4. 00:58, abyss오재 : 갑자기그러고잇긴한데
2021. 1. 4. 00:58, abyss오재 : 답이없누
2021. 1. 4. 02:08, 경민 : 잠이안와서큰일이누
2021. 1. 4. 02:09, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 02:09, abyss오재 : 1/4 완성했누...
2021. 1. 4. 02:09, 경민 : 잘햇누.,..
2021. 1. 4. 02:09, 경민 : 밤새누?
2021. 1. 4. 02:10, abyss오재 : 몰라..?
2021. 1. 4. 02:10, abyss오재 : 밤새진않을거같은데
2021. 1. 4. 02:10, abyss오재 : 한2/3만들고잘듯..?
2021. 1. 4. 02:10, abyss오재 : 하으 벌써 33페이지야
2021. 1. 4. 02:10, abyss오재 : ㅅㅂ;
2021. 1. 4. 02:11, abyss오재 : 한시간발표치고 양이많누;;;;;;
2021. 1. 4. 02:11, abyss오재 : 4개발표하려고하니
2021. 1. 4. 02:11, abyss오재 : 존나훑고넘어가야겟다
2021. 1. 4. 02:11, 이석준 : 빨리하셈
2021. 1. 4. 02:11, 경민 : 넌왜안자누?
2021. 1. 4. 02:12, 이석준 : 자다깼음
2021. 1. 4. 02:14, abyss오재 : 하고잇누
2021. 1. 4. 02:16, 경민 : 이시간에깨면어쩌누
2021. 1. 4. 02:17, 이석준 : 8시에 잤누
2021. 1. 4. 02:38, abyss오재 : 아씨
2021. 1. 4. 02:38, abyss오재 : 3시엔 자야
2021. 1. 4. 02:38, abyss오재 : 내일일어날텐데
2021. 1. 4. 02:38, abyss오재 : 각ㄱ안잡히누;
2021. 1. 4. 04:02, abyss오재 : ;
2021. 1. 4. 04:02, abyss오재 : 이젠잠이안오누
2021. 1. 4. 04:02, abyss오재 : 3/4했돠;;낼하면될거같은데
2021. 1. 4. 06:20, 부그뷰 : ㅎㅇ
2021. 1. 4. 08:10, abyss오재 : ㅎㅇㅎㅇ
2021. 1. 4. 08:25, 정우 : ㅎㅇㅎㅇ
2021. 1. 4. 08:55, abyss오재 : 이모티콘 
2021. 1. 4. 08:58, 경민 : ㅎㅇ
2021. 1. 4. 09:09, 빠충 : ㅎㅇ
2021. 1. 4. 09:09, 빠충 : https://youtu.be/ArZw8g4CTkc
2021. 1. 4. 09:33, 양우성 : 이모티콘 오재훈생축생축
2021. 1. 4. 09:33, 양우성 : 생일날 세미나 화이팅하라우
2021. 1. 4. 09:48, abyss오재 : ㅎㅇㅎㅇ
2021. 1. 4. 09:49, abyss오재 : 갬새갬새
2021. 1. 4. 10:19, abyss오재 : 아이번주펜트하우스마지막주다
2021. 1. 4. 10:36, abyss오재 : 춘식이귀엽누,,;;?
2021. 1. 4. 10:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 10:37, 정우 : 아
2021. 1. 4. 10:37, 정우 : 존나피곤해
2021. 1. 4. 10:37, abyss오재 : 와요새
2021. 1. 4. 10:37, abyss오재 : 온수매트블루투스로되냐
2021. 1. 4. 10:37, abyss오재 : ㅎㅋ
2021. 1. 4. 10:38, abyss오재 : 니출근몇시간걸림
2021. 1. 4. 10:38, abyss오재 : 대한항공은 첫날부터좋군
2021. 1. 4. 10:41, 정우 : 1시간20분
2021. 1. 4. 10:41, abyss오재 : 어우야
2021. 1. 4. 10:41, abyss오재 : 어제못만든 1/4만들고등장해봄
2021. 1. 4. 10:41, 정우 : 다시교육갈때랑
2021. 1. 4. 10:41, 정우 : 똑같아짐
2021. 1. 4. 10:41, 정우 : 그래서
2021. 1. 4. 10:41, 정우 : 오늘길에 스토브리그 한편때림
2021. 1. 4. 10:41, 정우 : 앞으로 왔다갔다하면서
2021. 1. 4. 10:41, abyss오재 : 좋네그건
2021. 1. 4. 10:41, 정우 : 드라마한편씩때림
2021. 1. 4. 10:41, abyss오재 : 펜트하우스
2021. 1. 4. 10:41, abyss오재 : 때려
2021. 1. 4. 10:41, 정우 : 다음드라마 추천받음
2021. 1. 4. 10:41, 정우 : 그거마고
2021. 1. 4. 10:41, 정우 : 말고
2021. 1. 4. 10:41, abyss오재 : 이번주가마지막임
2021. 1. 4. 10:41, abyss오재 : 왜?
2021. 1. 4. 10:41, 정우 : 그거
2021. 1. 4. 10:41, abyss오재 : 왜 대체 펜트하우스는
2021. 1. 4. 10:41, 정우 : 내갬성이 아님
2021. 1. 4. 10:41, abyss오재 : 안보는데?
2021. 1. 4. 10:41, 정우 : 너무무서워
2021. 1. 4. 10:41, abyss오재 : 호엥
2021. 1. 4. 10:41, abyss오재 : 경이로운소문보셈
2021. 1. 4. 10:41, 정우 : 쫄보라서
2021. 1. 4. 10:41, abyss오재 : 그럼
2021. 1. 4. 10:41, 정우 : 그거는
2021. 1. 4. 10:41, 정우 : 고려해봄
2021. 1. 4. 10:41, abyss오재 : ㅇㅋ,,
2021. 1. 4. 10:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 10:42, abyss오재 : 으 아 이거어케정리해야할지모르겠어
2021. 1. 4. 10:42, abyss오재 : 으
2021. 1. 4. 10:42, abyss오재 : 그래서넘겼던건데
2021. 1. 4. 10:42, abyss오재 : 휴
2021. 1. 4. 10:44, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 10:44, 정우 : 아 졸려
2021. 1. 4. 10:44, 정우 : 피곤해
2021. 1. 4. 10:49, abyss오재 : 안돼
2021. 1. 4. 10:49, abyss오재 : 첫날이잖아
2021. 1. 4. 10:58, 경민 : ㅇㅈㅇㅈ
2021. 1. 4. 10:58, 경민 : 이정우드라마서타일뭔데
2021. 1. 4. 10:58, 재환오빠 : 이모티콘 어제훈 생축축ㅎㅎㅎ
2021. 1. 4. 11:05, abyss오재 : 끠야ㅏ
2021. 1. 4. 11:05, abyss오재 : 이모티콘 
2021. 1. 4. 11:05, abyss오재 : 갬서합니다
2021. 1. 4. 11:06, abyss오재 : 오늘대한항공
2021. 1. 4. 11:06, abyss오재 : 일주팔아서
2021. 1. 4. 11:06, abyss오재 : 치킨먹기가능
2021. 1. 4. 11:06, abyss오재 : 이모티콘 
2021. 1. 4. 11:16, 경민 : 무슨치킨
2021. 1. 4. 11:16, 경민 : 먹음
2021. 1. 4. 11:19, abyss오재 : 모르겟음
2021. 1. 4. 11:19, abyss오재 : 뭐가맛잇나
2021. 1. 4. 11:28, 경민 : 허니콤보,,,
2021. 1. 4. 11:35, 부그뷰 : 식맛쇼
2021. 1. 4. 11:35, 부그뷰 : 넨네 ㄱㄱ
2021. 1. 4. 11:36, 부그뷰 : 그럼요 당연하죠
2021. 1. 4. 11:36, 부그뷰 : 넨네치킨
2021. 1. 4. 11:54, abyss오재 : 어우다만들었따
2021. 1. 4. 11:54, abyss오재 : 넨네?
2021. 1. 4. 11:58, 이석준 : 오재축
2021. 1. 4. 11:58, 경민 : ㅊㅋㅊㅋ
2021. 1. 4. 12:10, abyss오재 : ㄱㅅㄱㅅㄱㅅ
2021. 1. 4. 12:10, abyss오재 : 이모티콘 
2021. 1. 4. 12:37, abyss오재 : 밥20분컷가능인가
2021. 1. 4. 12:37, abyss오재 : 스피드전하고옴
2021. 1. 4. 12:44, 경민 : ㄱㄴㄱㄴ
2021. 1. 4. 12:47, abyss오재 : 와오늘부터전국다섯명금지네
2021. 1. 4. 12:50, abyss오재 : 밥다먹음
2021. 1. 4. 12:50, abyss오재 : ㅅㅂ존나순삿
2021. 1. 4. 13:08, abyss오재 : 이모티콘 
2021. 1. 4. 13:08, abyss오재 : 파댕이생파있음
2021. 1. 4. 13:14, 정우 : 이모티콘 
2021. 1. 4. 13:16, abyss오재 : 이모티콘 
2021. 1. 4. 14:28, abyss오재 : 샵검색: #삼성전자
2021. 1. 4. 14:28, abyss오재 : 또달리는데
2021. 1. 4. 14:28, 경민 : ㅋㅋㅋㅋㅋ개ㅑ미쳣다진짜
2021. 1. 4. 14:28, abyss오재 : 얘이상해
2021. 1. 4. 14:28, 경민 : 끝을모르누;
2021. 1. 4. 14:28, 경민 : ㄹㅇ;;;
2021. 1. 4. 14:28, 경민 : 니
2021. 1. 4. 14:28, 경민 : 얼마범
2021. 1. 4. 14:28, 경민 : ?
2021. 1. 4. 14:28, abyss오재 : 나 삼전
2021. 1. 4. 14:28, abyss오재 : 15.5퍼 벌엇대
2021. 1. 4. 14:28, abyss오재 : 이모티콘 
2021. 1. 4. 14:28, 경민 : ㅁㅊ
2021. 1. 4. 14:28, 경민 : 보렀?ㅋㅋㅋ
2021. 1. 4. 14:28, 경민 : 벌써?ㅋㅋㅋ
2021. 1. 4. 14:28, abyss오재 : ㅇㅇ
2021. 1. 4. 14:28, abyss오재 : 한달도안된거같은데
2021. 1. 4. 14:28, abyss오재 : 존나빼고싶음ㅋ
2021. 1. 4. 14:29, abyss오재 : ㅠ
2021. 1. 4. 14:29, 경민 : 개지린다진짜;
2021. 1. 4. 14:30, abyss오재 : ㄹㅇ
2021. 1. 4. 14:30, abyss오재 : 이모티콘 
2021. 1. 4. 14:30, abyss오재 : 주식에미치는이유를알겟누
2021. 1. 4. 14:30, 경민 : 잃으면 잃은대로미침
2021. 1. 4. 14:30, 경민 : 현대도오늘
2021. 1. 4. 14:30, 경민 : 9퍼올랏누
2021. 1. 4. 14:30, 경민 : ?
2021. 1. 4. 14:30, 경민 : 나는빢쳐서
2021. 1. 4. 14:30, 경민 : SKT다팜ㅎㅎ
2021. 1. 4. 14:30, 경민 : ㅈ같은회사!
2021. 1. 4. 14:31, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 14:31, abyss오재 : 현대카
2021. 1. 4. 14:31, abyss오재 : 리얼이네,,,,
2021. 1. 4. 14:31, 경민 : 난그냥
2021. 1. 4. 14:31, abyss오재 : 보스톤
2021. 1. 4. 14:31, 경민 : ㅎ주식
2021. 1. 4. 14:31, 경민 : 접어야할듓듓따
2021. 1. 4. 14:31, abyss오재 : 비트코인
2021. 1. 4. 14:31, abyss오재 : 미첫다
2021. 1. 4. 14:31, 경민 : 바보멍청이
2021. 1. 4. 14:31, 경민 : 왜얼만데
2021. 1. 4. 14:31, abyss오재 : 샵검색: #비트코인 시세 1일
2021. 1. 4. 14:31, abyss오재 : 샵검색: #이더리움 시세 1일
2021. 1. 4. 14:31, 경민 : 거기도 끝을 모르네
2021. 1. 4. 14:31, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 14:31, abyss오재 : 랼루
2021. 1. 4. 14:32, 경민 : 내거빼고다잘가누
2021. 1. 4. 14:32, abyss오재 : 이모티콘 
2021. 1. 4. 14:32, abyss오재 : 허리흔즐어
2021. 1. 4. 14:32, abyss오재 : 이모티콘 
2021. 1. 4. 15:16, 경민 : SKT이제 내가 팔아서 훨훨날아가는거아니누?
2021. 1. 4. 15:19, abyss오재 : 들어가야겠누;
2021. 1. 4. 15:22, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 15:22, 경민 : 몰겠다누나는그냥
2021. 1. 4. 15:22, 경민 : 나와버리겟다누
2021. 1. 4. 15:22, 경민 : 답답하다누
2021. 1. 4. 15:23, abyss오재 : ㅋㅋㅋㅋㅋ
2021. 1. 4. 15:23, abyss오재 : 으아
2021. 1. 4. 15:23, abyss오재 : 세미나듣는다고이어폰네시간끼고잇는것도일이네
2021. 1. 4. 15:23, abyss오재 : 귀아파
2021. 1. 4. 15:23, abyss오재 : 이모티콘 
2021. 1. 4. 15:25, 경민 : ㅋㅋㅋㅋ
2021. 1. 4. 15:25, 경민 : 오늘스케줄
2021. 1. 4. 15:25, 경민 : 머업누
2021. 1. 4. 15:25, 경민 : 석대랑안노누
2021. 1. 4. 15:25, abyss오재 : 오늘
2021. 1. 4. 15:25, abyss오재 : 아무것도업누,,,
2021. 1. 4. 15:25, abyss오재 : ;;;
2021. 1. 4. 15:25, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 15:25, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 15:26, 경민 : 아
2021. 1. 4. 15:26, 경민 : 강화유리
2021. 1. 4. 15:26, 경민 : 사야해;;
2021. 1. 4. 15:26, 경민 : 귀찮누
2021. 1. 4. 15:26, abyss오재 : ㅋㅋㅋㅋㅋ
2021. 1. 4. 15:26, abyss오재 : 강화유리는
2021. 1. 4. 15:26, abyss오재 : 모누
2021. 1. 4. 15:27, 경민 : 아이폰
2021. 1. 4. 15:27, 경민 : ㅋㅋㅋㅋㅋ
2021. 1. 4. 15:27, 경민 : 액정뽀사진거..
2021. 1. 4. 15:29, abyss오재 : 아
2021. 1. 4. 15:34, abyss오재 : 항소희
2021. 1. 4. 15:34, abyss오재 : 존나존존에임
2021. 1. 4. 15:34, 원준오빠 : ㅇㅈㅇㅈ
2021. 1. 4. 15:34, 원준오빠 : 와 도수치료
2021. 1. 4. 15:35, 원준오빠 : 몸 찢고왔다 아품
2021. 1. 4. 15:35, abyss오재 : 형이제
2021. 1. 4. 15:35, abyss오재 : 매주받는거임그거
2021. 1. 4. 15:35, abyss오재 : 저번에도받지않앗누
2021. 1. 4. 15:35, 원준오빠 : ㅇㅇㅇㅇ
2021. 1. 4. 15:36, 원준오빠 : 일주일에 듀번씩
2021. 1. 4. 15:36, 원준오빠 : 몸이 너무 불균형하데
2021. 1. 4. 15:36, 원준오빠 : 엑스레이 보니가
2021. 1. 4. 15:36, 원준오빠 : 골반도 삐뚤
2021. 1. 4. 15:36, 원준오빠 : 어깨도 삐뚤임
2021. 1. 4. 15:37, 경민 : 나도
2021. 1. 4. 15:37, abyss오재 : 깡스
2021. 1. 4. 15:37, 경민 : 삐둘빼둘
2021. 1. 4. 15:37, 경민 : 조질거같은데
2021. 1. 4. 15:37, abyss오재 : 도수치료비쌈?
2021. 1. 4. 15:37, abyss오재 : 샵검색: #도수치료
2021. 1. 4. 15:37, 경민 : 나전에
2021. 1. 4. 15:37, abyss오재 : 존나시원하게아프겟다
2021. 1. 4. 15:37, 경민 : 체외충격파인가
2021. 1. 4. 15:37, 경민 : 그거받는데
2021. 1. 4. 15:37, 경민 : 5번에20만원냄 ㅅㅂ
2021. 1. 4. 15:37, 경민 : 사기당한듯그때
2021. 1. 4. 15:37, abyss오재 : 비싸긴하다
2021. 1. 4. 15:38, 경민 : 사진
2021. 1. 4. 15:38, 경민 : 다시돈벌기
2021. 1. 4. 15:38, 경민 : 시작함
2021. 1. 4. 15:38, 경민 : 30억
2021. 1. 4. 15:38, 경민 : 달성함
2021. 1. 4. 15:38, abyss오재 : ㅅㅂ개빠르누
2021. 1. 4. 15:39, 원준오빠 : ㄴㄴㄴ싼거임
2021. 1. 4. 15:39, 경민 : 엥
2021. 1. 4. 15:39, 경민 : 5번에 20이 싼거누ㅠ
2021. 1. 4. 15:39, 원준오빠 : 체외충걱파 6-7만원함
2021. 1. 4. 15:39, 경민 : 아구래?
2021. 1. 4. 15:39, 원준오빠 : 한번에
2021. 1. 4. 15:40, 원준오빠 : 실비들어야함 ㅎㅋ
2021. 1. 4. 15:40, 원준오빠 : ?
2021. 1. 4. 15:40, abyss오재 : 오우어
2021. 1. 4. 15:40, 원준오빠 : ?
2021. 1. 4. 15:40, abyss오재 : 샵검색: #홈술 혼술 알콜
2021. 1. 4. 15:40, 원준오빠 : 뚝딱이뉴
2021. 1. 4. 15:40, abyss오재 : 쪼우쪼웁
2021. 1. 4. 15:40, 원준오빠 : 오 너의 이야기
2021. 1. 4. 15:40, abyss오재 : 쯥쫍쭙
2021. 1. 4. 15:44, 원준오빠 : 도슈 개비썸
2021. 1. 4. 15:44, 원준오빠 : 근데 실비로 하니까 하루에 만원 안나옴띠
2021. 1. 4. 15:45, abyss오재 : 오
2021. 1. 4. 15:45, abyss오재 : 역시보험
2021. 1. 4. 15:46, abyss오재 : 으아발표한시간남앗다둑흔
2021. 1. 4. 15:46, abyss오재 : 이모티콘 
2021. 1. 4. 15:48, 원준오빠 : 준비됐나!
2021. 1. 4. 15:48, abyss오재 : 준비됏나아
2021. 1. 4. 15:48, abyss오재 : 67페이지
2021. 1. 4. 15:48, abyss오재 : 일분에하나씻넘긴다
2021. 1. 4. 15:48, abyss오재 : 이모티콘 
2021. 1. 4. 15:48, abyss오재 : 근데사실생각보다30분이면끝날거같기도하고
2021. 1. 4. 15:52, 정우 : ㅎㅇㅌㅎㅇㅌ
2021. 1. 4. 15:52, 정우 : 아 너무졸린데
2021. 1. 4. 15:52, 정우 : 집가고싶다
2021. 1. 4. 15:54, abyss오재 : ㄹㅇㄹㅇ
2021. 1. 4. 15:54, abyss오재 : 집가구싶다
2021. 1. 4. 15:55, 경민 : ㄹㅇ;;
2021. 1. 4. 15:55, 경민 : 개꿀이누
2021. 1. 4. 15:55, 경민 : 나도실비들어야하는데;;;;;여태안듦
2021. 1. 4. 15:56, 원준오빠 : 그럴수있늠
2021. 1. 4. 15:56, 원준오빠 : 이제 드셈
2021. 1. 4. 15:56, 경민 : 오빠는어디꺼임
2021. 1. 4. 15:56, 원준오빠 : ㅍㅇㅌ
2021. 1. 4. 15:56, 원준오빠 : 농혀프
2021. 1. 4. 15:56, 경민 : 뇽협이군
2021. 1. 4. 15:57, 원준오빠 : 에스에스
2021. 1. 4. 15:57, abyss오재 : 교수님
2021. 1. 4. 15:57, abyss오재 : ㅅㅂ
2021. 1. 4. 15:57, abyss오재 : 학생처럼
2021. 1. 4. 15:57, abyss오재 : 헷갈리게대화치네
2021. 1. 4. 15:58, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 1. 4. 15:58, abyss오재 : 머야어떤애가 교수님이름달고
2021. 1. 4. 15:58, abyss오재 : 대화침
2021. 1. 4. 15:58, abyss오재 : 교수님이 누구녜
2021. 1. 4. 15:59, abyss오재 : 크킄ㅡ크ㅡ크트크
2021. 1. 4. 15:59, abyss오재 : 크크크쿠쿠쿠쿸쿠ㅜㅋ
2021. 1. 4. 15:59, abyss오재 : 내시가
2021. 1. 4. 15:59, abyss오재 : 네시다
2021. 1. 4. 16:04, 경민 : ㅅㅂ
2021. 1. 4. 16:04, 경민 : 시간
2021. 1. 4. 16:04, 경민 : 조지게잘감
2021. 1. 4. 16:04, 경민 : 오늘상자깡할까
2021. 1. 4. 16:04, 경민 : ?
2021. 1. 4. 16:04, 경민 : 오전에시드뜀;
2021. 1. 4. 16:06, abyss오재 : 깡 ㄱ
2021. 1. 4. 16:06, abyss오재 : 돈나올듯
2021. 1. 4. 16:06, 경민 : 80억나오게해쥿메
2021. 1. 4. 16:06, 경민 : ㅠ
2021. 1. 4. 16:06, 경민 : 잃어버린돈다시돌려쥿엠 ㅠ
2021. 1. 4. 16:06, 경민 : 20개모아서까찌말고
2021. 1. 4. 16:06, 경민 : 5개만
2021. 1. 4. 16:06, 경민 : 까버려
2021. 1. 4. 16:06, 경민 : ?
2021. 1. 4. 16:07, abyss오재 : ㅇㅇ
2021. 1. 4. 16:07, abyss오재 : 다숫개단위 ㄱㄱ
2021. 1. 4. 16:09, 경민 : ㅇㅋ그럼
2021. 1. 4. 16:09, 경민 : 2개더모으고
2021. 1. 4. 16:09, 경민 : 불러줌
2021. 1. 4. 16:09, 이석준 : 오예
2021. 1. 4. 16:09, 이석준 : 외주들어옴
2021. 1. 4. 16:09, 경민 : ㅊㅋㅊㅋ
2021. 1. 4. 16:09, 경민 : 누가물어다줌
2021. 1. 4. 16:09, 이석준 : 지인인데
2021. 1. 4. 16:09, 원준오빠 : ㅊㅋㅊㅋ
2021. 1. 4. 16:09, 이석준 : 싸게해줘야겠지
2021. 1. 4. 16:09, 이석준 : ㄱㅅㄱㅅ
2021. 1. 4. 16:09, 경민 : 뭐냐에따라
2021. 1. 4. 16:09, 경민 : 다른듯
2021. 1. 4. 16:09, abyss오재 : 개빜사게
2021. 1. 4. 16:09, abyss오재 : ㄱㄱㄱㄱ
2021. 1. 4. 16:10, 이석준 : 학원 선생 하는데 명함같이 홈페이지 만들고싶대서
2021. 1. 4. 16:11, 경민 : 디자인조지게해달라할거같은 넉김이네
2021. 1. 4. 16:11, abyss오재 : 오 ㄹㅇ
2021. 1. 4. 16:11, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 16:11, abyss오재 : ㄹㅇ개조져
2021. 1. 4. 16:15, 이석준 : 살짝
2021. 1. 4. 16:15, 이석준 : 디자인 강조하긴하더라
2021. 1. 4. 16:15, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 16:15, 이석준 : 템플릿 찾아봐야하나
2021. 1. 4. 16:15, abyss오재 : 디자인할수잇누
2021. 1. 4. 16:16, 경민 : 부트스트랩 쌔리셈
2021. 1. 4. 16:17, 이석준 : 오 ㅁㅊ
2021. 1. 4. 16:17, 이석준 : 이런게 있었지
2021. 1. 4. 16:17, 이석준 : 수업시간때 잠깐 들었었는데
2021. 1. 4. 16:17, 이석준 : 까먹고있었누
2021. 1. 4. 16:17, 이석준 : 호스팅은 그냥 대충쓸까
2021. 1. 4. 16:17, 이석준 : 아마존을 또 쓸까
2021. 1. 4. 16:20, abyss오재 : 대충 ㄱ
2021. 1. 4. 16:20, abyss오재 : 이모티콘 
2021. 1. 4. 16:20, 이석준 : 이기회에 리액트나 좀 만져보까
2021. 1. 4. 16:21, abyss오재 : ㄱ
2021. 1. 4. 16:21, abyss오재 : 원페이지
2021. 1. 4. 16:21, abyss오재 : 인가
2021. 1. 4. 16:21, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 4. 16:21, abyss오재 : 돈달라고하셈
2021. 1. 4. 16:21, 이석준 : 게시판도 만들고싶고
2021. 1. 4. 16:21, 이석준 : 하던데
2021. 1. 4. 16:21, abyss오재 : 명함인데
2021. 1. 4. 16:21, abyss오재 : 게시판을왜만듦
2021. 1. 4. 16:21, 이석준 : 내 배경에 있는 사람이라
2021. 1. 4. 16:21, 이석준 : 돈은 잘 줄듯
2021. 1. 4. 16:21, abyss오재 : 얼마줌
2021. 1. 4. 16:21, abyss오재 : 500줌?
2021. 1. 4. 16:22, 이석준 : 보통 그정도긴 하지만
2021. 1. 4. 16:22, abyss오재 : 좋네
2021. 1. 4. 16:22, abyss오재 : 이모티콘 
2021. 1. 4. 16:23, 이석준 : 이히이이이히ㅣ
