Talk_2021.8.24 13:10-25.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 9월 17일 월요일
2018. 9. 17. 23:19, (알 수 없음) : 두유노?
2018. 9. 17. 23:35, (알 수 없음) : ㅇㅇㅇ
2018. 9. 17. 23:35, 정우 : 8시반에 눈뜨는게
2018. 9. 17. 23:35, 정우 : 8시반기상 아닌거알지
2018. 9. 17. 23:35, (알 수 없음) : ?
2018. 9. 17. 23:35, (알 수 없음) : 그렇긴해
2018. 9. 17. 23:35, 정우 : 8시반에 움직이는걸 시작해야함
2018. 9. 17. 23:35, (알 수 없음) : ㅇㅋ
2018. 9. 17. 23:35, (알 수 없음) : 눈뜨자마자움직이기
2018. 9. 17. 23:35, (알 수 없음) : 아너무신나서
2018. 9. 17. 23:35, (알 수 없음) : 주체가안된다
2018. 9. 17. 23:43, 경민 : 하이루~
2018. 9. 17. 23:43, 경민 : 집도착
2018. 9. 17. 23:44, 경민 : 데헷
2018. 9. 17. 23:44, 경민 : 오재훈 이번주오면
2018. 9. 17. 23:44, 경민 : 와인까도대냐?
2018. 9. 17. 23:44, 경민 : 조운맛이라
2018. 9. 17. 23:44, 경민 : 빨리먹고싶은데
2018. 9. 17. 23:44, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ엌ㅋㅋㅋㅋ큐
2018. 9. 17. 23:44, (알 수 없음) : 너무조악
2018. 9. 17. 23:44, (알 수 없음) : ㅜ큐
2018. 9. 17. 23:44, (알 수 없음) : 이번주다오는부분임
2018. 9. 17. 23:44, (알 수 없음) : ?!
2018. 9. 17. 23:44, 경민 : 몰라
2018. 9. 17. 23:44, 경민 : 나그러면
2018. 9. 17. 23:44, 경민 : 좀만까주라...씨발
2018. 9. 17. 23:45, 경민 : ㅠ
2018. 9. 17. 23:45, 경민 : 존나
2018. 9. 17. 23:45, 경민 : 왜케마니마셧지ㅠ
2018. 9. 17. 23:46, (알 수 없음) : ㅁㅊ
2018. 9. 17. 23:46, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니아직21일도안옴
2018. 9. 17. 23:46, (알 수 없음) : ㅗ늘117일인데...
2018. 9. 17. 23:46, 경민 : 아니
2018. 9. 17. 23:46, (알 수 없음) : 17일
2018. 9. 17. 23:46, 경민 : ㅇ나
2018. 9. 17. 23:46, 경민 : 백퍼
2018. 9. 17. 23:46, 경민 : 초과각
2018. 9. 17. 23:46, 경민 : ㅠ시발
2018. 9. 17. 23:46, 경민 : 함만봐주라ㅠ
2018. 9. 17. 23:46, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 17. 23:46, 경민 : 포트와인나눠먹구
2018. 9. 17. 23:46, 경민 : 봐주아ㅠ
2018. 9. 17. 23:46, (알 수 없음) : 아개웃기네ㅠ
2018. 9. 17. 23:46, 경민 : 포트와인존맛인데ㅜ
2018. 9. 17. 23:47, 경민 : 안봐주면
2018. 9. 17. 23:47, 경민 : 혼자마실래
2018. 9. 17. 23:47, 경민 : ㅠ
2018. 9. 17. 23:47, (알 수 없음) : 내가봐주는게아님
2018. 9. 17. 23:47, (알 수 없음) : ㅠ
2018. 9. 17. 23:47, 경민 : ㅇㅋ ㅠ
2018. 9. 17. 23:47, (알 수 없음) : 이모티콘 
2018. 9. 17. 23:48, 경민 : 금데
2018. 9. 17. 23:48, 경민 : 나
2018. 9. 17. 23:48, 경민 : 1번남앗는데
2018. 9. 17. 23:48, 경민 : 오재훈왜
2018. 9. 17. 23:48, 경민 : 22일까지
2018. 9. 17. 23:48, 경민 : 마킹해벌여....
2018. 9. 17. 23:48, (알 수 없음) : 왜
2018. 9. 17. 23:48, (알 수 없음) : 밤생대
2018. 9. 17. 23:48, (알 수 없음) : 이정우
2018. 9. 17. 23:49, 경민 : 아니나는
2018. 9. 17. 23:49, 경민 : 막차타구갈래
2018. 9. 17. 23:49, (알 수 없음) : 글고
2018. 9. 17. 23:49, 경민 :  ㅠ
2018. 9. 17. 23:49, (알 수 없음) : 너따르는
2018. 9. 17. 23:49, (알 수 없음) : 원준이형
2018. 9. 17. 23:49, (알 수 없음) : 친구들온대
2018. 9. 17. 23:49, 경민 : ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ에?
2018. 9. 17. 23:49, 경민 : 컹스?
2018. 9. 17. 23:49, (알 수 없음) : 그성성친구들
2018. 9. 17. 23:50, 경민 : 컹스는환ㅇ영이지
2018. 9. 17. 23:50, (알 수 없음) : 그럼너도
2018. 9. 17. 23:50, (알 수 없음) : 22일체크해야할듯
2018. 9. 17. 23:50, 경민 : ㄴ...
2018. 9. 17. 23:50, 경민 : 야나
2018. 9. 17. 23:50, 경민 : 22일기차타고
2018. 9. 17. 23:50, 경민 : 내려가는데무슨
2018. 9. 17. 23:50, 경민 : 밤새냐ㅜ
2018. 9. 17. 23:50, 경민 : 아니가능하긴한데
2018. 9. 17. 23:50, 경민 : 미안한데
2018. 9. 17. 23:50, 경민 : 9월에또미팅잡혀벌여
2018. 9. 17. 23:50, 경민 : 더이상술마시면
2018. 9. 17. 23:51, 경민 : 초과데스
2018. 9. 17. 23:52, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 17. 23:52, (알 수 없음) : 22일언제내려감
2018. 9. 17. 23:52, (알 수 없음) : 초과
2018. 9. 17. 23:52, (알 수 없음) : 이미니초과인거는
2018. 9. 17. 23:52, (알 수 없음) : ㅏㅇ암
2018. 9. 17. 23:52, (알 수 없음) : 에블바리노즈
2018. 9. 17. 23:53, 빠충 : 힛 미
2018. 9. 17. 23:53, 빠충 : 핑크 핫
2018. 9. 17. 23:53, 빠충 : 핑크 핫
2018. 9. 17. 23:53, 빠충 : 아
2018. 9. 17. 23:54, 빠충 : 월요일
2018. 9. 17. 23:54, 빠충 : 너뮤 힘들다 ㅏ
2018. 9. 17. 23:54, (알 수 없음) : 빠충
2018. 9. 17. 23:54, (알 수 없음) : 청하보고알지
2018. 9. 17. 23:56, 재환오빠 : 나도 청하랑 놀고싶다
2018. 9. 17. 23:56, 정우 : 아
2018. 9. 17. 23:56, 정우 : 일반화학 너무빡친다 진짜
2018. 9. 17. 23:56, 정우 : 나 이거 왜하고있지 ㅅㅂ
2018. 9. 17. 23:57, (알 수 없음) : 형
2018. 9. 17. 23:57, (알 수 없음) : 형21일에뭐해여
2018. 9. 17. 23:57, (알 수 없음) : 일반화학그냥
2018. 9. 17. 23:57, (알 수 없음) : c만받고
2018. 9. 17. 23:57, (알 수 없음) : 졸업해도상관업지안냐
2018. 9. 17. 23:58, 빠충 : 오
2018. 9. 17. 23:58, 빠충 : 나도 청하랑 놀래
2018. 9. 17. 23:58, (알 수 없음) : 21일에
2018. 9. 17. 23:58, 빠충 : 나 별하랑인데
2018. 9. 17. 23:58, (알 수 없음) : ㄱㄱ
2018. 9. 17. 23:58, 빠충 : 그러면
2018. 9. 17. 23:58, 빠충 : 같이 놀아주냐
2018. 9. 17. 23:58, (알 수 없음) : 아니
2018. 9. 17. 23:58, (알 수 없음) : 내가놀아줌
2018. 9. 17. 23:58, 빠충 : ㅇㅋ
2018. 9. 17. 23:58, (알 수 없음) : 청하대신
2018. 9. 17. 23:58, (알 수 없음) : 어떰
2018. 9. 17. 23:58, 빠충 : 롤러코스터
2018. 9. 17. 23:58, 빠충 : 춰줘
2018. 9. 17. 23:58, (알 수 없음) : 아
2018. 9. 17. 23:58, (알 수 없음) : ㅇㅋ
2018. 9. 17. 23:58, 정우 : C만 받아도되는데
2018. 9. 17. 23:58, 정우 : 지금 C도 못받을거같아서
2018. 9. 17. 23:58, 정우 : ㅋ
2018. 9. 17. 23:59, (알 수 없음) : ㅋ
2018. 9. 17. 23:59, (알 수 없음) : 일화존나어려우어
2018. 9. 17. 23:59, 빠충 : ㅋ
2018. 9. 17. 23:59, (알 수 없음) : 기억도안나
2018. 9. 17. 23:59, (알 수 없음) : 몇년전이냐
2018. 9. 17. 23:59, (알 수 없음) : 일반이제일어려워 ㅋ
2018. 9. 17. 23:59, 정우 : 이게무슨
2018. 9. 17. 23:59, 정우 : 일반임
2018. 9. 17. 23:59, 정우 : ㅋ
2018. 9. 17. 23:59, (알 수 없음) : ㅋ..
2018. 9. 17. 23:59, (알 수 없음) : 진짜
2018. 9. 17. 23:59, 정우 : 아니그냥 잘 풀고있었는데
2018. 9. 17. 23:59, 정우 : 중간에 이해할수없는게
2018. 9. 17. 23:59, 정우 : 막 나와벌임
2018. 9. 17. 23:59, 정우 : ;;;;
2018. 9. 17. 23:59, (알 수 없음) : 그럼틀리면
2018. 9. 17. 23:59, 정우 : 어떤애들만 막 2를곱해
2018. 9. 17. 23:59, (알 수 없음) : 맘편함
2018. 9. 17. 23:59, (알 수 없음) : ㅋㅌㅌㅌㅋㅌㅌㅌㅌㅌㅌ

2018년 9월 18일 화요일
2018. 9. 18. 00:00, (알 수 없음) : 어떤애들만외워벌여
2018. 9. 18. 00:00, (알 수 없음) : 아싸
2018. 9. 18. 00:00, (알 수 없음) : 3일남암
2018. 9. 18. 00:00, (알 수 없음) : ㅠㅠㅠ
2018. 9. 18. 00:00, (알 수 없음) : 21일존나빨리와벌이네
2018. 9. 18. 00:00, 정우 : 시발 그냥틀려야지
2018. 9. 18. 00:00, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:00, 정우 : 진짜모르겠다
2018. 9. 18. 00:01, (알 수 없음) : 시험침?
2018. 9. 18. 00:01, 정우 : 아니 과제
2018. 9. 18. 00:01, 정우 : ㄹㅇ과제
2018. 9. 18. 00:01, (알 수 없음) : 아하
2018. 9. 18. 00:03, (알 수 없음) : 잠온다
2018. 9. 18. 00:03, (알 수 없음) : 와3시에일어낫는데잠오는거실화냐
2018. 9. 18. 00:06, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:06, 정우 : 아 30분까지 끝낸다
2018. 9. 18. 00:06, (알 수 없음) : ㅋㅌㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:06, (알 수 없음) : 6시에일어너냐지난
2018. 9. 18. 00:06, (알 수 없음) : 자고
2018. 9. 18. 00:12, 정우 : 나는
2018. 9. 18. 00:12, 정우 : 엄마가아침밥줄때
2018. 9. 18. 00:12, 정우 : 일어나야지
2018. 9. 18. 00:13, 재환오빠 : 21일 모르겟음
2018. 9. 18. 00:13, 재환오빠 : 청하마시냐?
2018. 9. 18. 00:13, 재환오빠 : 청하하게?
2018. 9. 18. 00:20, (알 수 없음) : 네
2018. 9. 18. 00:20, (알 수 없음) : 21일청하보고
2018. 9. 18. 00:20, (알 수 없음) : 청하에쏘ㅣ주
2018. 9. 18. 00:20, (알 수 없음) : !
2018. 9. 18. 00:20, (알 수 없음) : 아니
2018. 9. 18. 00:20, (알 수 없음) : 청하에회
2018. 9. 18. 00:22, 정우 : 청하에쏘주
2018. 9. 18. 00:22, 정우 : 지려버렸고!
2018. 9. 18. 00:25, (알 수 없음) : 이모티콘 
2018. 9. 18. 00:27, 원준오빠 : 청하 드시죠
2018. 9. 18. 00:28, 원준오빠 : 그때 그 친규들 온데요
2018. 9. 18. 00:28, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:28, 재환오빠 : 그친구들?
2018. 9. 18. 00:29, 원준오빠 : 그때
2018. 9. 18. 00:29, 원준오빠 : 코먹던
2018. 9. 18. 00:29, 원준오빠 : 제 친구 있잖아요
2018. 9. 18. 00:29, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:33, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:33, (알 수 없음) : 이정우와의2차..
2018. 9. 18. 00:33, (알 수 없음) : 이정우집가고
2018. 9. 18. 00:33, (알 수 없음) : 갱민쓰
2018. 9. 18. 00:44, 재환오빠 : 아 저런
2018. 9. 18. 00:44, 재환오빠 : 그친구들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 00:50, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 06:47, 이석준 : ㅎㅇ
2018. 9. 18. 08:30, Sekwang Ludan : ㅎㅇ~~
2018. 9. 18. 08:33, 경민 : ㅎㅇ
2018. 9. 18. 08:35, (알 수 없음) : ㅎㅇ
2018. 9. 18. 08:38, 정우 : ㅎㅇ
2018. 9. 18. 08:40, 경민 : 출근귀찬타
2018. 9. 18. 08:40, 경민 : 꾸엥ㅇ
2018. 9. 18. 08:40, 경민 : 나근데왜숙취없어벌여
2018. 9. 18. 08:40, 경민 : 어제2병쯤마신거같은데
2018. 9. 18. 08:41, 경민 : 1차에서5병조지고...2차에서 2병조ㄴ느데
2018. 9. 18. 08:46, 양우성 : ㅎㅇ
2018. 9. 18. 08:46, 양우성 : 숙취따위.. 대단
2018. 9. 18. 08:48, 경민 : 쪄웁
2018. 9. 18. 08:51, 이석준 : 섹광
2018. 9. 18. 09:14, Sekwang Ludan : 이모티콘 
2018. 9. 18. 09:27, 이석준 : 한쿸 언제옴?
2018. 9. 18. 09:52, Sekwang Ludan : ㅠㅠ 원래 담주에 출장있었는데 엎어져서 10월중에 갈라나??
2018. 9. 18. 09:52, Sekwang Ludan : 플젝 진행상황에 따라 달라짐 ㅠㅠ
2018. 9. 18. 09:52, 이석준 : 히익
2018. 9. 18. 10:12, 양우성 : 홀래ㅠ
2018. 9. 18. 10:50, (알 수 없음) : ㅎㅇ
2018. 9. 18. 10:50, 경민 : ㅎㅇ
2018. 9. 18. 10:50, 경민 : 또잠듦
2018. 9. 18. 10:50, 경민 : ㅅㄱ
2018. 9. 18. 10:50, 정우 : ㅎㅇ
2018. 9. 18. 10:50, 정우 : 학교간당
2018. 9. 18. 10:50, (알 수 없음) : 리제일어남
2018. 9. 18. 10:50, (알 수 없음) : 6시랑8시는무슨
2018. 9. 18. 10:51, (알 수 없음) : 잠조져벌여
2018. 9. 18. 10:51, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 10:55, (알 수 없음) : 으 ㅅㅈ
2018. 9. 18. 10:55, (알 수 없음) : 아 ㅅㅂ개웃시네
2018. 9. 18. 10:55, (알 수 없음) : 요새단톡방에서
2018. 9. 18. 10:55, (알 수 없음) : 사람들이
2018. 9. 18. 10:56, (알 수 없음) : 문재인김정은보고
2018. 9. 18. 10:56, (알 수 없음) : 쟤네들이우리보다자주만나는거
2018. 9. 18. 10:56, (알 수 없음) : 같다고그런대
2018. 9. 18. 10:56, (알 수 없음) : ㅅㅂ
2018. 9. 18. 10:56, (알 수 없음) : 개터져벌여
2018. 9. 18. 10:57, (알 수 없음) : 샵검색: #지코
2018. 9. 18. 10:57, (알 수 없음) : 지코개조신함
2018. 9. 18. 10:57, 정우 : 와
2018. 9. 18. 10:57, 정우 : 님들
2018. 9. 18. 10:57, 정우 : 나대박
2018. 9. 18. 10:57, (알 수 없음) : 왜
2018. 9. 18. 10:57, 정우 : 어제 지갑얘기한거
2018. 9. 18. 10:57, (알 수 없음) : ㄴㅇ
2018. 9. 18. 10:57, (알 수 없음) : 돈얼마
2018. 9. 18. 10:57, 정우 : 56000
2018. 9. 18. 10:57, (알 수 없음) : 미친
2018. 9. 18. 10:57, (알 수 없음) : 대박
2018. 9. 18. 10:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 10:57, (알 수 없음) : 개이득
2018. 9. 18. 10:57, 정우 : 여기서
2018. 9. 18. 10:57, (알 수 없음) : 아싸
2018. 9. 18. 10:58, 정우 : 22퍼세금
2018. 9. 18. 10:58, 정우 : 그래도
2018. 9. 18. 10:58, (알 수 없음) : 이정우한테
2018. 9. 18. 10:58, 정우 : 4만넘러
2018. 9. 18. 10:58, (알 수 없음) : 얻먹
2018. 9. 18. 10:58, 정우 : ㅅㅂ
2018. 9. 18. 10:58, (알 수 없음) : 가즈아
2018. 9. 18. 10:58, 정우 : 오늘
2018. 9. 18. 10:58, (알 수 없음) : 이모티콘 
2018. 9. 18. 10:58, 정우 : 점심안먹는다
2018. 9. 18. 10:58, 정우 : ㅎ
2018. 9. 18. 10:58, (알 수 없음) : ㅋㅋㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ
2018. 9. 18. 10:58, 정우 : 5교시에 갔다와야지
2018. 9. 18. 10:58, 정우 : 대박사건
2018. 9. 18. 10:58, 정우 : 스바라시
2018. 9. 18. 10:58, (알 수 없음) : 어딘데
2018. 9. 18. 10:58, 정우 : 서대문경찰서
2018. 9. 18. 10:58, (알 수 없음) : ㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌ
2018. 9. 18. 10:58, 정우 : 아
2018. 9. 18. 10:58, 정우 : 아침부터
2018. 9. 18. 10:58, 정우 : 기분째져벌여
2018. 9. 18. 10:58, 정우 : ~~~~~~~
2018. 9. 18. 10:58, (알 수 없음) : 개이듁이네
2018. 9. 18. 10:59, 정우 : ㄹㅇ
2018. 9. 18. 10:59, 정우 : 기분좋아서
2018. 9. 18. 10:59, 정우 : 지하철들어오는데
2018. 9. 18. 10:59, 정우 : 안뜀
2018. 9. 18. 10:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 10:59, 정우 : 안타씨발
2018. 9. 18. 10:59, 정우 : 다음꺼 타지 뭐
2018. 9. 18. 10:59, (알 수 없음) : ㅋㅋㅋㅌㅌㅌㅌㅌ
2018. 9. 18. 10:59, (알 수 없음) : 개이듁그냥
2018. 9. 18. 11:00, (알 수 없음) : 지금들ㄹ렷다가셈
2018. 9. 18. 11:00, (알 수 없음) : ㅎㅎ
2018. 9. 18. 11:00, 정우 : 아니
2018. 9. 18. 11:00, 정우 : 수업은가야지
2018. 9. 18. 11:00, 정우 : 서대문경찰서 존나멈
2018. 9. 18. 11:01, (알 수 없음) : 그러냐
2018. 9. 18. 11:01, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 11:01, (알 수 없음) : 아
2018. 9. 18. 11:01, (알 수 없음) : 개꿀
2018. 9. 18. 11:02, 정우 : 지하철 4정거장가야함
2018. 9. 18. 11:02, 정우 : 경찰서갔다가
2018. 9. 18. 11:02, 정우 : 오는길에 서브웨이나 사먹지 뭐
2018. 9. 18. 11:02, (알 수 없음) : 여유봐라
2018. 9. 18. 11:02, (알 수 없음) : 역시돈가지잔즤아
2018. 9. 18. 11:02, 정우 : 아진짜
2018. 9. 18. 11:02, (알 수 없음) : 여유
2018. 9. 18. 11:02, (알 수 없음) : 돈가진자의
2018. 9. 18. 11:02, 정우 : 기분너무좋네
2018. 9. 18. 11:03, 정우 : 착하게삽시다 여러분
2018. 9. 18. 11:03, (알 수 없음) : 넵현님
2018. 9. 18. 11:03, (알 수 없음) : 형님
2018. 9. 18. 11:03, (알 수 없음) : 
지깁주우러가야지
2018. 9. 18. 11:03, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 11:04, 경민 : 나도지갑주울래
2018. 9. 18. 11:05, 재환오빠 : 냥줍하자
2018. 9. 18. 11:06, (알 수 없음) : 줍줍
2018. 9. 18. 11:06, (알 수 없음) : 다들주으면서살아야할듯
2018. 9. 18. 11:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 11:12, 정우 : 이모티콘 
2018. 9. 18. 11:13, (알 수 없음) : 아
2018. 9. 18. 11:13, (알 수 없음) : 씻고카페가애지
2018. 9. 18. 11:13, (알 수 없음) : 윰직여야해
2018. 9. 18. 11:13, (알 수 없음) : ㅇㅈ?
2018. 9. 18. 11:13, 경민 : 너네집
2018. 9. 18. 11:13, 경민 : 혹시
2018. 9. 18. 11:13, 경민 : 카페?
2018. 9. 18. 11:13, (알 수 없음) : 아니
2018. 9. 18. 11:13, (알 수 없음) : 미첫나
2018. 9. 18. 11:13, (알 수 없음) : ㅠ
2018. 9. 18. 11:13, (알 수 없음) : 진짜카페갈거임
2018. 9. 18. 11:13, (알 수 없음) : ㅋㅌㅌㅌㅋ
2018. 9. 18. 11:13, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 11:13, 경민 : ㅇㅋ
2018. 9. 18. 11:13, 경민 : 너왜근데
2018. 9. 18. 11:13, 경민 : 플스안함
2018. 9. 18. 11:14, 경민 : 장식용인
2018. 9. 18. 11:14, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 11:14, 정우 : 충동구매
2018. 9. 18. 11:14, (알 수 없음) : 아진짜
2018. 9. 18. 11:14, (알 수 없음) : 플스할시간니업음
2018. 9. 18. 11:14, 경민 : 야
2018. 9. 18. 11:14, 경민 : 이번주에
2018. 9. 18. 11:14, (알 수 없음) : 아니할시간은많아
2018. 9. 18. 11:14, 경민 : 들고오셈
2018. 9. 18. 11:14, (알 수 없음) : ㅇㅇ
2018. 9. 18. 11:14, (알 수 없음) : 아니
2018. 9. 18. 11:14, (알 수 없음) : 무거움
2018. 9. 18. 11:14, (알 수 없음) : ;;
2018. 9. 18. 11:14, 경민 : ㅇㅋ;
2018. 9. 18. 11:14, 정우 : ㅋㅋㅋㅋㅋ
2018. 9. 18. 11:14, (알 수 없음) : 들고부삼까지가야해그람;;
2018. 9. 18. 11:15, 경민 : 부산가서
