Talk_2021.8.24 13:11-58.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 11월 27일 수요일
2019. 11. 27. 14:35, (알 수 없음) : 환기필요
2019. 11. 27. 15:30, 빠충 : Looming인데
2019. 11. 27. 15:30, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:30, 빠충 : ㅇㅇㅇ
2019. 11. 27. 15:30, 원준오빠 : 아날로그와 디지털의 예시
2019. 11. 27. 15:30, (알 수 없음) : 왼쪽정렬은 밑으로내려가니까
2019. 11. 27. 15:30, 원준오빠 : 감사감사
2019. 11. 27. 15:30, (알 수 없음) : 뭐
2019. 11. 27. 15:30, (알 수 없음) : 보기편하신대로
2019. 11. 27. 15:30, 원준오빠 : 뼛속에 새겨짐
2019. 11. 27. 15:30, 원준오빠 : ㅇㅋㅇㅋ ㄱㅅㄱㅅ
2019. 11. 27. 15:30, (알 수 없음) : 형새겨버림
2019. 11. 27. 15:30, 원준오빠 : ㄴㄴ
2019. 11. 27. 15:31, 원준오빠 : 아픔
2019. 11. 27. 15:31, 빠충 : https://v.kakao.com/v/20191127140020332
2019. 11. 27. 15:31, (알 수 없음) : ㅇㅋ,,
2019. 11. 27. 15:31, (알 수 없음) : ㅅㅂ
2019. 11. 27. 15:31, 빠충 : 제시임?
2019. 11. 27. 15:31, (알 수 없음) : 니들이 뭔데 날 평가해
2019. 11. 27. 15:31, (알 수 없음) : 시발
2019. 11. 27. 15:31, (알 수 없음) : 진짜
2019. 11. 27. 15:31, (알 수 없음) : 좀평가하자
2019. 11. 27. 15:31, (알 수 없음) : ㅠ
2019. 11. 27. 15:31, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:31, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:31, 원준오빠 : 니들이 뭔데 날 따갑게 해
2019. 11. 27. 15:31, 원준오빠 : 앗따것
2019. 11. 27. 15:33, (알 수 없음) : 아오늘
2019. 11. 27. 15:33, (알 수 없음) : 뭐지
2019. 11. 27. 15:33, (알 수 없음) : 아
2019. 11. 27. 15:33, (알 수 없음) : 오늘영
2019. 11. 27. 15:33, (알 수 없음) : 영이다
2019. 11. 27. 15:33, (알 수 없음) : 영화볼생각때문인가
2019. 11. 27. 15:34, 원준오빠 : 굿
2019. 11. 27. 15:34, 원준오빠 : 팝콘 각
2019. 11. 27. 15:35, 빠충 : 야
2019. 11. 27. 15:35, 빠충 : 이거봐봐
2019. 11. 27. 15:35, 빠충 : 사진
2019. 11. 27. 15:35, 빠충 : 인스타 미친줄
2019. 11. 27. 15:35, (알 수 없음) : ㅁㅊ
2019. 11. 27. 15:35, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:35, (알 수 없음) : 관련된곳들
2019. 11. 27. 15:35, (알 수 없음) : 다올렸네
2019. 11. 27. 15:35, (알 수 없음) : 위켄드
2019. 11. 27. 15:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:36, 정우 : 광고
2019. 11. 27. 15:36, 정우 : 씨게때리네
2019. 11. 27. 15:36, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:36, 원준오빠 : 존나 개발자 같이 생겼넴
2019. 11. 27. 15:36, (알 수 없음) : ㅅㅂ
2019. 11. 27. 15:37, (알 수 없음) : 존나웃기네시발
2019. 11. 27. 15:37, (알 수 없음) : ㅠ
2019. 11. 27. 15:37, 원준오빠 : 난 개발알못인데?
2019. 11. 27. 15:37, (알 수 없음) : 개발자처럼생겼다는거개웃기다
2019. 11. 27. 15:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:37, 정우 : 뭔지알거같애
2019. 11. 27. 15:37, 원준오빠 : 어휴 시바
2019. 11. 27. 15:38, 원준오빠 : cj 면접 어쩌구 메일와서
2019. 11. 27. 15:38, 원준오빠 : 조난 식겁했는데
2019. 11. 27. 15:38, 원준오빠 : 담주에 발표난다고 알려줌
2019. 11. 27. 15:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 15:38, (알 수 없음) : 샛기들
2019. 11. 27. 15:38, 원준오빠 : 쓸데없이 친절하잖아;
2019. 11. 27. 15:38, 정우 : 개친절;;;
2019. 11. 27. 15:38, (알 수 없음) : 그냥알려줘
2019. 11. 27. 15:38, 정우 : 하넵
2019. 11. 27. 15:38, 원준오빠 : 목욜이래 히끅
2019. 11. 27. 15:38, 원준오빠 : 담주
2019. 11. 27. 15:38, 정우 : 힉
2019. 11. 27. 15:39, 정우 : 개많이남았네
2019. 11. 27. 15:39, 정우 : ㅠ
2019. 11. 27. 15:39, 원준오빠 : 붙든 떨어지든 금욜에 달리준비해야겠넴 ㅎㅎ
2019. 11. 27. 15:40, (알 수 없음) : 내일
2019. 11. 27. 15:40, (알 수 없음) : 5마넌받는다
2019. 11. 27. 15:40, (알 수 없음) : 2시간손들기하러가서
2019. 11. 27. 15:40, (알 수 없음) : 점심도주는데
2019. 11. 27. 15:40, 정우 : 갯귤
2019. 11. 27. 15:40, 원준오빠 : 뭐해ㅔ
2019. 11. 27. 15:40, (알 수 없음) : 그뭐 중운위
2019. 11. 27. 15:40, (알 수 없음) : 같은거가서 손드는봇
2019. 11. 27. 15:40, (알 수 없음) : 하면
2019. 11. 27. 15:40, (알 수 없음) : 돈줌
2019. 11. 27. 15:42, 원준오빠 : 왜우
2019. 11. 27. 15:42, 원준오빠 : 돈도받아?
2019. 11. 27. 15:42, 원준오빠 : 내가해고시퍼
2019. 11. 27. 15:43, (알 수 없음) : ㄹㅇ개굴이여
2019. 11. 27. 15:43, (알 수 없음) : 2시간가서손들다오면됨
2019. 11. 27. 15:48, 원준오빠 : 언제 손 들꼬임
2019. 11. 27. 15:52, (알 수 없음) : 찬성하시는 분 손들어주세요
2019. 11. 27. 15:52, (알 수 없음) : 하면 손들면됨
2019. 11. 27. 15:52, 빠충 : 이샛기
2019. 11. 27. 15:52, 빠충 : 투표조작하러 가냐
2019. 11. 27. 15:52, 빠충 : 잘 갔다오고
2019. 11. 27. 15:52, (알 수 없음) : 내가또국프라서
2019. 11. 27. 15:53, (알 수 없음) : ㅠ
2019. 11. 27. 16:56, 부그뷰 : https://youtu.be/xKdKdc09rh8
2019. 11. 27. 16:57, 부그뷰 : 졸귀다하악
2019. 11. 27. 17:03, (알 수 없음) : 펭펭
2019. 11. 27. 17:04, (알 수 없음) : ㅅㅂ
2019. 11. 27. 17:04, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:04, (알 수 없음) : 친구허각잇쟈나
2019. 11. 27. 17:04, (알 수 없음) : 면접보러갓는데
2019. 11. 27. 17:04, (알 수 없음) : 첫질문이
2019. 11. 27. 17:04, (알 수 없음) : 뭐였게
2019. 11. 27. 17:05, 부그뷰 : 안궁
2019. 11. 27. 17:06, (알 수 없음) : dz
2019. 11. 27. 17:06, (알 수 없음) : ㅇㅋㅇ
2019. 11. 27. 17:06, (알 수 없음) : 저녁추천좀
2019. 11. 27. 17:07, 재환오빠 : 순대국
2019. 11. 27. 17:09, (알 수 없음) : 영화보기전에 순대국 조지고
2019. 11. 27. 17:09, 재환오빠 : https://emoticon.kakao.com/items/gIoLt1UiiV-XxevMjXfYHeX2MXs=?lang=ko&referer=share_link
2019. 11. 27. 17:09, (알 수 없음) : ㅇㅏ근데왜케오늘교수님밤에연락올거같지
2019. 11. 27. 17:09, (알 수 없음) : 흐흐으으으으으으으으흐흐으흐으ㅡ응
2019. 11. 27. 17:16, 이석준 : 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:16, 이석준 : 사고싶어진다
2019. 11. 27. 17:17, (알 수 없음) : r,r
2019. 11. 27. 17:17, 재환오빠 : 석준이 어린애들한테 어필하기 좋을듯
2019. 11. 27. 17:17, 재환오빠 : ㄱㄱ
2019. 11. 27. 17:17, 이석준 : ?
2019. 11. 27. 17:19, (알 수 없음) : 갯귤
2019. 11. 27. 17:20, 정우 : 갯귤
2019. 11. 27. 17:21, (알 수 없음) : 누가갯귤소리를
2019. 11. 27. 17:21, (알 수 없음) : 내언ㅅ는가
2019. 11. 27. 17:21, 이석준 : 이모티콘 
2019. 11. 27. 17:22, 재환오빠 : 화석 ㅎㅇㄹ
2019. 11. 27. 17:22, 재환오빠 : ㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:22, 이석준 : 이모티콘 
2019. 11. 27. 17:22, (알 수 없음) : ㅎㅇㅎ
2019. 11. 27. 17:22, (알 수 없음) : ㅎㅇㄹ
2019. 11. 27. 17:22, 이석준 : 이모티콘 
2019. 11. 27. 17:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:23, 이석준 : 이모티콘 
2019. 11. 27. 17:23, 이석준 : 이게 존나웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:24, (알 수 없음) : ㅁㅊ
2019. 11. 27. 17:24, (알 수 없음) : 존나찰떡인 ㅅㅂ
2019. 11. 27. 17:24, (알 수 없음) : ㅠ
2019. 11. 27. 17:24, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 17:25, 이석준 : 이모티콘 
2019. 11. 27. 17:53, 정우 : 저녁은
2019. 11. 27. 17:53, 정우 : 치킨이닭
2019. 11. 27. 17:53, 부그뷰 : 치킨!!!!!!
2019. 11. 27. 17:53, 부그뷰 : 요호호
2019. 11. 27. 17:53, 부그뷰 : 홍대가면
2019. 11. 27. 17:53, 부그뷰 : 1타코가능?
2019. 11. 27. 17:53, 정우 : ㄱㄴㄱㄴ
2019. 11. 27. 17:54, 부그뷰 : 이모티콘 
2019. 11. 27. 17:54, (알 수 없음) : 2타코해조
2019. 11. 27. 17:54, 정우 : 아 흠
2019. 11. 27. 17:54, 정우 : 금요일에 어케움직이지
2019. 11. 27. 17:54, 부그뷰 : 2타코 가능~
2019. 11. 27. 17:54, 정우 : 친구랑 밥먹자고할까
2019. 11. 27. 17:55, (알 수 없음) : 나는
2019. 11. 27. 17:58, 부그뷰 : 오재 친구아닌가봄
2019. 11. 27. 17:59, (알 수 없음) : 아씨
2019. 11. 27. 17:59, (알 수 없음) : 나를찾아줘 아동학대장면
2019. 11. 27. 17:59, (알 수 없음) : 심하다네
2019. 11. 27. 17:59, (알 수 없음) : 이런거별로안보고싶은데
2019. 11. 27. 17:59, 정우 : 으
2019. 11. 27. 17:59, (알 수 없음) : 겨울왕국으로바꿀까
2019. 11. 27. 17:59, 정우 : ㄱㄱ
2019. 11. 27. 17:59, 정우 : 이거 나한테 한소리?
2019. 11. 27. 18:00, (알 수 없음) : 필요이상과한거길흥ㄴ데
2019. 11. 27. 18:00, (알 수 없음) : ㅇㅇ
2019. 11. 27. 18:03, 정우 : 너
2019. 11. 27. 18:03, 정우 : 8시에 서울역온다며
2019. 11. 27. 18:16, (알 수 없음) : ㅇㅇㅇ
2019. 11. 27. 18:17, 이석준 : 이모티콘 
2019. 11. 27. 18:20, 정우 : 그럼저녁을 언제먹어......
2019. 11. 27. 18:22, 부그뷰 : 거기 스벅있던데
2019. 11. 27. 18:22, 부그뷰 : 베이글이나 먹자
2019. 11. 27. 18:27, 정우 : 베이글~
2019. 11. 27. 18:45, (알 수 없음) : 내가도착하면
2019. 11. 27. 18:45, (알 수 없음) : ^^
2019. 11. 27. 18:46, (알 수 없음) : 아니면
2019. 11. 27. 18:46, (알 수 없음) : 좆댓어
2019. 11. 27. 18:46, (알 수 없음) : 보고
2019. 11. 27. 18:46, (알 수 없음) : 밥
2019. 11. 27. 18:46, (알 수 없음) : 어떰
2019. 11. 27. 18:46, (알 수 없음) : 너무
2019. 11. 27. 18:46, (알 수 없음) : 개싹바가지임?
2019. 11. 27. 18:46, (알 수 없음) : ㅜ
2019. 11. 27. 18:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 18:47, 정우 : 아니 공연끝나면
2019. 11. 27. 18:48, 정우 : 어차피 뭐 먹을거고
2019. 11. 27. 18:48, 정우 : 그럼저녁일찍먹고
2019. 11. 27. 18:48, 정우 : 간식처럼 같이먹어드림
2019. 11. 27. 18:48, (알 수 없음) : ㅇㅋ
2019. 11. 27. 18:49, (알 수 없음) : 아님 그냥나도
2019. 11. 27. 18:49, (알 수 없음) : 대전역에서샌더위치
2019. 11. 27. 18:49, (알 수 없음) : 하나먹고갈까
2019. 11. 27. 18:49, (알 수 없음) : 그리고뭐10ㅅㅣ면
2019. 11. 27. 18:49, (알 수 없음) : 뭐먹으러가지않을까
2019. 11. 27. 18:49, (알 수 없음) : 너는금욜에
2019. 11. 27. 18:49, (알 수 없음) : 어케할예정임?
2019. 11. 27. 18:49, (알 수 없음) : ㅇ,ㅇ?
2019. 11. 27. 18:49, (알 수 없음) : ㅇ,ㅇ<?
2019. 11. 27. 18:49, 정우 : 몰라
2019. 11. 27. 18:49, 정우 : 내일 찬용이한테
2019. 11. 27. 18:50, 정우 : 연락해볼예정
2019. 11. 27. 18:50, 정우 : 걔 된다하면
2019. 11. 27. 18:50, 정우 : 뭐 일찍가서 먹고 좀놀다가
2019. 11. 27. 18:50, 정우 : 어비스 간다는사람 있으면 잠깐들르고
2019. 11. 27. 18:50, 정우 : 아님 오재훈데리고 바로가지 뭐
2019. 11. 27. 18:51, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 18:51, (알 수 없음) : ㅇㅋ
2019. 11. 27. 18:51, (알 수 없음) : 주워가,,,,,
2019. 11. 27. 18:52, 정우 : 굿굿이군
2019. 11. 27. 18:54, (알 수 없음) : 서울역에서
2019. 11. 27. 18:54, (알 수 없음) : 망원역을가는
2019. 11. 27. 18:54, (알 수 없음) : 가장빠른방법은?
2019. 11. 27. 18:56, 정우 : 서울역 공덕 망원
2019. 11. 27. 18:56, (알 수 없음) : 맞아
2019. 11. 27. 18:56, (알 수 없음) : 그렇게뜨던데
2019. 11. 27. 18:56, (알 수 없음) : 4분놀래
2019. 11. 27. 18:57, 정우 : ㅇㅋ
2019. 11. 27. 18:57, 정우 : 치킨왔다
2019. 11. 27. 18:57, 정우 : 근데 엄마가 아직안오심
2019. 11. 27. 18:58, 부그뷰 : 맥코윈
2019. 11. 27. 18:58, (알 수 없음) : 니근데
2019. 11. 27. 18:58, 부그뷰 : 먹고싶네
2019. 11. 27. 18:58, (알 수 없음) : 우리근데
2019. 11. 27. 18:58, (알 수 없음) : 맥코윈
2019. 11. 27. 18:58, (알 수 없음) : 개남ㄱㅣ지않음
2019. 11. 27. 18:58, (알 수 없음) : 소맥
2019. 11. 27. 18:58, 부그뷰 : 4분의1정도?
2019. 11. 27. 18:58, (알 수 없음) : 많이먹었었네 ㅎ;
2019. 11. 27. 18:58, (알 수 없음) : 개남긴줄
2019. 11. 27. 18:58, (알 수 없음) : 정우야
2019. 11. 27. 18:58, 부그뷰 : 정우야
2019. 11. 27. 18:59, (알 수 없음) : 부경보한테형님이라고해봐
2019. 11. 27. 18:59, 부그뷰 : 돈보내
2019. 11. 27. 18:59, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 18:59, (알 수 없음) : (힘듦)
2019. 11. 27. 18:59, (알 수 없음) : (힘듦)
2019. 11. 27. 18:59, 부그뷰 : 50딸라
2019. 11. 27. 18:59, (알 수 없음) : #50달러
2019. 11. 27. 19:00, 부그뷰 : 42.48달러 보내먄 되겠다 ㅎㅎ
2019. 11. 27. 19:00, 정우 : 아맞다
2019. 11. 27. 19:00, 정우 : 카페
2019. 11. 27. 19:00, 정우 : ㄱㄴ?
2019. 11. 27. 19:00, 원준오빠 : 지금
2019. 11. 27. 19:00, 원준오빠 : 스파이시이탈리안 3,900
2019. 11. 27. 19:01, 원준오빠 : 페퍼러니 추가해도 4,700 개꿀이지모야
2019. 11. 27. 19:01, 부그뷰 : ㄱㄴㄱㄴ
2019. 11. 27. 19:01, 부그뷰 : 매운이탈리아놈 어디서파는건데
2019. 11. 27. 19:01, 원준오빠 : 섭웨이!!
2019. 11. 27. 19:01, 원준오빠 : 매콤보이!
2019. 11. 27. 19:01, 부그뷰 : 호우
2019. 11. 27. 19:02, 부그뷰 : 섭웨이
2019. 11. 27. 19:02, 부그뷰 : 씨푸드
2019. 11. 27. 19:02, 부그뷰 : 먹고싶다
2019. 11. 27. 19:02, 정우 : ㅅㅂㅇㅇ
2019. 11. 27. 19:02, 원준오빠 : ㅋㅋㅋㅋㅋㅋ
2019. 11. 27. 19:02, 정우 : ㅈㅁㅌㄱㄹ
2019. 11. 27. 19:02, (알 수 없음) : 존나쩌네
2019. 11. 27. 19:02, 정우 : 근데리얼
2019. 11. 27. 19:02, 원준오빠 : ㄱㄹㄱㄹ
2019. 11. 27. 19:02, 정우 : ㄱㅇㄷ
2019. 11. 27. 19:02, (알 수 없음) : 서브웨이갈걸
2019. 11. 27. 19:02, (알 수 없음) : 하
2019. 11. 27. 19:02, (알 수 없음) : 졸림
2019. 11. 27. 19:02, 원준오빠 : 사진
2019. 11. 27. 19:02, (알 수 없음) : 영화취소각나오는데
2019. 11. 27. 19:02, 부그뷰 : 하 씨푸드
2019. 11. 27. 19:02, (알 수 없음) : 어케하지?ㅠ;
2019. 11. 27. 19:02, 부그뷰 : 외업어짐?
2019. 11. 27. 19:02, 원준오빠 : 아웨
2019. 11. 27. 19:02, 정우 : 취소하셈
2019. 11. 27. 19:02, (알 수 없음) : 나너무졸려
2019. 11. 27. 19:03, 원준오빠 : ㅠ
2019. 11. 27. 19:03, 원준오빠 : 가서자 ㅠ
2019. 11. 27. 19:03, (알 수 없음) : 어제몇시에잤지
2019. 11. 27. 19:03, 원준오빠 : 아 시푸트랑 쉬림프랑 다름?
2019. 11. 27. 19:03, 원준오빠 : 슈림프는 있네
2019. 11. 27. 19:04, 부그뷰 : 그 게맛살
2019. 11. 27. 19:04, 부그뷰 : 들어간거있었음
2019. 11. 27. 19:04, 부그뷰 : 라떼는
2019. 11. 27. 19:04, 원준오빠 : ㅋㅋㅋㅋㅋ아 기억나
2019. 11. 27. 19:04, 원준오빠 : 슈림ㅍ으로 갈았느보네
