Talk_2021.8.24 13:11-36.txt
저장한 날짜 : 2021. 8. 24. 13:11



2019년 2월 17일 일요일
2019. 2. 17. 21:33, Sekwang Ludan : 라틴 뮤직!!!!
2019. 2. 17. 22:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:38, 정우 : 굉장히
2019. 2. 17. 22:38, 정우 : 놀라실듯
2019. 2. 17. 22:38, (알 수 없음) : ^,^
2019. 2. 17. 22:39, (알 수 없음) : 재환이형...스타일러얼마에여
2019. 2. 17. 22:39, (알 수 없음) : 이모티콘 
2019. 2. 17. 22:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:41, (알 수 없음) : 샵검색: #55인치 직구
2019. 2. 17. 22:42, (알 수 없음) : ㅎ인새앵
2019. 2. 17. 22:43, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:43, 경민 : ㅊㅋ
2019. 2. 17. 22:43, 경민 : 살림차렷네
2019. 2. 17. 22:43, (알 수 없음) : 감사
2019. 2. 17. 22:43, (알 수 없음) : 에어드레서...
2019. 2. 17. 22:43, (알 수 없음) : 개뀰...
2019. 2. 17. 22:45, 재환오빠 : ㅇㅇㅇㅇ
2019. 2. 17. 22:46, 양우성 : 백색가전 퀄좋다
2019. 2. 17. 22:47, (알 수 없음) : 개이득.....
2019. 2. 17. 22:47, (알 수 없음) : 109.....
2019. 2. 17. 22:48, (알 수 없음) : 샵검색: #s3ber
2019. 2. 17. 22:49, (알 수 없음) : 훠우
2019. 2. 17. 22:50, (알 수 없음) : 109...잇나
2019. 2. 17. 22:50, (알 수 없음) : 유후유후
2019. 2. 17. 22:51, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:52, (알 수 없음) : 잇네
2019. 2. 17. 22:52, (알 수 없음) : ㅎ....
2019. 2. 17. 22:52, 정우 : 오
2019. 2. 17. 22:52, 정우 : 역시부자
2019. 2. 17. 22:52, (알 수 없음) : 한번...
2019. 2. 17. 22:52, (알 수 없음) : 지르나. ..
2019. 2. 17. 22:52, 정우 : 과연
2019. 2. 17. 22:52, 정우 : 두둥
2019. 2. 17. 22:52, (알 수 없음) : 만아....
2019. 2. 17. 22:52, (알 수 없음) : 내일....ㄷ결정
2019. 2. 17. 22:52, 양우성 : 지름신
2019. 2. 17. 22:52, 양우성 : 가즈앙
2019. 2. 17. 22:52, (알 수 없음) : 가악....내일학교가서
2019. 2. 17. 22:52, (알 수 없음) : 조금더살펴봄
2019. 2. 17. 22:53, (알 수 없음) : 이모티콘 
2019. 2. 17. 22:54, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:54, 정우 : 대단......
2019. 2. 17. 22:54, (알 수 없음) : 이모티콘 
2019. 2. 17. 22:54, (알 수 없음) : 이번달근데서울잘안가서
2019. 2. 17. 22:54, (알 수 없음) : 돈좀아꼇다
2019. 2. 17. 22:54, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:54, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 17. 22:54, 정우 : 이제 대전에서노냐
2019. 2. 17. 22:54, (알 수 없음) : 그렇다...
2019. 2. 17. 22:55, (알 수 없음) : 이동비가쥴어드니까그래도..
2019. 2. 17. 22:55, 정우 : 마,.....
2019. 2. 17. 22:55, 정우 : 친구생겼네.....
2019. 2. 17. 22:55, 정우 : 부럽다..........
2019. 2. 17. 22:55, (알 수 없음) : 그러게.....
2019. 2. 17. 22:55, (알 수 없음) : 동네친구생겻쥬..
2019. 2. 17. 22:56, 정우 : 대전........
2019. 2. 17. 22:56, 정우 : 중간끝나면 한번가악
2019. 2. 17. 22:56, 정우 : 나도껴줘
2019. 2. 17. 23:01, (알 수 없음) : ㅇㅋㄷㅋ
2019. 2. 17. 23:02, (알 수 없음) : 바로가악이죠
2019. 2. 17. 23:03, 정우 : 가악가악가악

2019년 2월 18일 월요일
2019. 2. 18. 09:09, Sekwang Ludan : ㅎㅇㅎㅇ
2019. 2. 18. 09:10, 양우성 : ㅎㅇㅎㅇ
2019. 2. 18. 09:13, (알 수 없음) : ㅎㅇㅎㅇ
2019. 2. 18. 09:14, 부그뷰 : 출근 ㅎㅇㅎㅇ
2019. 2. 18. 09:14, 부그뷰 : 낼 행군 ㅎㅇㅎㅇ
2019. 2. 18. 09:19, Sekwang Ludan : 아오 감기 오지게 걸림 ㅠㅠ 
2019. 2. 18. 09:21, 부그뷰 : 아프지마광광 ㅜ
2019. 2. 18. 09:21, Sekwang Ludan : ㅠㅠㅠ 무리데스
2019. 2. 18. 09:27, 정우 : ㅎㅇㅎㅇ
2019. 2. 18. 09:46, 경민 : ㅎㅇ
2019. 2. 18. 10:02, 양우성 : 마스크잘쓰구다녀ㅜㅜ
2019. 2. 18. 10:10, 경민 : 시간개빠르네
2019. 2. 18. 10:10, 경민 : 다음주면 3월;
2019. 2. 18. 10:14, 부그뷰 : 와
2019. 2. 18. 10:14, 부그뷰 : 3월이면
2019. 2. 18. 10:14, 부그뷰 : 완전 말년이다
2019. 2. 18. 10:14, 부그뷰 : 사진
2019. 2. 18. 10:19, 경민 : 부말년
2019. 2. 18. 10:19, 경민 : 하
2019. 2. 18. 10:19, 경민 : 일하기시러
2019. 2. 18. 10:39, 부그뷰 : 부말년ㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 10:39, 부그뷰 : 하지마라
2019. 2. 18. 10:39, 부그뷰 : 월급루팡 ㄱㄱ
2019. 2. 18. 10:41, 경민 : ㅇㅋ
2019. 2. 18. 10:42, 경민 : ㅎ ㅏ
2019. 2. 18. 10:42, 경민 : 안그래도안하고잇음
2019. 2. 18. 11:04, (알 수 없음) : 와
2019. 2. 18. 11:05, (알 수 없음) : 12시간잠
2019. 2. 18. 11:05, (알 수 없음) : 어제레알3시간도눈안뜨고잇은듯
2019. 2. 18. 11:11, 경민 : https://store.kakaofriends.com/kr/products/4951?utm_source=KAKAO&utm_medium=PLUSFRIEND_CTR&utm_campaign=190218_timedeal&utm_content=simpletext_am
2019. 2. 18. 11:11, 경민 : 존귀다..
2019. 2. 18. 11:12, 경민 : https://store.kakaofriends.com/kr/products/4951
2019. 2. 18. 11:12, 경민 : 쩌ㅃ스
2019. 2. 18. 11:12, (알 수 없음) : ㅁ 퓨대 ㅠㄴ
2019. 2. 18. 11:13, (알 수 없음) : 휴대폰맛탱이가기시작함....
2019. 2. 18. 11:13, (알 수 없음) : 어케하냐
2019. 2. 18. 11:13, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 11:13, (알 수 없음) : ㅅㅂ
2019. 2. 18. 11:13, 경민 : 서비스센터고...ㅠ
2019. 2. 18. 11:13, (알 수 없음) :  ㅠ
2019. 2. 18. 11:13, (알 수 없음) : 오늘가야하나
2019. 2. 18. 11:13, (알 수 없음) : 샵검색: #삼성서비스센터
2019. 2. 18. 11:14, (알 수 없음) : 바로가야겟군....
2019. 2. 18. 11:15, 경민 : 바로고
2019. 2. 18. 11:16, (알 수 없음) : 씌바루탱...돈업는데
2019. 2. 18. 11:31, 부그뷰 : 보험들어놨으면 별로안들텐뎅
2019. 2. 18. 11:31, 경민 : 보통사람들
2019. 2. 18. 11:31, 경민 : 보험안들지
2019. 2. 18. 11:31, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 11:41, (알 수 없음) : ㅠㅠ
2019. 2. 18. 11:41, (알 수 없음) : 안들어놧지유...
2019. 2. 18. 12:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 12:02, 정우 : 스타일러말고
2019. 2. 18. 12:02, 정우 : 폰고치지ㄱ
2019. 2. 18. 12:02, (알 수 없음) : ㅠ시발
2019. 2. 18. 12:02, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 12:02, (알 수 없음) : ㅠㅜ20나오는거아니냐
2019. 2. 18. 12:04, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 12:04, 정우 : 그래도 고쳐야지
2019. 2. 18. 12:04, (알 수 없음) : 맞아..
2019. 2. 18. 12:04, (알 수 없음) : 하...
2019. 2. 18. 12:04, (알 수 없음) : 휴대폰...ㅠ
2019. 2. 18. 12:20, 경민 : 30나올걸
2019. 2. 18. 12:20, 경민 : 나전에30나오던ㄷ ㅔ ㅎ
2019. 2. 18. 12:22, (알 수 없음) : 어
2019. 2. 18. 12:22, (알 수 없음) : 시발
2019. 2. 18. 12:22, (알 수 없음) : 아진짜
2019. 2. 18. 12:22, (알 수 없음) : ㅠㅠㅠ
2019. 2. 18. 12:22, (알 수 없음) : ㄹㅇ?
2019. 2. 18. 12:22, (알 수 없음) : 아어케하냐...
2019. 2. 18. 12:22, (알 수 없음) : 엄마한테집에남은휴대폰잇나물어봐야겟네
2019. 2. 18. 12:27, (알 수 없음) : 케이키라느데
2019. 2. 18. 12:27, (알 수 없음) : 통신사갈아타야하나
2019. 2. 18. 12:27, (알 수 없음) : 아아아아
2019. 2. 18. 12:33, (알 수 없음) : 엥시바1년도안됐어
2019. 2. 18. 12:33, (알 수 없음) : 휴대촌....
2019. 2. 18. 12:35, (알 수 없음) : ㅅㅂ엣지개시발...보호필름을뚫고엣지에서깨졋네
2019. 2. 18. 12:47, 빠충 : 오재
2019. 2. 18. 12:47, 빠충 : 폰 스9임?
2019. 2. 18. 12:47, (알 수 없음) : 8
2019. 2. 18. 12:47, (알 수 없음) : ㅠ
2019. 2. 18. 12:48, 빠충 : ㅇㅎ
2019. 2. 18. 12:49, 빠충 : 내 동생이 스팔이었던가
2019. 2. 18. 12:49, 빠충 : 너 노보험?
2019. 2. 18. 12:50, (알 수 없음) : ㅇ.ㅇ.
2019. 2. 18. 12:50, (알 수 없음) : 노보험...갈수록맛탱이가고잇어폰이
2019. 2. 18. 12:51, 빠충 : 액정만 가는 거면
2019. 2. 18. 12:51, 빠충 : 한 17만원인가
2019. 2. 18. 12:51, 빠충 : 나왂던 거 같음
2019. 2. 18. 12:51, 빠충 : 동생도 최근에 액정 새로 했거든
2019. 2. 18. 12:51, 경민 : 나눙왜 30넘게나옴!
2019. 2. 18. 12:51, (알 수 없음) : ㅇㅁㅊ...
2019. 2. 18. 12:51, 빠충 : 나도 액정 갈았는데 그게
2019. 2. 18. 12:51, 빠충 : 20나오고
2019. 2. 18. 12:51, (알 수 없음) : 나액정안에
2019. 2. 18. 12:51, (알 수 없음) : 뭐도깨진거같은데요...
2019. 2. 18. 12:51, (알 수 없음) : ㅠ
2019. 2. 18. 12:51, 빠충 : 김경민 니 스팔이얶음?
2019. 2. 18. 12:52, 경민 : 아나도그래서더냇나
2019. 2. 18. 12:52, 경민 : 나스팔플
2019. 2. 18. 12:52, 빠충 : 커서 그런 거 아님?
2019. 2. 18. 12:52, 경민 : 아하~1
2019. 2. 18. 12:52, 경민 : 빼충나
2019. 2. 18. 12:52, 경민 : 질문잇ㅇ므
2019. 2. 18. 12:52, (알 수 없음) : ㅠㅠ
2019. 2. 18. 12:52, 빠충 : ㅇㅇ
2019. 2. 18. 12:52, 빠충 : ㄱㄱ
2019. 2. 18. 12:52, 경민 : 닌텐도스위치
2019. 2. 18. 12:52, 경민 : 살까
2019. 2. 18. 12:52, 경민 : 말까
2019. 2. 18. 12:52, 경민 : 혼자해도재밋음?ㅠ
2019. 2. 18. 12:52, 빠충 : 호
2019. 2. 18. 12:52, 경민 : 왕따라 혼자함
2019. 2. 18. 12:52, 빠충 : 뭐 사게 게임
2019. 2. 18. 12:52, 경민 : 몰름
2019. 2. 18. 12:52, 경민 : 젤다가그렇게재밋다눈데
2019. 2. 18. 12:52, 빠충 : 내꺼 빌려드림?
2019. 2. 18. 12:53, 빠충 : 나 젤다 이씀
2019. 2. 18. 12:53, 경민 : 옹
2019. 2. 18. 12:53, 경민 : 나근데스위치알못임
2019. 2. 18. 12:53, 경민 : 그냥뽐뿌옴 ㅠ
2019. 2. 18. 12:53, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 12:53, 빠충 : 음
2019. 2. 18. 12:53, 빠충 : 할만함
2019. 2. 18. 12:53, (알 수 없음) : ㄱ
2019. 2. 18. 12:53, 경민 : 어릴때부터 닌텐도갖는게 소원이었어
2019. 2. 18. 12:53, (알 수 없음) : 바로사셈
2019. 2. 18. 12:53, (알 수 없음) : 재환이형
2019. 2. 18. 12:53, 빠충 : 포켓몬이랑 마리오 오딧세이까지 하면
2019. 2. 18. 12:53, (알 수 없음) : 스타일러는
2019. 2. 18. 12:53, 빠충 : 잼
2019. 2. 18. 12:53, (알 수 없음) : 폰고치고나올게요
2019. 2. 18. 12:53, (알 수 없음) : 이모티콘 
2019. 2. 18. 12:53, 경민 : ㅋㅋㅋㅋ
2019. 2. 18. 12:54, 경민 : 흠
2019. 2. 18. 12:54, 경민 : http://rpp.auction.co.kr/?exhib=27089
2019. 2. 18. 12:54, 경민 : 딀떠버려서 살려햇고둔
2019. 2. 18. 12:55, 빠충 : ㄱㄱ
2019. 2. 18. 12:55, 빠충 : 하다가 안 맞으면
2019. 2. 18. 12:55, 빠충 : 중고로 팔아도 되니까
2019. 2. 18. 12:55, 빠충 : 주변기기는 굳이 살 필요 없고
2019. 2. 18. 12:55, (알 수 없음) : ㄱㄱ
2019. 2. 18. 12:55, 빠충 : 그냥 기본 구성품으로 충분
2019. 2. 18. 12:55, 경민 : 후움움
2019. 2. 18. 12:55, 경민 : 근데저기
2019. 2. 18. 12:55, 경민 : 5개중에는
2019. 2. 18. 12:56, 경민 : 머가젤나을까
2019. 2. 18. 12:56, 경민 : 게임...
2019. 2. 18. 12:56, (알 수 없음) : 다사기 ㄱ
2019. 2. 18. 12:56, 경민 : ?;;
2019. 2. 18. 12:56, (알 수 없음) : ...
2019. 2. 18. 12:56, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ폰이중요하지
2019. 2. 18. 12:56, 빠충 : 난 슈퍼마리오
2019. 2. 18. 12:57, (알 수 없음) : 나도슈퍼마리오...
2019. 2. 18. 12:57, (알 수 없음) : 폰..  ㅠ
2019. 2. 18. 12:57, 빠충 : 스매시 브라더스랑 마리오파티는
2019. 2. 18. 12:57, (알 수 없음) : 아ㅏ이번달스튜핏지린다
2019. 2. 18. 12:57, 재환오빠 : 커비
2019. 2. 18. 12:57, 빠충 : 사람 여럿이서 해야 잼임
2019. 2. 18. 12:57, 빠충 : 마카도 약간 그렇고
2019. 2. 18. 12:57, 경민 : ㅡ그를듯...
2019. 2. 18. 12:58, 빠충 : 젤다 잼인데
2019. 2. 18. 12:58, 빠충 : 아쉽
2019. 2. 18. 12:58, 경민 : 봣을때이미 품절이었ㄷ ㅏ
2019. 2. 18. 12:58, 빠충 : ㅇㅋ
2019. 2. 18. 12:58, 빠충 : 포켓몬도 재미짐
2019. 2. 18. 12:59, 빠충 : 샵검색: #렛츠고 피카츄
2019. 2. 18. 12:59, 경민 : 존버할까구냥
2019. 2. 18. 12:59, 빠충 : 포켓몬 타고 다닐 수 있음
2019. 2. 18. 12:59, 경민 : 나피카츄ㅠ영상마니봄
2019. 2. 18. 12:59, 빠충 : ㄱㅇㄷ
2019. 2. 18. 12:59, 빠충 : ㄱㅇㅇ
2019. 2. 18. 12:59, 경민 : 피카추컨트롤하는거도졸귀
2019. 2. 18. 12:59, 경민 : 옷입히는거랑....
2019. 2. 18. 13:00, 빠충 : 이미 장바구니에 담았네 담았어
2019. 2. 18. 13:00, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:00, 경민 : 쨉스
2019. 2. 18. 13:11, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:11, (알 수 없음) : ㅅㅂ,,
2019. 2. 18. 13:11, (알 수 없음) : 193000원
2019. 2. 18. 13:11, (알 수 없음) : 나오죠.....
2019. 2. 18. 13:11, (알 수 없음) : ㅠ,,,,,,,,스튜핏도이런스튜핏
2019. 2. 18. 13:11, (알 수 없음) : ㅅㅂ
2019. 2. 18. 13:15, 경민 : ㅠ
2019. 2. 18. 13:15, 경민 : 나는깨진채로그냥쓴ㄷ ㅏ...ㅎ
2019. 2. 18. 13:15, (알 수 없음) : 나근데
2019. 2. 18. 13:15, (알 수 없음) : 액정만 문제가 아닌거 같은데
2019. 2. 18. 13:15, (알 수 없음) : 왜 액정만 문제라하지
2019. 2. 18. 13:15, (알 수 없음) : 만약액정고쳤는데
2019. 2. 18. 13:15, (알 수 없음) : 이상하다그러면
2019. 2. 18. 13:15, 경민 : 액정전체 다 갈아주는거아님?
2019. 2. 18. 13:15, (알 수 없음) : 막
2019. 2. 18. 13:15, (알 수 없음) : 지멋대로
2019. 2. 18. 13:15, (알 수 없음) : 클릭되고이런거면
2019. 2. 18. 13:15, (알 수 없음) : 메인보드도
2019. 2. 18. 13:15, (알 수 없음) : 어느정도 눌리고있는겅나ㅣㅁ?
2019. 2. 18. 13:16, (알 수 없음) : 아님?...알못이라
2019. 2. 18. 13:16, (알 수 없음) : 아무것도모름
2019. 2. 18. 13:16, 경민 : 물어보셈나도몰룸.,,,
2019. 2. 18. 13:16, 경민 : ㅎ
2019. 2. 18. 13:16, (알 수 없음) : 근데그냥 액정문제라하고
2019. 2. 18. 13:16, (알 수 없음) : 바로 수리들어가던데
2019. 2. 18. 13:16, (알 수 없음) : ㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:16, (알 수 없음) : 만약그랬는데
2019. 2. 18. 13:16, (알 수 없음) : 이상하다해부리면
2019. 2. 18. 13:16, (알 수 없음) : 액정만갈아도되는줄알았다해야지
2019. 2. 18. 13:16, (알 수 없음) : 바락바락
2019. 2. 18. 13:16, (알 수 없음) : ㅡㅡ
2019. 2. 18. 13:16, (알 수 없음) : 아군데
2019. 2. 18. 13:16, (알 수 없음) : 진짜 ㅠ
2019. 2. 18. 13:16, (알 수 없음) : 1년도안됐는데
2019. 2. 18. 13:16, (알 수 없음) : 힁입니다
2019. 2. 18. 13:18, 경민 : 힘내시게나..ㅠ진자
2019. 2. 18. 13:18, 경민 : 나도가슴아픔
2019. 2. 18. 13:23, (알 수 없음) : 이번주
2019. 2. 18. 13:23, (알 수 없음) : 개스튜핏이었따.....
2019. 2. 18. 13:23, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ재미는
2019. 2. 18. 13:23, (알 수 없음) : 도랐지만 ㅠ
2019. 2. 18. 13:23, (알 수 없음) : 토욜하루에 얼마가 나간거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:23, (알 수 없음) : ㅠㅅㅂ..
2019. 2. 18. 13:24, (알 수 없음) : 횬타,,
2019. 2. 18. 13:24, 경민 : ㅠ.,,,
2019. 2. 18. 13:24, 경민 : 솔직히근데
2019. 2. 18. 13:24, 경민 : 액정안깨졋음
2019. 2. 18. 13:24, 경민 : 갠춘하지안음
2019. 2. 18. 13:24, 경민 : ㅍ
2019. 2. 18. 13:24, 경민 : ㅠ
2019. 2. 18. 13:25, (알 수 없음) : 개갠춘하지
2019. 2. 18. 13:25, (알 수 없음) : ㅅㅂ
2019. 2. 18. 13:25, (알 수 없음) : ㅠ
2019. 2. 18. 13:26, (알 수 없음) : 흡
2019. 2. 18. 13:28, 경민 : ㅡ근데대체어쩌다
2019. 2. 18. 13:28, 경민 : 뿌사진거임
2019. 2. 18. 13:29, (알 수 없음) : ㅁㅊ몰라근데
2019. 2. 18. 13:29, (알 수 없음) : 나존나웃긴얘기해줘도됨?
2019. 2. 18. 13:29, (알 수 없음) : 화면개깨끗해져서기분개좋네 시발
2019. 2. 18. 13:30, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:30, 경민 : 벌써
2019. 2. 18. 13:30, 경민 : 끝?
2019. 2. 18. 13:30, 경민 : ㅋㅋㅋ
2019. 2. 18. 13:32, (알 수 없음) : ㅇㅇㅇ
2019. 2. 18. 13:32, (알 수 없음) : ㅋㅋㅋㅋㅋㅋ아니화면개깨끗
2019. 2. 18. 13:32, (알 수 없음) : 시바
2019. 2. 18. 13:32, (알 수 없음) : 이렇게기분조을일
2019. 2. 18. 13:39, 경민 : zzzz
2019. 2. 18. 13:39, 경민 : 지른다
2019. 2. 18. 13:39, 경민 : http://www.g9.co.kr/Display/VIP/Index/1560533020
2019. 2. 18. 13:39, 경민 : 여기도쿠폰잇어서 33ㅇㅔ살수잇네
2019. 2. 18. 13:39, 빠충 : 레쓰기릿
2019. 2. 18. 13:39, 경민 : 개이둑...
2019. 2. 18. 13:40, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:40, (알 수 없음) : ㄱ
2019. 2. 18. 13:40, 경민 : 근데저거는
2019. 2. 18. 13:41, (알 수 없음) : 아너무귀엽다
2019. 2. 18. 13:41, 경민 : 주변기기준다는거야만다는거야
2019. 2. 18. 13:41, 경민 : 만다는거같지
2019. 2. 18. 13:41, (알 수 없음) : ㅇㅇ
2019. 2. 18. 13:41, (알 수 없음) : 두개다른거냐
2019. 2. 18. 13:41, (알 수 없음) : 하난이브이키우고
2019. 2. 18. 13:41, (알 수 없음) : 하난치카츄키추은거
2019. 2. 18. 13:41, 경민 : 근데빼충
2019. 2. 18. 13:42, 경민 : 사진
2019. 2. 18. 13:42, 경민 : 저거는원래다주는거마즘?
2019. 2. 18. 13:42, 경민 : 박스안에저거다들어잇납
2019. 2. 18. 13:42, 빠충 : ㅇㅇ
2019. 2. 18. 13:42, 빠충 : 원래 다 주는 거임
2019. 2. 18. 13:43, 경민 : ㄱㅅㄱㅅ
2019. 2. 18. 13:43, 경민 : 아행복해
2019. 2. 18. 13:43, (알 수 없음) : ㄱ
2019. 2. 18. 13:43, (알 수 없음) : 질러벌여
2019. 2. 18. 13:43, (알 수 없음) : 이번주토요일소비내역
2019. 2. 18. 13:43, (알 수 없음) : 들으실분
2019. 2. 18. 13:43, (알 수 없음) : 진짜스튜핏잔치졸임
2019. 2. 18. 13:43, 경민 : ㄱ
2019. 2. 18. 13:44, 경민 : 빼충강화필름사야겟지
2019. 2. 18. 13:44, 경민 : ?
2019. 2. 18. 13:44, (알 수 없음) : 대전 서울 20100
좆노맛쌀국수 7500
1차 26500
2차 16200
여기부터시작임
서울 택시 12000
서울 대전 23700
대전 택시 9600
2019. 2. 18. 13:44, 빠충 : 굳이?
2019. 2. 18. 13:44, 빠충 : 신경쓰이묜 사셈
2019. 2. 18. 13:44, (알 수 없음) : 거기에액정이193000
2019. 2. 18. 13:44, (알 수 없음) : 액정깨진다
2019. 2. 18. 13:44, (알 수 없음) : 강화필음 ㄱ
2019. 2. 18. 13:45, (알 수 없음) : 아근데 좀많이고챠준듯
2019. 2. 18. 13:45, (알 수 없음) : 방수기능먹통됏엇대
2019. 2. 18. 13:45, (알 수 없음) : 예전에간장먹은 볼륨업다운버튼도 수정해줌
2019. 2. 18. 13:45, (알 수 없음) : 배터리도갈아주고
2019. 2. 18. 13:47, 경민 : ㅋㅋㅋㅋ
2019. 2. 18. 13:47, 경민 : ㅊㅋ
2019. 2. 18. 13:48, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 18. 13:48, (알 수 없음) : ㄱㅅㄱㅅ
2019. 2. 18. 13:48, (알 수 없음) : 참단순하쥬
2019. 2. 18. 13:48, 경민 : 심심해서
2019. 2. 18. 13:48, 경민 : 더해봤거든
2019. 2. 18. 13:48, 경민 : 308600이네
2019. 2. 18. 13:48, 경민 : 오재훈 나보다 돈 많이쓰는듯
