Talk_2021.8.24 13:11-79.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 20일 수요일
2021. 1. 20. 10:56, 경민 : 10점받고싶누
2021. 1. 20. 16:46, abyss오재 : 전과하면 반년은 더있어야하는데
2021. 1. 20. 16:46, abyss오재 : 솔직히 반년더있는거 좁밥
2021. 1. 20. 16:46, abyss오재 : ㅇㅈ
2021. 1. 20. 16:46, abyss오재 : /?
2021. 1. 20. 16:46, 경민 : ㅋ
2021. 1. 20. 16:46, 경민 : 비ㅐ웃은거
2021. 1. 20. 16:46, 경민 : 아니루ㅏ누
2021. 1. 20. 16:47, 경민 : 메플하느라;
2021. 1. 20. 16:50, 원준오빠 : 오 전과함?
2021. 1. 20. 16:50, 원준오빠 : 어디루?왜?
2021. 1. 20. 16:50, 원준오빠 : ㅇㅈㄴㅈ
2021. 1. 20. 16:50, 원준오빠 : ㅇㅈ
2021. 1. 20. 17:02, abyss오재 : 지금산공관데
2021. 1. 20. 17:02, abyss오재 : 교수님따라
2021. 1. 20. 17:02, abyss오재 : AI 과로
2021. 1. 20. 17:02, abyss오재 : 옮겨갈라구요
2021. 1. 20. 17:03, abyss오재 : 이모티콘 
2021. 1. 20. 17:05, 정우 : ㅌㄱㅌㄱ
2021. 1. 20. 17:05, 정우 : 오 오재
2021. 1. 20. 17:05, 정우 : 전과자네
2021. 1. 20. 17:07, abyss오재 : 그렇지
2021. 1. 20. 17:07, abyss오재 : 우쒸 전과되는줄알았으면
2021. 1. 20. 17:07, abyss오재 : 저번학기에할걸?;
2021. 1. 20. 17:07, abyss오재 : 멍청했누;;
2021. 1. 20. 17:10, 정우 : ㄱㅊㄱㅊ
2021. 1. 20. 17:16, 원준오빠 : 오 전과를 해야하는거구나
2021. 1. 20. 17:16, 원준오빠 : 전과자 ㅊㅋㅊㅋ
2021. 1. 20. 17:17, abyss오재 : 요요안일하게잇다가
2021. 1. 20. 17:17, abyss오재 : 괜히다옮긴다길래나두옮겨볼려고;;
2021. 1. 20. 17:17, abyss오재 : 시간날렷쥬
2021. 1. 20. 17:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 17:17, 정우 : 대세따르누
2021. 1. 20. 17:18, abyss오재 : 그니까가자마자옮길걸
2021. 1. 20. 17:18, abyss오재 : 뚜아쉿
2021. 1. 20. 17:18, 원준오빠 : 후후
2021. 1. 20. 17:18, 원준오빠 : 반년 늘어났누
2021. 1. 20. 17:18, 원준오빠 : 반년동안
2021. 1. 20. 17:18, 원준오빠 : 메플 ㄱ
2021. 1. 20. 17:20, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 17:20, abyss오재 : 따쉿
2021. 1. 20. 18:07, abyss오재 : 형 히어로즈m 코인 어케모응ㅁ;;?
2021. 1. 20. 18:08, 원준오빠 : 그거
2021. 1. 20. 18:08, 원준오빠 : 슈피겔만
2021. 1. 20. 18:08, 원준오빠 : 지역탐험 하셈
2021. 1. 20. 18:09, abyss오재 : 아 미친
2021. 1. 20. 18:09, abyss오재 : 그랫군
2021. 1. 20. 18:10, 원준오빠 : 그거 대충 돌려놓르면 댐
2021. 1. 20. 18:10, abyss오재 : 이제 깨달았어;
2021. 1. 20. 18:11, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 18:11, 원준오빠 : 난 누를수있는거 다 눌러봄
2021. 1. 20. 18:12, abyss오재 : 탐험이 이게 탐험이었군
2021. 1. 20. 18:12, 원준오빠 : 탐험이 탐험임
2021. 1. 20. 18:12, 원준오빠 : 애들 렙업은 시킴?
2021. 1. 20. 18:12, abyss오재 : ㄴㄴ
2021. 1. 20. 18:12, abyss오재 : 내가 없어서
2021. 1. 20. 18:12, abyss오재 : 렙업이안됨
2021. 1. 20. 18:13, 부그뷰 : ㅅㅁㅅ
2021. 1. 20. 18:14, 원준오빠 : 스무스
2021. 1. 20. 18:14, 원준오빠 : 스미스
2021. 1. 20. 18:16, abyss오재 : 스우브웁
2021. 1. 20. 18:41, 경민 : 이ㅏ ㅏ개잠오누
2021. 1. 20. 19:13, 빠충 : 사진
2021. 1. 20. 19:13, 빠충 : Gogi nyam nyam
2021. 1. 20. 19:14, 경민 : 지렷;
2021. 1. 20. 19:16, abyss오재 : 고추가왜저렇누
2021. 1. 20. 19:16, abyss오재 : 꽈리고춘가?
2021. 1. 20. 19:17, abyss오재 : 고기맛잇겟누
2021. 1. 20. 19:17, abyss오재 : 난간맘에맴스터치먹엇는데맛잇넹
2021. 1. 20. 19:18, 정우 : 오 고기
2021. 1. 20. 19:18, 정우 : 맛있겠다;;;;
2021. 1. 20. 19:23, abyss오재 : 퇴근ㄱㄴ?
2021. 1. 20. 19:28, 빠충 : ㄴㄴ
2021. 1. 20. 19:28, 빠충 : 근데 이러면
2021. 1. 20. 19:28, 빠충 : 퇴근 개빨리하고 싶어짐
2021. 1. 20. 19:37, abyss오재 : 왜;
2021. 1. 20. 19:37, abyss오재 : 아니 겨울은 ㄹㅇ 날어두우니까
2021. 1. 20. 19:37, abyss오재 : 칼퇴밖에생각안남
2021. 1. 20. 19:39, 경민 : @신원준  @우성  오늘몇시에오누?
2021. 1. 20. 19:43, 원준오빠 : 엄때나 가늉띠
2021. 1. 20. 19:43, 원준오빠 : 맞다 히어로즈 탐험도 해야댐
2021. 1. 20. 19:43, 경민 : 야눗이언제오지
2021. 1. 20. 19:44, abyss오재 : 히어로즈 좀 힘들어;
2021. 1. 20. 19:57, 양우성 : ㅎㅇㅎ
2021. 1. 20. 19:57, 양우성 : 나도 ㄱㄴㄱㄴ
2021. 1. 20. 19:58, 양우성 : 야붕께충성충성
2021. 1. 20. 19:58, 양우성 : 이모티콘 
2021. 1. 20. 20:17, 경민 : 오며는
2021. 1. 20. 20:17, 경민 : 말해
2021. 1. 20. 20:17, 경민 : 나
2021. 1. 20. 20:17, 경민 : 롤하고이썽
2021. 1. 20. 20:17, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 20:18, 부그뷰 : ㅌㅌㄱㄷ
2021. 1. 20. 20:21, 원준오빠 : 야눗 언제들갈거임?
2021. 1. 20. 20:23, abyss오재 : 퇴퇴근띠
2021. 1. 20. 20:23, abyss오재 : 부 경보 띠
2021. 1. 20. 20:23, abyss오재 : 엘지폰 사업
2021. 1. 20. 20:23, abyss오재 : 접는다는데
2021. 1. 20. 20:23, abyss오재 : 아예접는건가 뭐지
2021. 1. 20. 20:24, abyss오재 : 샵검색: #Lg휴대폰 32년
2021. 1. 20. 20:27, 부그뷰 : 접을때됬지
2021. 1. 20. 20:27, 부그뷰 : 이제 폰 머사냐~.~
2021. 1. 20. 20:27, 부그뷰 : 엘지폰 중3때부터 썼는뎅
2021. 1. 20. 20:28, abyss오재 : 에어뽈~
2021. 1. 20. 20:29, 원준오빠 : ㅁㅊ
2021. 1. 20. 20:29, 원준오빠 : 의연하게 받아들이네
2021. 1. 20. 20:30, 부그뷰 : 되어부려쓰
2021. 1. 20. 20:30, 부그뷰 : 아 너무 피곤해
2021. 1. 20. 20:31, 부그뷰 : 하루종일 회로 디버깅하니까
2021. 1. 20. 20:31, 부그뷰 : 납연기만마시면 개피곤해짐
2021. 1. 20. 20:31, 원준오빠 : ㅠㅠ
2021. 1. 20. 20:32, 원준오빠 : 숨쉬지말자ㅠ
2021. 1. 20. 20:32, 원준오빠 : 납 앞에서
2021. 1. 20. 20:32, abyss오재 : 납이야
2021. 1. 20. 20:32, abyss오재 : 피곤해지면안돼
2021. 1. 20. 20:32, abyss오재 : 와이제수요일이야존나시간안가
2021. 1. 20. 20:39, 양우성 : 9반쯤 가려공 ㅎㅎ
2021. 1. 20. 20:39, 양우성 : 다들괜춘?
2021. 1. 20. 20:40, 양우성 : 뿌고생했어 ㅠ
2021. 1. 20. 20:44, 경민 : ㅇㅋㅇㅋ
2021. 1. 20. 20:48, 원준오빠 : ㅋㅇㅋㅋㅇㅋ
2021. 1. 20. 21:29, 원준오빠 : 유퀴즈에
2021. 1. 20. 21:29, 원준오빠 : 최준나옴
2021. 1. 20. 21:29, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 21:30, 양우성 : 드감드감
2021. 1. 20. 21:32, 경민 : ㅇㅋㅇㅋ
2021. 1. 20. 21:36, 경민 : 넌준오빠언제와:?
2021. 1. 20. 21:36, 원준오빠 : 드감드감
2021. 1. 20. 21:42, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 21:42, abyss오재 : 최준보고왓듬
2021. 1. 20. 21:42, 경민 : 야눗머하눗
2021. 1. 20. 21:42, 양우성 : 들오들오
2021. 1. 20. 21:43, 양우성 : 챗창설정 잘못되잇엇음
2021. 1. 20. 21:43, 양우성 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 21:43, 경민 : ㅋㅋㅋㅋ
2021. 1. 20. 21:54, 양우성 : 어재는 오늘못들온다햇나
2021. 1. 20. 22:04, abyss오재 : 나낼논뭔제출
2021. 1. 20. 22:04, abyss오재 : ㅋㅎ
2021. 1. 20. 22:28, 원준오빠 : 앱솔신발 장만 헤헤
2021. 1. 20. 22:29, 경민 : ㅊㅋㅊㅋ
2021. 1. 20. 22:29, 경민 : 나
2021. 1. 20. 22:29, 경민 : 코젬적금깸
2021. 1. 20. 22:29, 경민 : 26억으로
2021. 1. 20. 22:29, 경민 : 에디큐브돌린다
2021. 1. 20. 22:30, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ가즈아
2021. 1. 20. 22:37, abyss오재 : 가쥬악
2021. 1. 20. 22:37, abyss오재 : 페엠113이다
2021. 1. 20. 22:37, abyss오재 : 개안올라...
2021. 1. 20. 22:42, 원준오빠 : 파티플레이함?
2021. 1. 20. 22:44, abyss오재 : 응
2021. 1. 20. 22:44, abyss오재 : 당욘...
2021. 1. 20. 22:44, abyss오재 : 부정우 이경보중에
2021. 1. 20. 22:44, abyss오재 : 양말놔두고간애있네
2021. 1. 20. 22:46, abyss오재 : 히어로즈m에서 메르세데스
2021. 1. 20. 22:46, 정우 : 호옹
2021. 1. 20. 22:46, abyss오재 : 너무귀요운데;
2021. 1. 20. 22:46, 정우 : 다가져간거같은데
2021. 1. 20. 22:46, abyss오재 : 그럼
2021. 1. 20. 22:46, abyss오재 : 부경본가봐
2021. 1. 20. 22:46, 정우 : 내 착각일수도있지 뭐
2021. 1. 20. 22:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 22:50, abyss오재 : 뭐
2021. 1. 20. 22:50, abyss오재 : 아닐수도있찌
2021. 1. 20. 22:50, abyss오재 : 아
2021. 1. 20. 22:50, abyss오재 : 킹받아,,,,,
2021. 1. 20. 22:50, abyss오재 : 탐험하는거
2021. 1. 20. 22:50, abyss오재 : 무료라면서
2021. 1. 20. 22:50, abyss오재 : 왜백마넌내놓으라는거야
2021. 1. 20. 22:50, abyss오재 : 개같네...
2021. 1. 20. 22:52, 정우 : ;;;;
2021. 1. 20. 22:52, 정우 : 말이
2021. 1. 20. 22:52, 정우 : 앞뒤가다르누
2021. 1. 20. 22:54, abyss오재 : ㄹㅇ
2021. 1. 20. 22:54, abyss오재 : 메플샊
2021. 1. 20. 22:54, abyss오재 : 쌍킹받게하네^^
2021. 1. 20. 22:54, abyss오재 : ㅋㅋㅋㅋㅋㅎ
2021. 1. 20. 22:55, abyss오재 : 하고있는내가 ㅠ
2021. 1. 20. 22:56, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 22:56, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 22:56, abyss오재 : 120찍꼬
2021. 1. 20. 22:56, abyss오재 : 사냥터옮겨가고싶다
2021. 1. 20. 22:56, abyss오재 : 이클레틱쎗맞춰서
2021. 1. 20. 22:56, abyss오재 : 후
2021. 1. 20. 22:57, abyss오재 : 핫타임만노려서해야겠따
2021. 1. 20. 23:02, 정우 : 휴
2021. 1. 20. 23:02, 정우 : 아 피곤해
2021. 1. 20. 23:02, abyss오재 : 어우나도
2021. 1. 20. 23:02, 정우 : 내일어케가지
2021. 1. 20. 23:02, abyss오재 : 내일하루만
2021. 1. 20. 23:02, abyss오재 : 개고생해야겠다
2021. 1. 20. 23:06, 정우 : 왜 개고생함
2021. 1. 20. 23:07, abyss오재 : 밤9시제출이니까
2021. 1. 20. 23:07, abyss오재 : 아직한문장못채움
2021. 1. 20. 23:07, abyss오재 : ;;;;
2021. 1. 20. 23:10, 정우 : 쉽지않네;;
2021. 1. 20. 23:10, 정우 : ㅠ
2021. 1. 20. 23:14, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 20. 23:14, abyss오재 : 허헛
2021. 1. 20. 23:18, 경민 : 사진
2021. 1. 20. 23:18, 경민 : 천만걍넘김
2021. 1. 20. 23:39, abyss오재 : ㅁㅊ
2021. 1. 20. 23:39, abyss오재 : 개쎼다 진짜미친
2021. 1. 20. 23:39, 경민 : 사진
2021. 1. 20. 23:39, 경민 : 밑잠 공2줄
2021. 1. 20. 23:39, abyss오재 : ㅁㅊ
2021. 1. 20. 23:39, abyss오재 : 돌았따...
2021. 1. 20. 23:39, abyss오재 : 김 존나맛ㄱ잇다
2021. 1. 20. 23:39, 정우 : 갑분김
2021. 1. 20. 23:40, 정우 : 아
2021. 1. 20. 23:40, 정우 : 라면먹고싶다 갑자기
2021. 1. 20. 23:41, 경민 : ㄱ
2021. 1. 20. 23:41, 정우 : ㄴㄴ
2021. 1. 20. 23:41, 정우 : 자야함 이제
2021. 1. 20. 23:51, 원준오빠 : ㅁㅊ
2021. 1. 20. 23:51, 원준오빠 : 오늘 라스에 쯔양나옴

2021년 1월 21일 목요일
2021. 1. 21. 00:20, abyss오재 : 골목식당봐버렸따
2021. 1. 21. 00:20, abyss오재 : 김 ;;;;
2021. 1. 21. 00:21, abyss오재 : 안주 존나맛있어 미친진짜
2021. 1. 21. 00:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋ김미쳤다리네
2021. 1. 21. 00:21, 경민 : ㅁㅊ
2021. 1. 21. 00:21, 경민 : 골식
2021. 1. 21. 00:21, 경민 : 못봣다까먹고
2021. 1. 21. 00:21, 경민 : 메이플한다구;
2021. 1. 21. 00:37, abyss오재 : 으
2021. 1. 21. 00:37, abyss오재 : 메엠씨발
2021. 1. 21. 00:37, abyss오재 : 12시전에 완료눌렀
2021. 1. 21. 00:37, abyss오재 : 어야하는데
2021. 1. 21. 00:37, abyss오재 : 안눌렀따
2021. 1. 21. 00:37, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 00:57, abyss오재 : 으
2021. 1. 21. 00:57, abyss오재 : 지금일을할까6시에일어날까
2021. 1. 21. 01:08, 원준오빠 : 지금ㄹ하쟈
2021. 1. 21. 01:11, abyss오재 : ㅇㅋㅇㅋ
2021. 1. 21. 01:11, abyss오재 : 형왜근데
2021. 1. 21. 01:12, abyss오재 : 메엠
2021. 1. 21. 01:12, abyss오재 : 다른건 다 20레벨 차이나도 전수되는데
2021. 1. 21. 01:12, abyss오재 : 옷은안되지?
2021. 1. 21. 01:15, abyss오재 : 와 한벌옷은...스타포스가 2배로먹히는구나
2021. 1. 21. 01:15, abyss오재 : 첨알앗네;
2021. 1. 21. 01:15, abyss오재 : 뭐야잘되네 전수
2021. 1. 21. 01:15, abyss오재 : 오류였구나;
2021. 1. 21. 01:19, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 01:20, 경민 : 하드스우
2021. 1. 21. 01:20, 경민 : 데카아웃당햇누
2021. 1. 21. 01:20, 경민 : 버스타도
2021. 1. 21. 01:20, 경민 : 데카아웃당함
2021. 1. 21. 01:20, 경민 : ㅎㅅㅂ;
2021. 1. 21. 01:24, 원준오빠 : 으엑 진자 메엠 스타포스비용 너무해
2021. 1. 21. 01:24, 원준오빠 : ㅋㅎ
2021. 1. 21. 06:25, 부그뷰 : ㅇㅎ
2021. 1. 21. 07:23, abyss오재 : 식밧쇼
2021. 1. 21. 08:34, 정우 : ㅎㅇㅎㅇ
2021. 1. 21. 08:36, abyss오재 : ㅎㅇㅎ👌ㅇ
2021. 1. 21. 08:36, abyss오재 : 출완
2021. 1. 21. 08:58, 빠충 : ㅎㅇ
2021. 1. 21. 08:58, abyss오재 : ㅎㅇㅎㅇ
2021. 1. 21. 08:59, 빠충 : 아
