Talk_2021.8.24 13:11-70.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 27일 수요일
2020. 5. 27. 13:22, 빠충 : 니 뭐했는데 이래 물렸냐
2020. 5. 27. 21:11, (알 수 없음) : ㅎ;;;;;;
2020. 5. 27. 21:11, (알 수 없음) : 이모티콘 
2020. 5. 27. 21:12, (알 수 없음) : 이모티콘 
2020. 5. 27. 21:12, 정우 : ㅎ;;;;;;;;;;;
2020. 5. 27. 21:12, 정우 : 8시간자면
2020. 5. 27. 21:12, 정우 : 자는시간빼고 전부다일하면되네
2020. 5. 27. 21:12, 정우 : 야진짜 롤체 어케하냐 그생활에
2020. 5. 27. 21:12, 정우 : ㅅㅂ
2020. 5. 27. 21:12, 정우 : 존경한다
2020. 5. 27. 21:13, 정우 : 난오늘 카트모바일이 그렇게재밌다고
2020. 5. 27. 21:13, 정우 : 얘기를들어서
2020. 5. 27. 21:13, (알 수 없음) : 8시간잔다구요?ㅆ!
2020. 5. 27. 21:13, 정우 : 다음주부터 조져볼까 생각중
2020. 5. 27. 21:13, (알 수 없음) : 4시간~5시간자야쥬!
2020. 5. 27. 21:13, (알 수 없음) : 그럼롤체할시간
2020. 5. 27. 21:13, (알 수 없음) : 뾰로롱
2020. 5. 27. 21:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 27. 21:13, 정우 : ㅅㅂ
2020. 5. 27. 21:13, 정우 : 나는왜
2020. 5. 27. 21:13, 정우 : 롤체도 안하는데 5시간자냐
2020. 5. 27. 21:13, 정우 : ㅅㅂ;;;;
2020. 5. 27. 21:14, (알 수 없음) : 니는이동시간
2020. 5. 27. 21:14, (알 수 없음) : 세시간뾰로롱~
