Talk_2021.8.24 13:11-67.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 4월 22일 수요일
2020. 4. 22. 21:13, 이석준 : 2년계약...
2020. 4. 22. 21:16, (알 수 없음) : 적당히함
2020. 4. 22. 21:16, (알 수 없음) : 연구실형이랑
2020. 4. 22. 21:16, (알 수 없음) : 회의중에갑자기
2020. 4. 22. 21:16, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:16, (알 수 없음) : 조나찾아봤네
2020. 4. 22. 21:16, (알 수 없음) : ㅅㅂ;
2020. 4. 22. 21:16, (알 수 없음) : 회의마치고옴
2020. 4. 22. 21:16, (알 수 없음) : ㅅㅂ 코먹었따
2020. 4. 22. 21:16, (알 수 없음) : 웃다가
2020. 4. 22. 21:16, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:17, 경민 : ㅋㅌㅋㅌㅌㅌㅌㅌㅌㅌ
2020. 4. 22. 21:17, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:17, 경민 : 그러면뷰조은곳으로
2020. 4. 22. 21:17, 원준오빠 : 코 먹지마 ㅡㅡ
2020. 4. 22. 21:17, 경민 : 찾아봐
2020. 4. 22. 21:17, 원준오빠 : 술마셔 임뫄
2020. 4. 22. 21:17, 원준오빠 : ㅎㅎㅎㅎㅎ
2020. 4. 22. 21:17, 경민 : (민망)
2020. 4. 22. 21:18, (알 수 없음) : 연구실형한테
2020. 4. 22. 21:18, (알 수 없음) : 한잔하러가실하면
2020. 4. 22. 21:18, (알 수 없음) : 하러갈거같은데
2020. 4. 22. 21:18, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:18, (알 수 없음) : 뷰좋은곳
2020. 4. 22. 21:18, (알 수 없음) : 너네도다같이가나
2020. 4. 22. 21:18, (알 수 없음) : 야우리담날2시회의다
2020. 4. 22. 21:18, (알 수 없음) : 잊지마라,,,,,,
2020. 4. 22. 21:28, 부그뷰 : 너네 친구 왜케 많냐;;
2020. 4. 22. 21:29, 이석준 : ㄹㅇ
2020. 4. 22. 21:29, 이석준 : 부럽다
2020. 4. 22. 21:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:37, 정우 : 아니
2020. 4. 22. 21:37, 정우 : 우리들끼리
2020. 4. 22. 21:37, 정우 : 놀계획 짜는거아님?
2020. 4. 22. 21:47, 원준오빠 : 부경도 군대 친구 교육친구
2020. 4. 22. 21:47, 원준오빠 : 많으면서
2020. 4. 22. 21:47, 원준오빠 : 능멸ㅠ
2020. 4. 22. 21:47, 정우 : 부인싸~~~~~~~~~~
2020. 4. 22. 21:47, 정우 : 인싸부~~~~~~~~~~~~~
2020. 4. 22. 21:47, 정우 : 뷰티인싸이드같네 갑자기
2020. 4. 22. 21:47, 정우 : 부티인싸이득
2020. 4. 22. 21:48, 정우 : 열시부터 운동해야지
2020. 4. 22. 21:49, 이석준 : ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:49, 이석준 : 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 21:54, 원준오빠 : 야붕
2020. 4. 22. 21:54, 원준오빠 : 10롤체 못할듯 ㅠ
2020. 4. 22. 21:54, 원준오빠 : 12시 가능? ㅎ
2020. 4. 22. 21:58, 경민 : ㅋㅌㅌㅌㅌㅌㅌ
2020. 4. 22. 21:58, 경민 : ㅠㅅㅂ 꽁지햇어
2020. 4. 22. 21:58, 경민 : 술먹고햇떠니ㅠㅡㅠ
2020. 4. 22. 21:59, (알 수 없음) : ㅎㅇ
2020. 4. 22. 21:59, (알 수 없음) : 집다간다
2020. 4. 22. 21:59, 정우 : ㅊㅋㅊㅋ
2020. 4. 22. 21:59, 경민 : 눈뜨신임
2020. 4. 22. 21:59, 경민 : 나는
2020. 4. 22. 21:59, 경민 : !
2020. 4. 22. 22:00, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:00, 정우 : 눈뜨신
2020. 4. 22. 22:00, 정우 : 왜웃기냐ㅠ
2020. 4. 22. 22:01, (알 수 없음) : 집간다
2020. 4. 22. 22:01, 정우 : 다와간다는거
2020. 4. 22. 22:01, 정우 : 아니였냐?
2020. 4. 22. 22:02, (알 수 없음) : ㄴㄴㄴ
2020. 4. 22. 22:02, (알 수 없음) : 집집따리집집짜
2020. 4. 22. 22:03, (알 수 없음) : 공덕집
2020. 4. 22. 22:03, (알 수 없음) : 들어갈사람찾는다
2020. 4. 22. 22:03, (알 수 없음) : 일단 오재훈신원준
2020. 4. 22. 22:07, 정우 : 개꿀잼각
2020. 4. 22. 22:07, (알 수 없음) : 니괴박하냐
2020. 4. 22. 22:07, 정우 : 홍보해줌
2020. 4. 22. 22:07, (알 수 없음) : 외박하냐
2020. 4. 22. 22:07, 정우 : ㄴㄴ
2020. 4. 22. 22:07, (알 수 없음) : ㅎㅎ
2020. 4. 22. 22:07, (알 수 없음) : 근욜날
2020. 4. 22. 22:07, (알 수 없음) : 거기서놀다가
2020. 4. 22. 22:07, (알 수 없음) : 집가는지하철끊기면
2020. 4. 22. 22:07, 이석준 : 방송켜놔야겠다
2020. 4. 22. 22:07, (알 수 없음) : 공덕즘에내려
2020. 4. 22. 22:07, (알 수 없음) : 뮤슨방송
2020. 4. 22. 22:07, 이석준 : 카카오방송
2020. 4. 22. 22:07, 이석준 : 라이브
2020. 4. 22. 22:07, (알 수 없음) : 신림탈출방송?
2020. 4. 22. 22:08, (알 수 없음) : 니머하는데
2020. 4. 22. 22:08, 이석준 : 여기서
2020. 4. 22. 22:08, 이석준 : ;
2020. 4. 22. 22:08, (알 수 없음) : ??
2020. 4. 22. 22:08, (알 수 없음) : 아니언제
2020. 4. 22. 22:08, 원준오빠 : ?
2020. 4. 22. 22:08, (알 수 없음) : 쉬앙
2020. 4. 22. 22:08, (알 수 없음) : 원준이형
2020. 4. 22. 22:08, (알 수 없음) : 빨리방보셈
2020. 4. 22. 22:08, (알 수 없음) : !
2020. 4. 22. 22:09, 원준오빠 : 너가고르샘 ㅎ
2020. 4. 22. 22:09, 원준오빠 : 다조음ㅋ
2020. 4. 22. 22:09, 원준오빠 : 이모티콘 
2020. 4. 22. 22:09, (알 수 없음) : ㅡㅡ
2020. 4. 22. 22:09, (알 수 없음) : ㅇㅋ
2020. 4. 22. 22:09, (알 수 없음) : 50마넌짜리함한다
2020. 4. 22. 22:09, (알 수 없음) : 플렉스
2020. 4. 22. 22:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:09, 원준오빠 : ㅅㅂ
2020. 4. 22. 22:09, (알 수 없음) : ㅠ50마넌이플렉스라니
2020. 4. 22. 22:09, (알 수 없음) : 우리빨리돈벌자
2020. 4. 22. 22:09, (알 수 없음) : 쀼의세계는
2020. 4. 22. 22:09, 원준오빠 : 아 미리 봐야하는구나
2020. 4. 22. 22:09, (알 수 없음) : 후
2020. 4. 22. 22:09, (알 수 없음) : 아맞다
2020. 4. 22. 22:09, 원준오빠 : 방
2020. 4. 22. 22:10, (알 수 없음) : 쀼의세게ㅠ
2020. 4. 22. 22:10, 원준오빠 : 쀼 ㅠ
2020. 4. 22. 22:11, 이석준 : 오재
2020. 4. 22. 22:11, 이석준 : 카카오 아레나
2020. 4. 22. 22:11, 이석준 : 이런거 해봤냐
2020. 4. 22. 22:11, (알 수 없음) : 그건또머임
2020. 4. 22. 22:11, (알 수 없음) : ???
2020. 4. 22. 22:11, 이석준 : 안해봤나보군
2020. 4. 22. 22:11, (알 수 없음) : 흥미를돋구네
2020. 4. 22. 22:11, (알 수 없음) : 아레나뛰면됨?
2020. 4. 22. 22:11, 이석준 : https://arena.kakao.com/
2020. 4. 22. 22:11, (알 수 없음) : 아
2020. 4. 22. 22:11, 이석준 : 순위권안에 들면
2020. 4. 22. 22:11, 이석준 : 돈줌
2020. 4. 22. 22:11, (알 수 없음) : 이거
2020. 4. 22. 22:11, (알 수 없음) : 카카오
2020. 4. 22. 22:11, (알 수 없음) : 멜론
2020. 4. 22. 22:11, (알 수 없음) : 순차예측이욧
2020. 4. 22. 22:12, (알 수 없음) : 오늘저거만
2020. 4. 22. 22:12, (알 수 없음) : 3개받음
2020. 4. 22. 22:12, (알 수 없음) : 할래라고
2020. 4. 22. 22:12, (알 수 없음) : ㅅㅈ
2020. 4. 22. 22:12, 이석준 : ㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:12, (알 수 없음) : 바빠뒤지겟는데어ㅠ
2020. 4. 22. 22:12, (알 수 없음) : 하셈
2020. 4. 22. 22:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:12, (알 수 없음) : ㄱ
2020. 4. 22. 22:12, 이석준 : 할라고
2020. 4. 22. 22:12, 이석준 : 공부중인데
2020. 4. 22. 22:12, (알 수 없음) : 저거
2020. 4. 22. 22:12, 이석준 : 할수있을까
2020. 4. 22. 22:12, (알 수 없음) : 성대애들잘함
2020. 4. 22. 22:12, 이석준 : 내가
2020. 4. 22. 22:12, (알 수 없음) : 전세계에서
2020. 4. 22. 22:12, (알 수 없음) : 2등찍음
2020. 4. 22. 22:12, (알 수 없음) : 17년인가
2020. 4. 22. 22:13, (알 수 없음) : recsyschallenge 2017
2020. 4. 22. 22:13, (알 수 없음) : 인가찾아보면 스포티파이에서
2020. 4. 22. 22:13, (알 수 없음) : 저거유사한거열엇엇음
2020. 4. 22. 22:13, 이석준 : 오우
2020. 4. 22. 22:13, (알 수 없음) : 거기애들어케햇나보고
2020. 4. 22. 22:13, (알 수 없음) : 데이터유사한가보고
2020. 4. 22. 22:13, (알 수 없음) : 이후아이디어추가하고
2020. 4. 22. 22:13, (알 수 없음) : 이후논문 ㄱ
2020. 4. 22. 22:14, (알 수 없음) : 18년일거같다왠지
2020. 4. 22. 22:14, (알 수 없음) : 샵검색: #spotify recsys
2020. 4. 22. 22:14, (알 수 없음) : 저기 음악 신호로 아는
2020. 4. 22. 22:14, (알 수 없음) : 빠충잇으니까물어보고
2020. 4. 22. 22:14, 빠충 : 뭐또
2020. 4. 22. 22:15, (알 수 없음) : 아니쟤말이야
2020. 4. 22. 22:15, (알 수 없음) : 저거음악추천뭐하는데
2020. 4. 22. 22:15, 빠충 : ㅇㅇ
2020. 4. 22. 22:15, (알 수 없음) : 데이터로아마
2020. 4. 22. 22:15, (알 수 없음) : 스펙트로그램
2020. 4. 22. 22:15, (알 수 없음) : 준다햇던거같은데
2020. 4. 22. 22:15, 빠충 : 죽여죽여
2020. 4. 22. 22:15, 빠충 : 아니
2020. 4. 22. 22:15, 빠충 : 죽이지말고
2020. 4. 22. 22:15, (알 수 없음) : 일인팀참가해서
2020. 4. 22. 22:15, (알 수 없음) : 혼자껄쩍대볼까
2020. 4. 22. 22:15, (알 수 없음) : 같이할정도로열심히할시간업는데
2020. 4. 22. 22:16, 이석준 : 나 좀 가르쳐줘봐
2020. 4. 22. 22:16, (알 수 없음) : 100만원주셈
2020. 4. 22. 22:16, (알 수 없음) : 요새돈에눈이멀어서
2020. 4. 22. 22:16, 이석준 : 상금으로 100만원 줄게
2020. 4. 22. 22:16, 이석준 : 고
2020. 4. 22. 22:16, (알 수 없음) : 돈에따라움직임
2020. 4. 22. 22:16, (알 수 없음) : 머야;
2020. 4. 22. 22:16, (알 수 없음) : 다내놔
2020. 4. 22. 22:16, 이석준 : ㅇㅋ;
2020. 4. 22. 22:16, (알 수 없음) : 음성하는애들다붘겟네
2020. 4. 22. 22:17, (알 수 없음) : 하셈재밋겟댜
2020. 4. 22. 22:17, (알 수 없음) : 집가서살펴나봐야지
2020. 4. 22. 22:17, 이석준 : 음성으로 하는거
2020. 4. 22. 22:17, 이석준 : 아님
2020. 4. 22. 22:17, (알 수 없음) : 뭐임
2020. 4. 22. 22:17, (알 수 없음) : 데이터뭐임
2020. 4. 22. 22:17, 이석준 : 노래에 따라 붙어있는
2020. 4. 22. 22:17, 이석준 : 태그들
2020. 4. 22. 22:17, 이석준 : 이런거로
2020. 4. 22. 22:17, (알 수 없음) : 태깅이냐
2020. 4. 22. 22:17, (알 수 없음) : 주오압
2020. 4. 22. 22:17, (알 수 없음) : 타이틀
2020. 4. 22. 22:17, (알 수 없음) : 준댓던거같은데
2020. 4. 22. 22:17, (알 수 없음) : 아싸집다와간다
2020. 4. 22. 22:17, (알 수 없음) : 집가서샤워하고일맥하면서읽어봄
2020. 4. 22. 22:18, 이석준 : ㅇㅋ
2020. 4. 22. 22:19, (알 수 없음) : 뭐야
2020. 4. 22. 22:19, (알 수 없음) : 멜스펙트로그램주잖아ㅡㅡ
2020. 4. 22. 22:19, (알 수 없음) : 소리주는거맞음그럼
2020. 4. 22. 22:19, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:19, (알 수 없음) : 사진
2020. 4. 22. 22:19, 이석준 : 어
2020. 4. 22. 22:19, 이석준 : 저거 못봣음
2020. 4. 22. 22:19, 이석준 : 뭐야
2020. 4. 22. 22:19, 이석준 : 있었네
2020. 4. 22. 22:19, 이석준 : ㅡㅡ
2020. 4. 22. 22:19, 이석준 : 왜 이제 말해줌??
2020. 4. 22. 22:19, (알 수 없음) : 몰라
2020. 4. 22. 22:20, (알 수 없음) : 세미수퍼바이즈드 각이다
2020. 4. 22. 22:20, (알 수 없음) : 하셈
2020. 4. 22. 22:20, (알 수 없음) : 이래라저래라존나해줌
2020. 4. 22. 22:22, (알 수 없음) : ㅎㅇ 집
2020. 4. 22. 22:22, 이석준 : 오우
2020. 4. 22. 22:24, 부그뷰 : 배고픈뎅
2020. 4. 22. 22:24, 이석준 : 만두
2020. 4. 22. 22:25, (알 수 없음) : 나도 만두
2020. 4. 22. 22:26, 정우 : 만두
2020. 4. 22. 22:26, 정우 : 만두만두만두
2020. 4. 22. 22:26, 정우 : 아 좀 늦었지만
2020. 4. 22. 22:26, 정우 : 간단하게라도
2020. 4. 22. 22:26, 정우 : 운동해야ㅣㅈ
2020. 4. 22. 22:27, (알 수 없음) : 나도
2020. 4. 22. 22:33, (알 수 없음) : 뭐야ㅑ 이석준;
2020. 4. 22. 22:33, 이석준 : ?
2020. 4. 22. 22:33, (알 수 없음) : 홈페이지에  2018 recsys challenge 논문까지
2020. 4. 22. 22:33, (알 수 없음) : 다정리되어있잖아
2020. 4. 22. 22:34, (알 수 없음) : ㅡㅡ;
2020. 4. 22. 22:34, 이석준 : 무슨 홈페이지
2020. 4. 22. 22:34, (알 수 없음) : 사진
2020. 4. 22. 22:34, (알 수 없음) : 근데미안 조회수 2네
2020. 4. 22. 22:34, (알 수 없음) : ^^
2020. 4. 22. 22:34, 이석준 : 25분전;;
2020. 4. 22. 22:34, (알 수 없음) : ㅈㅅ.
2020. 4. 22. 22:35, 이석준 : 논문 언제 다읽냐
2020. 4. 22. 22:35, (알 수 없음) : 대충읽어
2020. 4. 22. 22:35, (알 수 없음) : 느낌살려
2020. 4. 22. 22:35, (알 수 없음) : 그리고 걍해
2020. 4. 22. 22:35, (알 수 없음) : ;;
2020. 4. 22. 22:35, 이석준 : ;;
2020. 4. 22. 22:35, (알 수 없음) : 어차피 저거 전문으로하는애들
2020. 4. 22. 22:35, (알 수 없음) : 상받으러갈테니
2020. 4. 22. 22:35, (알 수 없음) : ;;;;;
2020. 4. 22. 22:36, 이석준 : 하긴
2020. 4. 22. 22:36, (알 수 없음) : 어우씨
2020. 4. 22. 22:36, (알 수 없음) : 이상화랑 강남
2020. 4. 22. 22:36, (알 수 없음) : 문어존나큰거
2020. 4. 22. 22:36, (알 수 없음) : 보신분;;?
2020. 4. 22. 22:36, (알 수 없음) : 존나커진짜미ㅣㄴ;;
2020. 4. 22. 22:36, 정우 : ;;;;;
2020. 4. 22. 22:36, 정우 : 왕문어
2020. 4. 22. 22:36, 정우 : 냐
2020. 4. 22. 22:36, 원준오빠 : 샵검색: #아레나
2020. 4. 22. 22:37, 원준오빠 : 문어
2020. 4. 22. 22:37, 원준오빠 : 그때 누구더라?
2020. 4. 22. 22:37, 원준오빠 : 누가 문어 사놓고
2020. 4. 22. 22:37, 원준오빠 : 싱크에서 탈출했는데
2020. 4. 22. 22:37, (알 수 없음) : 얘는진짜
2020. 4. 22. 22:37, (알 수 없음) : 개큰데무서운데
2020. 4. 22. 22:37, (알 수 없음) : #이상화문어
2020. 4. 22. 22:38, (알 수 없음) : 사진
2020. 4. 22. 22:38, 정우 : ?
2020. 4. 22. 22:38, (알 수 없음) : 좀;;
2020. 4. 22. 22:38, 정우 : ㅅㅂ
2020. 4. 22. 22:38, (알 수 없음) : 너무하잖아
2020. 4. 22. 22:38, 정우 : 키크누
2020. 4. 22. 22:38, 정우 : 문어샛기
2020. 4. 22. 22:38, (알 수 없음) : ㅅㅂ
2020. 4. 22. 22:38, 정우 : 뭐먹고컸누?
2020. 4. 22. 22:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:38, (알 수 없음) : 니말투
2020. 4. 22. 22:38, 이석준 : 맛있겠당
2020. 4. 22. 22:38, (알 수 없음) : 존나웃기누
2020. 4. 22. 22:38, 원준오빠 : aldldldlcls
2020. 4. 22. 22:38, 정우 : 이거;;;;;
2020. 4. 22. 22:38, 정우 : 딱
2020. 4. 22. 22:38, 원준오빠 : 및이이이이ㅣ친
2020. 4. 22. 22:38, 정우 : 오재말투
2020. 4. 22. 22:38, 정우 : 아니누
2020. 4. 22. 22:38, 정우 : ;;;;;;;;;;
2020. 4. 22. 22:38, 원준오빠 : 크라켄이네
2020. 4. 22. 22:38, (알 수 없음) : ㅅㅂ
2020. 4. 22. 22:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:38, 정우 : ㅂㅅ같은건
2020. 4. 22. 22:38, 정우 : 빨리배우는거 아니겠누.....????
2020. 4. 22. 22:38, (알 수 없음) : ㅁㅊ쌉웃겨진짜
2020. 4. 22. 22:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:38, 원준오빠 : 신원집이라는줄
2020. 4. 22. 22:38, (알 수 없음) : 맞누
2020. 4. 22. 22:38, (알 수 없음) : 이번주에
2020. 4. 22. 22:38, 정우 : 재밌누........
2020. 4. 22. 22:39, (알 수 없음) : ㅂㅅ파티있다누
2020. 4. 22. 22:39, 정우 : 웃어주니까
2020. 4. 22. 22:39, (알 수 없음) : 참여하겠누
2020. 4. 22. 22:39, 원준오빠 : 누누대지마
2020. 4. 22. 22:39, 정우 : 재밌누........
2020. 4. 22. 22:39, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ알겟누
2020. 4. 22. 22:39, 원준오빠 : 누가바먺고싶으니까
2020. 4. 22. 22:39, (알 수 없음) : 공덕집
2020. 4. 22. 22:39, (알 수 없음) : 와따좋누
2020. 4. 22. 22:39, 정우 : ㅇㅋ
2020. 4. 22. 22:39, (알 수 없음) : 요새에
2020. 4. 22. 22:39, (알 수 없음) : 비
2020. 4. 22. 22:39, (알 수 없음) : 안돼서
2020. 4. 22. 22:39, (알 수 없음) : 가격좀싼듯
2020. 4. 22. 22:39, 경민 : 쀼릐세계
2020. 4. 22. 22:39, 경민 : 보면서
2020. 4. 22. 22:39, 경민 : 욕하자뉴
2020. 4. 22. 22:39, 정우 : 아미친
2020. 4. 22. 22:39, 정우 : 적당히줄여라
2020. 4. 22. 22:39, 경민 : 전좀
2020. 4. 22. 22:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:39, 경민 : 조져보자
2020. 4. 22. 22:39, 경민 : (하하)
2020. 4. 22. 22:39, (알 수 없음) : 넵
2020. 4. 22. 22:39, (알 수 없음) : 야미친아니면
2020. 4. 22. 22:39, (알 수 없음) : 전사서
2020. 4. 22. 22:39, (알 수 없음) : 집들어가서
2020. 4. 22. 22:39, (알 수 없음) : 쀼세계보면서
2020. 4. 22. 22:39, (알 수 없음) : 처먹?
2020. 4. 22. 22:39, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:39, (알 수 없음) : 오반가; ㅎ;
2020. 4. 22. 22:40, 원준오빠 : 미친
2020. 4. 22. 22:40, (알 수 없음) : 오반데쓰
2020. 4. 22. 22:40, (알 수 없음) : ㅈㅅ
2020. 4. 22. 22:40, 원준오빠 : 살아있는 문어에
2020. 4. 22. 22:40, 원준오빠 : 밀갈 마사지
2020. 4. 22. 22:40, 원준오빠 : 존나 나쁘다 ㅠ
2020. 4. 22. 22:40, 원준오빠 : 오 ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:40, 원준오빠 : 이상화 전사다 진짜
2020. 4. 22. 22:40, 원준오빠 : 콱콱 잘 자르네
2020. 4. 22. 22:40, (알 수 없음) : ㄹㅇ
2020. 4. 22. 22:40, 정우 : ㅁㅊ
2020. 4. 22. 22:40, 정우 : 전사래
2020. 4. 22. 22:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:41, 원준오빠 : 먹물 나온;ㅣ까
2020. 4. 22. 22:41, 원준오빠 : 강남이
2020. 4. 22. 22:41, 원준오빠 : 이게 이기 그거
2020. 4. 22. 22:41, 원준오빠 : 흙탕물
2020. 4. 22. 22:41, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이래
2020. 4. 22. 22:41, (알 수 없음) : 사진
2020. 4. 22. 22:41, (알 수 없음) : 에어비엔비
2020. 4. 22. 22:41, (알 수 없음) : 쌉새끼가
2020. 4. 22. 22:41, (알 수 없음) : 처놀리누?
2020. 4. 22. 22:41, (알 수 없음) : 20억걍번다고
2020. 4. 22. 22:41, (알 수 없음) : 하누
2020. 4. 22. 22:41, 원준오빠 : ,,,,?
2020. 4. 22. 22:41, 원준오빠 : 집이 아부다비겠지
2020. 4. 22. 22:41, 원준오빠 : 사기꾼샠희네
2020. 4. 22. 22:41, (알 수 없음) : ㅅㅂ
2020. 4. 22. 22:42, (알 수 없음) : 에비
2020. 4. 22. 22:42, (알 수 없음) : 가입안하신분?
2020. 4. 22. 22:42, 원준오빠 : 저엽
2020. 4. 22. 22:42, (알 수 없음) : 사진
2020. 4. 22. 22:42, 원준오빠 : 개꿀
2020. 4. 22. 22:42, (알 수 없음) : https://www.airbnb.co.kr/c/f1ac662?currency=KRW&referral_share_id=156df6e8-801d-48fa-9a85-f5f5cbc5ab3f
2020. 4. 22. 22:42, 정우 : ;;;;;;;;;;;;;;
2020. 4. 22. 22:42, 정우 : 발음에 유의하세요
2020. 4. 22. 22:43, (알 수 없음) : 사진
2020. 4. 22. 22:44, (알 수 없음) : 개갠춘?
2020. 4. 22. 22:45, 정우 : ㄱㄱㅊ
2020. 4. 22. 22:46, (알 수 없음) : 아
2020. 4. 22. 22:46, (알 수 없음) : 조젓다
2020. 4. 22. 22:46, (알 수 없음) : 내일만 지나면 바로잖아?
2020. 4. 22. 22:46, 원준오빠 : 사진
2020. 4. 22. 22:46, 원준오빠 : 이거 된건가?
2020. 4. 22. 22:48, (알 수 없음) : 오 미친
2020. 4. 22. 22:48, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:48, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ개됨
2020. 4. 22. 22:48, (알 수 없음) : 비싼데가자
2020. 4. 22. 22:48, (알 수 없음) : ㅅㅂ
2020. 4. 22. 22:48, (알 수 없음) : !
2020. 4. 22. 22:48, (알 수 없음) : 므아,,,,,,,,,
2020. 4. 22. 22:48, 원준오빠 : 사진
2020. 4. 22. 22:48, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 22. 22:48, 원준오빠 : 왜 3만2천으로 줄음 ,,?
2020. 4. 22. 22:48, (알 수 없음) : 엥
2020. 4. 22. 22:48, (알 수 없음) : ;;;;;;20마넌,,
