Talk_2021.8.24 13:11-47.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 7월 13일 토요일
2019. 7. 13. 22:14, 정우 : 들어감
2019. 7. 13. 22:23, (알 수 없음) : 트름으로이겨주셈
2019. 7. 13. 22:24, (알 수 없음) : ㅇㅎ눌
2019. 7. 13. 22:24, (알 수 없음) : 담배
2019. 7. 13. 22:24, (알 수 없음) : 히나요
2019. 7. 13. 22:24, (알 수 없음) : 피나요
2019. 7. 13. 22:24, (알 수 없음) : ㅁㅌㅊ
2019. 7. 13. 22:25, (알 수 없음) : 아이유개셈
2019. 7. 13. 22:25, (알 수 없음) : 뭐라구
2019. 7. 13. 22:25, (알 수 없음) : 아이유
2019. 7. 13. 22:25, (알 수 없음) : 호텔델루나나오는데
2019. 7. 13. 22:25, (알 수 없음) : 개쎄
2019. 7. 13. 22:26, (알 수 없음) : 금연약
2019. 7. 13. 22:27, (알 수 없음) : 아니
2019. 7. 13. 22:27, (알 수 없음) : 담배
2019. 7. 13. 22:27, (알 수 없음) : 딸기맛도이제
2019. 7. 13. 22:27, (알 수 없음) : 즐기냐
2019. 7. 13. 22:27, (알 수 없음) : ㅋㅋㅌㅌㅌㅌㅋㅌㅋㅌㅌㅌㅋ
2019. 7. 13. 22:27, (알 수 없음) : ㅠ
2019. 7. 13. 22:27, 정우 : ㅎㅇ
2019. 7. 13. 22:27, 정우 : 돌아옴
2019. 7. 13. 22:27, (알 수 없음) : 엥
2019. 7. 13. 22:27, 정우 : 아 힘들어
2019. 7. 13. 22:27, (알 수 없음) : 부농ㅇ색인디
2019. 7. 13. 22:28, 정우 : 아이스망고
2019. 7. 13. 22:28, 정우 : 아망
2019. 7. 13. 22:28, 정우 : 맛있지
2019. 7. 13. 22:28, 정우 : 담배그만피셈
2019. 7. 13. 22:28, 정우 : 흡연충
2019. 7. 13. 22:29, 정우 : 아우진짜 개개개개개개개개피곤따리피곤따
2019. 7. 13. 22:29, (알 수 없음) : 진짜
2019. 7. 13. 22:29, (알 수 없음) : 담배그만펴부
2019. 7. 13. 22:29, 정우 : 아니
2019. 7. 13. 22:29, 정우 : 내가말했잖아
2019. 7. 13. 22:29, 정우 : 이방
2019. 7. 13. 22:29, (알 수 없음) : 나금주중이잖아
2019. 7. 13. 22:29, (알 수 없음) : ㅠ
2019. 7. 13. 22:29, 정우 : 담배랑 트름이 50퍼라고
2019. 7. 13. 22:29, 정우 : 엥 언제 블랑으로바뀜
2019. 7. 13. 22:30, (알 수 없음) : 아니아니
2019. 7. 13. 22:30, (알 수 없음) : 나안먹음
2019. 7. 13. 22:30, (알 수 없음) : 어제만먹엇쟈나
2019. 7. 13. 22:30, 정우 : 나도안먹음
2019. 7. 13. 22:30, 정우 : 나 허접된듯
2019. 7. 13. 22:30, 정우 : 생맥 두잔마셨는데
2019. 7. 13. 22:30, 정우 : 어지러워
2019. 7. 13. 22:30, (알 수 없음) : 죽먹고깊다
2019. 7. 13. 22:30, (알 수 없음) : 아트름
2019. 7. 13. 22:30, (알 수 없음) : 이방거침업네
2019. 7. 13. 22:30, (알 수 없음) : 나는방구낌
2019. 7. 13. 22:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:31, 정우 : 형
2019. 7. 13. 22:31, 정우 : 담배연기뿜으면서 트름가능?
2019. 7. 13. 22:31, 정우 : ㅠ
2019. 7. 13. 22:31, 정우 : 왜케늙어보여
2019. 7. 13. 22:31, (알 수 없음) : 귀여워
2019. 7. 13. 22:31, (알 수 없음) : 아니
2019. 7. 13. 22:31, (알 수 없음) : 브경버가라네
2019. 7. 13. 22:32, (알 수 없음) : 부경보면도해아
2019. 7. 13. 22:32, (알 수 없음) : 해라
2019. 7. 13. 22:32, 정우 : 면도
2019. 7. 13. 22:32, (알 수 없음) : ㅡㅡ
2019. 7. 13. 22:32, 정우 : 안할수도있지
2019. 7. 13. 22:32, 정우 : 아니 렉오지네ㅠ
2019. 7. 13. 22:32, 정우 : 와이파이써서그런가
2019. 7. 13. 22:32, (알 수 없음) : 난돼
2019. 7. 13. 22:32, (알 수 없음) : 나는개잘되는데
2019. 7. 13. 22:32, (알 수 없음) : 오늘은
2019. 7. 13. 22:32, 정우 : 내가
2019. 7. 13. 22:32, (알 수 없음) : 안읽어주냐
2019. 7. 13. 22:32, (알 수 없음) : ㅕㄴ지
2019. 7. 13. 22:32, 정우 : 와이파이라 그런가봄
2019. 7. 13. 22:33, (알 수 없음) : 겡
2019. 7. 13. 22:33, (알 수 없음) : 뭐야
2019. 7. 13. 22:33, (알 수 없음) : 나도
2019. 7. 13. 22:33, (알 수 없음) : 끊김
2019. 7. 13. 22:33, (알 수 없음) : 갑자기네트워크문제래
2019. 7. 13. 22:33, 정우 : 엥 나돈데
2019. 7. 13. 22:33, (알 수 없음) : ㅎㅇㅎㅇ
2019. 7. 13. 22:33, 정우 : 그럼경보형이 문제네
2019. 7. 13. 22:33, (알 수 없음) : 낭독회
2019. 7. 13. 22:34, (알 수 없음) : 아미친새로들어와서
2019. 7. 13. 22:34, (알 수 없음) : 소리안키고잇엇다
2019. 7. 13. 22:34, (알 수 없음) : 다시 ㄱ
2019. 7. 13. 22:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:34, (알 수 없음) : ㄱㄱ
2019. 7. 13. 22:34, 정우 : 정상형전산병
2019. 7. 13. 22:34, (알 수 없음) : 개노잼
2019. 7. 13. 22:34, (알 수 없음) : 미치겟다
2019. 7. 13. 22:34, 정우 : 상병정상형전산병
2019. 7. 13. 22:34, 정우 : ㅇㅈ
2019. 7. 13. 22:34, 정우 : 라임중요하지
2019. 7. 13. 22:34, 정우 : 힙합이면 시켜야함
2019. 7. 13. 22:35, (알 수 없음) : ㅇㅋ...
2019. 7. 13. 22:35, (알 수 없음) : 일병
2019. 7. 13. 22:35, (알 수 없음) : 정상현입니다
2019. 7. 13. 22:35, 정우 : 일병이네
2019. 7. 13. 22:35, 정우 : 아쉽
2019. 7. 13. 22:35, 정우 : 상병이어야 라임이맞는데
2019. 7. 13. 22:35, 정우 : 쟤가힙합이아니네
2019. 7. 13. 22:35, 정우 : ㅁㅊ
2019. 7. 13. 22:35, (알 수 없음) : ㅡㅡ
2019. 7. 13. 22:35, 정우 : 그소리를 실제로했어?
2019. 7. 13. 22:35, (알 수 없음) : 기억하고잇네
2019. 7. 13. 22:35, 정우 : ㅡㅡ
2019. 7. 13. 22:35, (알 수 없음) : ㅡㅡ
2019. 7. 13. 22:35, (알 수 없음) : 아
2019. 7. 13. 22:35, 정우 : 아니
2019. 7. 13. 22:35, (알 수 없음) : 진짜...
2019. 7. 13. 22:35, (알 수 없음) : 부경보이상해
2019. 7. 13. 22:35, (알 수 없음) : ㅠ
2019. 7. 13. 22:36, 정우 : 이상해....
2019. 7. 13. 22:36, (알 수 없음) : ㅠㅠ
2019. 7. 13. 22:36, 정우 : 왜 군생활이
2019. 7. 13. 22:36, 정우 : 인생에 단한번이라고 생각하지
2019. 7. 13. 22:36, 정우 : ?
2019. 7. 13. 22:36, 정우 : 즐겁겠니 군생활이
2019. 7. 13. 22:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:37, (알 수 없음) : ㅡㅡ
2019. 7. 13. 22:37, 정우 : 사회에서도
2019. 7. 13. 22:37, (알 수 없음) : 뭐랴
2019. 7. 13. 22:37, (알 수 없음) : 늦게말하는거야귾긴거야
2019. 7. 13. 22:37, (알 수 없음) : ㅠ
2019. 7. 13. 22:37, 정우 : 이후로 끊겨버렸는데
2019. 7. 13. 22:37, (알 수 없음) : 엥
2019. 7. 13. 22:37, (알 수 없음) : 아예귾김
2019. 7. 13. 22:37, 정우 : 군인한테 사회얘기하니까
2019. 7. 13. 22:37, 정우 : 알러지반응오나봄
2019. 7. 13. 22:37, (알 수 없음) : 엥머야
2019. 7. 13. 22:38, 정우 : 군대얘기할때는 안끊기더니
2019. 7. 13. 22:38, 정우 : 사회얘기하니까 끊겨벌임
2019. 7. 13. 22:38, (알 수 없음) : 흥ㅁ
2019. 7. 13. 22:38, 정우 : ㅠ경보형 끊긴거모르고
2019. 7. 13. 22:38, 부그뷰 : 라이브톡 종료 24:51
2019. 7. 13. 22:38, 정우 : 열심히 읽고있는거아녀?
2019. 7. 13. 22:38, 정우 : 아니네
2019. 7. 13. 22:38, 부그뷰 : 마지막에
2019. 7. 13. 22:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:38, 부그뷰 : 마지막에
2019. 7. 13. 22:38, (알 수 없음) : 아니
2019. 7. 13. 22:38, 부그뷰 : 경보형의 영원한 소대원인 상현이가
2019. 7. 13. 22:38, (알 수 없음) : 끊기는데
2019. 7. 13. 22:38, 부그뷰 : 이렇게썼다고
2019. 7. 13. 22:38, (알 수 없음) : 아니사회얘기하자마자끊김
2019. 7. 13. 22:39, (알 수 없음) : 뒤에멈춰서못들음
2019. 7. 13. 22:39, 정우 : ㅇㅇㅇ
2019. 7. 13. 22:39, 부그뷰 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹ
2019. 7. 13. 22:39, 정우 : 참군인.....
2019. 7. 13. 22:39, (알 수 없음) : 뭇져
2019. 7. 13. 22:39, (알 수 없음) : 맥쥬는다묵엇나
2019. 7. 13. 22:39, (알 수 없음) : 아니나는
2019. 7. 13. 22:39, 부그뷰 : 덜마심
2019. 7. 13. 22:40, (알 수 없음) : 백종원보다자야겟다고교급식왕
2019. 7. 13. 22:40, (알 수 없음) : 하
2019. 7. 13. 22:40, (알 수 없음) : 내일이른기상노린다
2019. 7. 13. 22:40, 정우 : 나도
2019. 7. 13. 22:40, 정우 : 오늘은
2019. 7. 13. 22:40, 정우 : 공부각이 안나오네
2019. 7. 13. 22:42, (알 수 없음) : 고교급식왕미쳣는데
2019. 7. 13. 22:42, (알 수 없음) : 홍천한우로
2019. 7. 13. 22:42, (알 수 없음) : 굴라쉬먹음
2019. 7. 13. 22:42, (알 수 없음) : 굴라쉬
2019. 7. 13. 22:42, 정우 : ;;;;
2019. 7. 13. 22:42, 정우 : 아니무슨
2019. 7. 13. 22:43, 정우 : 급식에 굴라쉬임
2019. 7. 13. 22:43, 정우 : 김치찌개나 먹을것이지
2019. 7. 13. 22:43, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ몰라
2019. 7. 13. 22:43, (알 수 없음) : 돈만이지원해쥬나바
2019. 7. 13. 22:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 22:43, (알 수 없음) : ㅠ
2019. 7. 13. 22:43, 정우 : 부럽네
2019. 7. 13. 22:43, 정우 : 에휴 그래
2019. 7. 13. 22:43, 정우 : 계속 학교에있는데
2019. 7. 13. 22:43, 정우 : 밥이라도 잘줘야지
2019. 7. 13. 22:44, (알 수 없음) : 그래
2019. 7. 13. 22:44, (알 수 없음) : ㅅㅂ인정한다
2019. 7. 13. 22:44, (알 수 없음) : 와진짜
2019. 7. 13. 22:46, 부그뷰 : 대안산공고는 급식 무조건 고기류아니면튀김류줬는데
2019. 7. 13. 22:46, 부그뷰 : 그때 살존나찜
2019. 7. 13. 22:46, 정우 : 우리는
2019. 7. 13. 22:46, (알 수 없음) : ㄴㅊ
2019. 7. 13. 22:46, (알 수 없음) : ㅁㅊ
2019. 7. 13. 22:46, 정우 : 수요일저녁 특식빼고
2019. 7. 13. 22:46, 정우 : 다쓰레기였는데
2019. 7. 13. 22:46, (알 수 없음) : ㅋㅌㅌㅌㅌㅌㅌㅌ우린머줫지
2019. 7. 13. 22:46, 정우 : ㅅㅂ
2019. 7. 13. 22:47, 정우 : 특식은맛있었음
2019. 7. 13. 22:52, (알 수 없음) : ㅋㅌㅌㅌㅌㅌㅌㅋ
2019. 7. 13. 22:52, (알 수 없음) : 하
2019. 7. 13. 22:52, (알 수 없음) : 시바
2019. 7. 13. 22:52, (알 수 없음) : 왜케욕이나오지
2019. 7. 13. 22:52, (알 수 없음) : 월욜날또이걸어케처리할지
2019. 7. 13. 22:52, (알 수 없음) : 얘기해야할생각하니
2019. 7. 13. 22:52, (알 수 없음) : 답이업군
2019. 7. 13. 22:53, 원준오빠 : 적당히 해
2019. 7. 13. 22:56, 부그뷰 : 아
2019. 7. 13. 22:56, 부그뷰 : 유튜브보니까
2019. 7. 13. 22:56, 부그뷰 : 라면먹고싶어
2019. 7. 13. 22:56, 부그뷰 : 머글까
2019. 7. 13. 22:56, 정우 : 오랜만에 고등학교 나무위키보는데 재밌네
2019. 7. 13. 22:56, 부그뷰 : 먹으면 낼 유산소해야대
2019. 7. 13. 22:56, 정우 : 존나바꼈나봐
2019. 7. 13. 22:56, 정우 : ㄱ
2019. 7. 13. 22:56, 부그뷰 : ㅇㅋ
2019. 7. 13. 22:56, 부그뷰 : 만두넣어서함
2019. 7. 13. 22:57, 정우 : ㄱㄱㄱㄱ
2019. 7. 13. 22:57, 정우 : 아니
2019. 7. 13. 22:57, 정우 : 사진
2019. 7. 13. 22:57, 정우 : 학생수
2019. 7. 13. 22:57, 정우 : 남여성비 실화?
2019. 7. 13. 22:57, 정우 : 우리땐거의 일대일이었는데
2019. 7. 13. 22:59, (알 수 없음) : ㄱ
2019. 7. 13. 22:59, (알 수 없음) : 지기네우링1대0
2019. 7. 13. 23:01, (알 수 없음) : 부경보라면먹는거
2019. 7. 13. 23:01, (알 수 없음) : 왜케아니
2019. 7. 13. 23:01, (알 수 없음) : 부경보옴뇸뇸먹는거알지
2019. 7. 13. 23:01, (알 수 없음) : 존귀임먹방유투브하셈
2019. 7. 13. 23:08, 부그뷰 : 사진
2019. 7. 13. 23:09, 부그뷰 : 오동통 면에
2019. 7. 13. 23:09, 부그뷰 : 만두6개
2019. 7. 13. 23:09, 부그뷰 : 후추조금
2019. 7. 13. 23:09, 부그뷰 : 쌈장조금
2019. 7. 13. 23:09, 부그뷰 : 양파랑 고추 넣고
2019. 7. 13. 23:09, 부그뷰 : 마무리 계란 안풀고 하나 넣음
2019. 7. 13. 23:09, 이석준 : 야식?!
2019. 7. 13. 23:10, 부그뷰 : 아 마늘도 넣음
2019. 7. 13. 23:10, 부그뷰 : ㅇㅇ
2019. 7. 13. 23:10, 부그뷰 : 낼 유산소
2019. 7. 13. 23:10, 부그뷰 : 2시간예정
2019. 7. 13. 23:10, 부그뷰 : 와 ㅁㅊ
2019. 7. 13. 23:10, 부그뷰 : 국물 미쳤다
2019. 7. 13. 23:10, 부그뷰 : 존나 깔끔하다
2019. 7. 13. 23:11, (알 수 없음) : 아니
2019. 7. 13. 23:11, (알 수 없음) : 만두존나마니넣네
2019. 7. 13. 23:11, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 23:11, 정우 : ㄹㅇ
2019. 7. 13. 23:11, 정우 : 라면이
2019. 7. 13. 23:11, 정우 : 라면이아닌데
2019. 7. 13. 23:11, (알 수 없음) : 아근데존맛이겟다
2019. 7. 13. 23:14, 부그뷰 : 역시
2019. 7. 13. 23:14, 부그뷰 : 야채를 마니넣어야
2019. 7. 13. 23:14, 부그뷰 : 깔끔해
2019. 7. 13. 23:15, 원준오빠 : 와ㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 23:15, 원준오빠 : 거기 천국인가
2019. 7. 13. 23:16, 원준오빠 : 밤라면이 채거야 ㅠㅠ
2019. 7. 13. 23:23, 부그뷰 : https://youtu.be/CVon-zb6tv0
2019. 7. 13. 23:23, 부그뷰 : 낼 존나 뛴다
2019. 7. 13. 23:27, (알 수 없음) : 동영상
2019. 7. 13. 23:27, (알 수 없음) : 페이스북통화에이런거잇어
2019. 7. 13. 23:27, (알 수 없음) : 존나웃겨
2019. 7. 13. 23:27, (알 수 없음) : 부경보헬창
2019. 7. 13. 23:27, (알 수 없음) : 구독하냐
2019. 7. 13. 23:28, (알 수 없음) : 아니부경보라면제대로하네
2019. 7. 13. 23:29, 부그뷰 : 빡빡이형 너무 좋아 ㅜㅜ
2019. 7. 13. 23:32, (알 수 없음) : 존나부경보마음
2019. 7. 13. 23:32, (알 수 없음) : 유투브로나온거냐
2019. 7. 13. 23:38, 부그뷰 : 국물은
2019. 7. 13. 23:38, 부그뷰 : 나트륨이많으니까
2019. 7. 13. 23:38, 부그뷰 : 버릴게여
2019. 7. 13. 23:42, (알 수 없음) : 와
2019. 7. 13. 23:42, (알 수 없음) : 국물안목네
2019. 7. 13. 23:42, 정우 : ㅡㅡ
2019. 7. 13. 23:42, (알 수 없음) : 개신기해
2019. 7. 13. 23:42, (알 수 없음) : ㅁㅊ
2019. 7. 13. 23:42, 정우 : 어떻게
2019. 7. 13. 23:42, (알 수 없음) : 국물을안먹어?
2019. 7. 13. 23:42, 정우 : 라면먹는데
2019. 7. 13. 23:42, 정우 : 국물을
2019. 7. 13. 23:42, (알 수 없음) : 아근데원준이형도국물
2019. 7. 13. 23:43, (알 수 없음) : 안먹더라
2019. 7. 13. 23:43, 정우 : 안먹을수가있어
2019. 7. 13. 23:43, 정우 : 아니
2019. 7. 13. 23:43, (알 수 없음) : 나 ㄹㅇ
2019. 7. 13. 23:43, 정우 : 그냥지랄하고싶어서
2019. 7. 13. 23:43, (알 수 없음) : 국물먹으려고
2019. 7. 13. 23:43, 정우 : 해봄
2019. 7. 13. 23:43, (알 수 없음) : 라면먹는데
2019. 7. 13. 23:43, (알 수 없음) : 아니나는진짠데
2019. 7. 13. 23:43, (알 수 없음) : ㅠ
2019. 7. 13. 23:43, (알 수 없음) : 이모티콘 
2019. 7. 13. 23:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 23:43, (알 수 없음) : ㅌㅌㅌㅌㅌㅌㅌㅌㅋㅋ
2019. 7. 13. 23:43, 정우 : 난원래 걍다먹는데
2019. 7. 13. 23:43, (알 수 없음) : 나도ㅡ..
2019. 7. 13. 23:43, 정우 : 요즘 먹으라고하면
2019. 7. 13. 23:43, 정우 : 국물안먹을듯
2019. 7. 13. 23:43, (알 수 없음) : 진짜하나삭슬이함
2019. 7. 13. 23:43, (알 수 없음) : 아니어케안먹을수잇냐
2019. 7. 13. 23:43, 정우 : 물론 라면자체를 안먹긴하지만
2019. 7. 13. 23:43, (알 수 없음) : ㅋㅌㅌㅌㅌㅌㅌㅊㅍ퓨ㅠㅠ
2019. 7. 13. 23:43, (알 수 없음) : 아살개쪗다
2019. 7. 13. 23:43, 정우 : 안먹은지
2019. 7. 13. 23:43, (알 수 없음) : 더찐거앎?
2019. 7. 13. 23:43, 정우 : 한달된거같은데
2019. 7. 13. 23:43, 정우 : ;;;;;;;;;;;
2019. 7. 13. 23:43, (알 수 없음) : 한3키로찜
2019. 7. 13. 23:43, 정우 : 더찌냐
2019. 7. 13. 23:43, (알 수 없음) : 갑자기
2019. 7. 13. 23:43, 정우 : 난그래도
2019. 7. 13. 23:43, (알 수 없음) : 두유랑
2019. 7. 13. 23:43, (알 수 없음) : 머슬
2019. 7. 13. 23:43, 정우 : 지금재보니까
2019. 7. 13. 23:44, 정우 : 71임
2019. 7. 13. 23:44, (알 수 없음) : 조지게먹엇더니3키로쩟는데?
2019. 7. 13. 23:44, (알 수 없음) : 65엿는데68되어잇음
2019. 7. 13. 23:44, 정우 : 월요일에 72.5였는데
2019. 7. 13. 23:44, (알 수 없음) : 1주일사이에
2019. 7. 13. 23:44, 정우 : 1.4빠졌쥬?
2019. 7. 13. 23:44, 정우 : 66까지 돌리고싶은데
2019. 7. 13. 23:44, 정우 : 무리데쓰?
2019. 7. 13. 23:44, (알 수 없음) : 나도..56
2019. 7. 13. 23:44, (알 수 없음) : ㅅ의사가
2019. 7. 13. 23:44, (알 수 없음) : 존나뼈때리던거기억남
2019. 7. 13. 23:44, 정우 : 아니근데 좀 몸좋아보일라면
2019. 7. 13. 23:44, (알 수 없음) : 20대초반에
2019. 7. 13. 23:44, (알 수 없음) : 대학들어올때
2019. 7. 13. 23:44, 정우 : 66은좀에바인거같고 68감
2019. 7. 13. 23:44, (알 수 없음) : 몸무게몇이엿어요
2019. 7. 13. 23:44, (알 수 없음) : 딱물어보드라
2019. 7. 13. 23:44, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 23:45, 정우 : 몇이었내
2019. 7. 13. 23:45, 정우 : 냐
2019. 7. 13. 23:45, (알 수 없음) : 56~7
2019. 7. 13. 23:45, 정우 : 오
2019. 7. 13. 23:45, 정우 : 나랑똑같았네
2019. 7. 13. 23:45, (알 수 없음) : 적당햇다
2019. 7. 13. 23:45, (알 수 없음) : 와너개말랏옷네,,;;
2019. 7. 13. 23:45, 정우 : ㅇㅇㅇ
2019. 7. 13. 23:45, 정우 : 60
2019. 7. 13. 23:45, (알 수 없음) : 진짜
2019. 7. 13. 23:45, 정우 : 대학와서 처음찍어봄
2019. 7. 13. 23:45, (알 수 없음) : 56~57
2019. 7. 13. 23:45, 정우 : 근데 한번찍으니까
2019. 7. 13. 23:45, (알 수 없음) : 정도로만
2019. 7. 13. 23:45, 정우 : 주체가안댐
2019. 7. 13. 23:45, 정우 : ㅅㅂ
2019. 7. 13. 23:45, (알 수 없음) : 골아가고싶은데
2019. 7. 13. 23:45, (알 수 없음) : ㅇㅇ
2019. 7. 13. 23:45, (알 수 없음) : 돌아갈수가업어시발
2019. 7. 13. 23:45, (알 수 없음) : ㅠ
2019. 7. 13. 23:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 13. 23:45, 정우 : 아니
2019. 7. 13. 23:46, 정우 : 내가제일
2019. 7. 13. 23:46, 정우 : 신기한사람들
2019. 7. 13. 23:46, 정우 : 반수생들
2019. 7. 13. 23:46, 정우 : 어떻게 그 대학맛을 한번보고
2019. 7. 13. 23:46, 정우 : 한학기를 공부함?
2019. 7. 13. 23:46, 정우 : 진짜
2019. 7. 13. 23:46, 정우 : 의지갑
2019. 7. 13. 23:46, 정우 : 아근데 난그럼
2019. 7. 13. 23:46, 정우 : 신입생때랑 비교하면
2019. 7. 13. 23:47, 정우 : 1센치도안크고
2019. 7. 13. 23:47, 정우 : 몇키로가찐거야
2019. 7. 13. 23:47, 정우 : 어휴
2019. 7. 13. 23:50, (알 수 없음) : 나
2019. 7. 13. 23:50, (알 수 없음) : 10넘게
2019. 7. 13. 23:50, (알 수 없음) : 꺄꺄꺄
2019. 7. 13. 23:50, (알 수 없음) : 의사가
2019. 7. 13. 23:50, (알 수 없음) : 한번더팻음
2019. 7. 13. 23:50, (알 수 없음) : 그거다 지방으로찐거라고
2019. 7. 13. 23:50, (알 수 없음) : 이모티콘 
2019. 7. 13. 23:50, (알 수 없음) : 아맥주맛잇네
2019. 7. 13. 23:50, 정우 : ?
2019. 7. 13. 23:50, 정우 : 맥주먹음?
2019. 7. 13. 23:51, (알 수 없음) : ㅇㅇ
2019. 7. 13. 23:51, 부그뷰 : 오재 근육쪘나보네
2019. 7. 13. 23:51, 정우 : ㅇㅇ?
2019. 7. 13. 23:51, 정우 : ㅇㅇ??????????
2019. 7. 13. 23:51, (알 수 없음) : 레스큐머슬이랑두유가
2019. 7. 13. 23:51, (알 수 없음) : 3키로찌움
2019. 7. 13. 23:51, 정우 : 오이제
2019. 7. 13. 23:51, (알 수 없음) : ?
2019. 7. 13. 23:51, 정우 : 걍 막 나가나봐
2019. 7. 13. 23:51, (알 수 없음) : 바지안입고
2019. 7. 13. 23:51, 정우 : 맥주왜마심?
2019. 7. 13. 23:51, (알 수 없음) : 방송해도됨?
2019. 7. 13. 23:51, 정우 : ㅇㅇ
2019. 7. 13. 23:51, (알 수 없음) : 기분이좋아서
2019. 7. 13. 23:51, 부그뷰 : ㅇㅇ
2019. 7. 13. 23:51, 정우 : 아니근데
2019. 7. 13. 23:51, (알 수 없음) : 화장실갓다와서
2019. 7. 13. 23:51, 정우 : 술왜마심
2019. 7. 13. 23:51, (알 수 없음) : 근데어제도안싯어서
2019. 7. 13. 23:51, (알 수 없음) : 아니오늘
2019. 7. 13. 23:51, (알 수 없음) : 안싯엇단얘기임
2019. 7. 13. 23:51, (알 수 없음) : 지저분하단이야기
2019. 7. 13. 23:53, (알 수 없음) : 라이브톡 시작
2019. 7. 13. 23:54, 정우 : 술
2019. 7. 13. 23:54, 정우 : 잡으러왔다
2019. 7. 13. 23:54, 정우 : 샛기야
