Talk_2021.8.24 13:11-68.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 6일 수요일
2020. 5. 6. 08:43, (알 수 없음) : ㅊㅋㅊㅋㅊ
2020. 5. 6. 09:22, 정우 : ;;;;
2020. 5. 6. 09:22, (알 수 없음) : 취소하고딴데서하든
2020. 5. 6. 09:22, (알 수 없음) : 쿠팡에서하든해야지
2020. 5. 6. 09:22, 빠충 : 기분이 팍 상해부러쓰
2020. 5. 6. 09:22, 빠충 : 써붙이고
2020. 5. 6. 09:22, 정우 : ㄹㅇ
2020. 5. 6. 09:22, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:22, 빠충 : 가셈
2020. 5. 6. 09:22, 정우 : 아미친
2020. 5. 6. 09:22, 정우 : 써붙이고가래
2020. 5. 6. 09:22, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:22, 빠충 : 근데 좀 시부럴이네
2020. 5. 6. 09:23, 정우 : dㅈ
2020. 5. 6. 09:23, 정우 : ㅇㅈ
2020. 5. 6. 09:23, 빠충 : 무책임
2020. 5. 6. 09:23, 빠충 : 한 친구들이네
2020. 5. 6. 09:23, 빠충 : 망해아
2020. 5. 6. 09:23, (알 수 없음) : 아니시바천천히오라고햇으면 천천히라도왓지
2020. 5. 6. 09:23, (알 수 없음) : 9시개통이지랄해서오전에왓는데
2020. 5. 6. 09:23, (알 수 없음) : 아
2020. 5. 6. 09:23, (알 수 없음) : 오늘하루족가틀예정나옴
2020. 5. 6. 09:23, 정우 : ㅠㅠㅠㅠ
2020. 5. 6. 09:23, 빠충 : 쿠팡
2020. 5. 6. 09:23, 정우 : 대신울어줌
2020. 5. 6. 09:24, 경민 : ㅠㅡㅠ
2020. 5. 6. 09:24, 빠충 : 로켓배송
2020. 5. 6. 09:24, 빠충 : 으로 해야겠네
2020. 5. 6. 09:24, 빠충 : 개가튼새기들
2020. 5. 6. 09:24, 정우 : 개가튼!
2020. 5. 6. 09:24, 빠충 : 좀이따가 열두시쯤레
2020. 5. 6. 09:24, 빠충 : 전화해서 취소한다고 하셈
2020. 5. 6. 09:24, (알 수 없음) : 아오
2020. 5. 6. 09:24, 빠충 : 갈필요도없을듯
2020. 5. 6. 09:24, (알 수 없음) : 일단잠시딴데들렷다9시50분에
2020. 5. 6. 09:24, (알 수 없음) : 딱보고안열엇음바로취소
2020. 5. 6. 09:24, (알 수 없음) : ㅅㅂ
2020. 5. 6. 09:24, 정우 : ㅠㅠㅠㅠ
2020. 5. 6. 09:25, 정우 : 어디감 지금은
2020. 5. 6. 09:25, 빠충 : 그러게
2020. 5. 6. 09:25, (알 수 없음) : 잠시코
2020. 5. 6. 09:25, (알 수 없음) : 감기
2020. 5. 6. 09:25, 정우 : ㅇㅎ
2020. 5. 6. 09:25, (알 수 없음) : 비염땜에;
2020. 5. 6. 09:25, 빠충 : ㅇㅎ
2020. 5. 6. 09:25, 정우 : ㅇㅈ
2020. 5. 6. 09:25, (알 수 없음) : 이거마치고가봄
2020. 5. 6. 09:25, 빠충 : 여기까지 보고 코노라고 생각한 나 반성
2020. 5. 6. 09:25, 정우 : 마지막기회
2020. 5. 6. 09:25, 정우 : ㄱㅊㄱㅊ
2020. 5. 6. 09:25, (알 수 없음) : ㄹㅇ막기
2020. 5. 6. 09:25, 정우 : 오재훈
2020. 5. 6. 09:25, 정우 : 그런이미지
2020. 5. 6. 09:26, 빠충 : 어
2020. 5. 6. 09:27, 빠충 : 나도 오늘 택배롬
2020. 5. 6. 09:27, 정우 : ㅊㅋㅊㅋ
2020. 5. 6. 09:27, 빠충 : 근데 그거 암?
2020. 5. 6. 09:27, 빠충 : 맥북 에어랑 케이블 주문했는데
2020. 5. 6. 09:27, 빠충 : 케이블만 오늘 옴
2020. 5. 6. 09:27, 빠충 : ㅎㅎ
2020. 5. 6. 09:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:27, 정우 : 오
2020. 5. 6. 09:27, 정우 : 교수님
2020. 5. 6. 09:27, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:27, 정우 : 하루빠질수도있대
2020. 5. 6. 09:27, (알 수 없음) : ㅠ
2020. 5. 6. 09:27, 정우 : 오
2020. 5. 6. 09:28, 빠충 : 오재가 즐거우면 됐어
2020. 5. 6. 09:28, 정우 : 오이런 개꿀같은............
2020. 5. 6. 09:28, 정우 : 뉴스라니
2020. 5. 6. 09:28, 빠충 : 출근띠
2020. 5. 6. 09:33, (알 수 없음) : ㅋㅋㅌㅋㅌㅌㅌㅌ
2020. 5. 6. 09:46, (알 수 없음) : ㅅㅂ
2020. 5. 6. 09:46, (알 수 없음) : 다른사람도기다리네
2020. 5. 6. 09:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 09:47, 정우 : 입만털어놨네
2020. 5. 6. 09:52, (알 수 없음) : 이우산이라도버리고싶당
2020. 5. 6. 10:03, (알 수 없음) : ㅅㅂ이제문열엇는데아직회사에서안도착햇대
2020. 5. 6. 10:03, (알 수 없음) : 오늘택배로바로보내중대애
2020. 5. 6. 10:05, 빠충 : ㅇㅎ
2020. 5. 6. 10:05, 빠충 : 퀵으로 준대?
2020. 5. 6. 10:05, 빠충 : 퀵으로 내놓으라하셈
2020. 5. 6. 10:05, 빠충 : 오늘까지 개통한다했으면
2020. 5. 6. 10:06, (알 수 없음) : ㅇㅇ오늘까지
2020. 5. 6. 10:06, 빠충 : 한국인은 퀵퀵
2020. 5. 6. 10:06, 빠충 : ㅇㅋㅇㅋ
2020. 5. 6. 10:06, (알 수 없음) : 아님직가
2020. 5. 6. 10:06, (알 수 없음) : 배달해주겟지
2020. 5. 6. 10:06, (알 수 없음) : ㅅㅂ10분이면오는데
2020. 5. 6. 10:06, (알 수 없음) : 아니전화를안받으면 문자를남겨놔야하는거아니냐
2020. 5. 6. 10:06, (알 수 없음) : 하
2020. 5. 6. 10:06, (알 수 없음) : 부재중이던데
2020. 5. 6. 10:06, (알 수 없음) : 이지럴
2020. 5. 6. 10:06, (알 수 없음) : 함
2020. 5. 6. 10:06, (알 수 없음) : 택타고회의하러간뉘다
2020. 5. 6. 10:07, 빠충 : 야 개웃긴거 볼래?
2020. 5. 6. 10:07, 빠충 : 사진
2020. 5. 6. 10:07, 빠충 : 애플스토어새기들
2020. 5. 6. 10:07, 빠충 : 케이블 배송해주는거 아는데
2020. 5. 6. 10:07, 빠충 : 기다리시던 그날ㅇㅈㄹ
2020. 5. 6. 10:07, 빠충 : ㅠ
2020. 5. 6. 10:07, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅅㅂ
2020. 5. 6. 10:07, (알 수 없음) : 존나짜증나ㅠ
2020. 5. 6. 10:07, (알 수 없음) : 시바그만놀려
2020. 5. 6. 10:07, (알 수 없음) : 애플새기들아
2020. 5. 6. 10:12, (알 수 없음) : 생각해보니잠을안자서
2020. 5. 6. 10:12, (알 수 없음) : 더쌉예민햇던건가
2020. 5. 6. 10:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 10:12, 정우 : ㅅㅂ
2020. 5. 6. 10:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 10:12, 정우 : 니가뭔데 내기분을 판단해
2020. 5. 6. 10:12, 정우 : 애플들아
2020. 5. 6. 10:12, 정우 : 오재훈그래서 다처리함?
2020. 5. 6. 10:24, (알 수 없음) : 몰라
2020. 5. 6. 10:24, (알 수 없음) : 오늘안에보내주겟지
2020. 5. 6. 10:24, (알 수 없음) : ㅅㅂ
2020. 5. 6. 10:25, (알 수 없음) : 오늘안ㅇ꼭보내주라고
2020. 5. 6. 10:25, (알 수 없음) : 말하고왓다
2020. 5. 6. 10:25, (알 수 없음) : 3시쯤닥딸
2020. 5. 6. 10:25, (알 수 없음) : 한번더
2020. 5. 6. 10:25, (알 수 없음) : 닦달
2020. 5. 6. 10:25, 정우 : 굿
2020. 5. 6. 10:25, 정우 : 굿굿
2020. 5. 6. 10:30, (알 수 없음) : 조와조와
2020. 5. 6. 10:31, 정우 : 오쒸
2020. 5. 6. 10:31, 정우 : 교통비 직격탄맞음
2020. 5. 6. 10:31, 정우 : ㅅㅂ
2020. 5. 6. 10:31, 정우 : 하도 쳐돌아댕겼더니
2020. 5. 6. 10:31, 정우 : 보름치 교통비가 핸드폰만큼 나오네
2020. 5. 6. 10:31, 정우 : ㅅㅂㅅㅂㅅㅂㅅㅂ
2020. 5. 6. 10:32, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:08, 빠충 : 좆같네
2020. 5. 6. 11:08, 빠충 : 일하는데
2020. 5. 6. 11:08, 빠충 : 내 글센 방에 존나 큰 거미나옴
2020. 5. 6. 11:08, 빠충 : ;
2020. 5. 6. 11:08, 빠충 : 사진
2020. 5. 6. 11:08, 빠충 : 가둬놓음;;
2020. 5. 6. 11:09, 정우 : 으
2020. 5. 6. 11:09, 빠충 : 아니 웬만하면
2020. 5. 6. 11:09, 빠충 : 벌레에 안쫄거든?
2020. 5. 6. 11:09, 빠충 : 근데
2020. 5. 6. 11:09, 빠충 : 장난아니고
2020. 5. 6. 11:09, 빠충 : 그거 알지
2020. 5. 6. 11:09, 빠충 : 녹차티백
2020. 5. 6. 11:09, 빠충 : 그만함
2020. 5. 6. 11:09, 빠충 : 개시발
2020. 5. 6. 11:09, 빠충 : ㅠ
2020. 5. 6. 11:10, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:10, 재환오빠 : 오 좋은 단백질 공급원
2020. 5. 6. 11:10, 빠충 : 형
2020. 5. 6. 11:10, 정우 : 타란툴라
2020. 5. 6. 11:10, 정우 : ㅁㅊ
2020. 5. 6. 11:10, 빠충 : 갖다준다
2020. 5. 6. 11:10, 정우 : 단백질
2020. 5. 6. 11:10, 빠충 : 잡아서
2020. 5. 6. 11:10, 정우 : 나는
2020. 5. 6. 11:10, 정우 : 그러고싶어도 못하는데
2020. 5. 6. 11:10, 정우 : 못잡음
2020. 5. 6. 11:10, 빠충 : 아근데
2020. 5. 6. 11:10, 빠충 : 씨발
2020. 5. 6. 11:10, 정우 : 그걸어케잡아
2020. 5. 6. 11:10, 빠충 : 종이컵에 자꾸
2020. 5. 6. 11:10, 빠충 : 바스락바스락 사부작거려
2020. 5. 6. 11:10, 빠충 : 씹새기ㅠㅠㅠㅠㅠㅠ
2020. 5. 6. 11:10, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:10, 정우 : 샛기
2020. 5. 6. 11:10, 정우 : 크다더니
2020. 5. 6. 11:11, 정우 : 힘도 좋은가보네
2020. 5. 6. 11:11, 빠충 : ㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠ
2020. 5. 6. 11:11, 빠충 : 아니 진짜
2020. 5. 6. 11:11, 빠충 : 존나 성큼성큼하는데
2020. 5. 6. 11:11, 빠충 : 경건하게 잠깐 섰다니까
2020. 5. 6. 11:11, 빠충 : 내가
2020. 5. 6. 11:11, 빠충 : 어머씨발하몀서
2020. 5. 6. 11:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:12, 정우 : 표현
2020. 5. 6. 11:12, 정우 : 개웃기네
2020. 5. 6. 11:12, 빠충 : 아니
2020. 5. 6. 11:12, 빠충 : 하
2020. 5. 6. 11:12, 빠충 : 존나 찍어서
2020. 5. 6. 11:12, 빠충 : 보여주고싶은데
2020. 5. 6. 11:12, 빠충 : 참는다
2020. 5. 6. 11:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:12, 빠충 : 보면 너도
2020. 5. 6. 11:12, 빠충 : 경건하게 일어섬
2020. 5. 6. 11:12, 정우 : 으
2020. 5. 6. 11:12, 정우 : 나는
2020. 5. 6. 11:13, 정우 : 더 경건하게
2020. 5. 6. 11:13, 정우 : 방 비워드림
2020. 5. 6. 11:13, 정우 : 혼자계시라고.....
2020. 5. 6. 11:13, 빠충 : 안돼임마
2020. 5. 6. 11:13, 빠충 : 그러면
2020. 5. 6. 11:13, 빠충 : 방 못들어감
2020. 5. 6. 11:13, 빠충 : ㅠㅠㅠㅠㅠ
2020. 5. 6. 11:13, 빠충 : 눈에 뵐때
2020. 5. 6. 11:13, 빠충 : 처리
2020. 5. 6. 11:13, 정우 : 벌레
2020. 5. 6. 11:13, 정우 : 싫어
2020. 5. 6. 11:13, 정우 : 극혐
2020. 5. 6. 11:20, (알 수 없음) : 사진
2020. 5. 6. 11:20, (알 수 없음) : ^^사전예약왜함
2020. 5. 6. 11:20, (알 수 없음) : 십새낀가
2020. 5. 6. 11:21, 정우 : ?
2020. 5. 6. 11:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:21, 정우 : ㅅㅂ
2020. 5. 6. 11:21, 정우 : 존나어이없네
2020. 5. 6. 11:21, 정우 : 도랐냐진짜
2020. 5. 6. 11:21, 정우 : 뭐함ㅅㅂ?
2020. 5. 6. 11:25, (알 수 없음) : ㅎㅎ
2020. 5. 6. 11:25, (알 수 없음) : 진짜
2020. 5. 6. 11:25, (알 수 없음) : 밥먹고바로전화해야지
2020. 5. 6. 11:25, 정우 : 아니진짜
2020. 5. 6. 11:25, 정우 : 뭐하는짓
2020. 5. 6. 11:25, 정우 : 일 개병신처럼하네 리얼
2020. 5. 6. 11:26, (알 수 없음) : ㄹㅇ...
2020. 5. 6. 11:26, (알 수 없음) : 아침부터화를어디까지뻗치게하는거야
2020. 5. 6. 11:26, 정우 : 진짜
2020. 5. 6. 11:26, 정우 : 보는데화나네
2020. 5. 6. 11:26, 정우 : ㅅㅂ
2020. 5. 6. 11:27, 정우 : 대가리텅텅......
2020. 5. 6. 11:31, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:32, (알 수 없음) : 화남 ㅇㅈ?
2020. 5. 6. 11:34, 정우 : ㅆㅇㅈ
2020. 5. 6. 11:34, 정우 : 도랐나 진짜
2020. 5. 6. 11:39, (알 수 없음) : 지편할때로만말하네
2020. 5. 6. 11:39, 정우 : 조져야함 아주
2020. 5. 6. 11:39, 정우 : 늘하는말이지만
2020. 5. 6. 11:39, (알 수 없음) : 아근데아이폰쓰고싶어서취소못하고잇는내가짜증난다
2020. 5. 6. 11:39, (알 수 없음) : ㅅㅂ
2020. 5. 6. 11:39, 정우 : 쳐맞아야 정신차리는애들
2020. 5. 6. 11:39, (알 수 없음) : 내돈주고사는데내가을인기분이야
2020. 5. 6. 11:39, 정우 : 너무많다
2020. 5. 6. 11:39, 정우 : ㄹㅇ
2020. 5. 6. 11:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 6. 11:40, (알 수 없음) : ㅠ짜증나
2020. 5. 6. 11:40, 정우 : 답장옴?
2020. 5. 6. 11:40, 빠충 : 야 거미 퀵으로 보내주꺼
2020. 5. 6. 11:40, 빠충 : 거기 매장안에
2020. 5. 6. 11:40, 빠충 : 풀어놓을래?
2020. 5. 6. 11:40, 정우 : 거미를 그냥 매장에 퀵으로 보내면 안댐?
2020. 5. 6. 11:40, 빠충 : ㅇㅎ
2020. 5. 6. 11:40, 빠충 : 개천재
2020. 5. 6. 11:41, 정우 : ㅎ
2020. 5. 6. 11:41, 정우 : 내가좀
2020. 5. 6. 11:41, 정우 : 그럼한잠만 때리고옴
2020. 5. 6. 11:54, (알 수 없음) : 보내자
2020. 5. 6. 11:54, (알 수 없음) : 개꿀딱
2020. 5. 6. 11:54, (알 수 없음) : 샵검색: #한민대리점 타임월드점
2020. 5. 6. 11:54, (알 수 없음) : 여기다
2020. 5. 6. 11:56, 정우 : 아
2020. 5. 6. 11:56, 정우 : 미친 개졸려
2020. 5. 6. 11:56, 정우 : 그래도 잘잤다
2020. 5. 6. 12:05, 빠충 : 아
2020. 5. 6. 12:05, 빠충 : 오늘 뭐지
2020. 5. 6. 12:05, 빠충 : 개같은 글 많네
2020. 5. 6. 12:07, 정우 : 오늘
2020. 5. 6. 12:07, 정우 : 우리아빠생신
2020. 5. 6. 12:08, 경민 : ㅊㅊㅊ
2020. 5. 6. 12:09, 재환오빠 : 축하드립니당🎉
2020. 5. 6. 12:09, (알 수 없음) : ㅊㅋㅊㅋ
