Talk_2021.8.24 13:11-81.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 3월 21일 일요일
2021. 3. 21. 19:27, abyss오재 : 미텻음어제꺼보고잇음?
2021. 3. 21. 21:01, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:01, abyss오재 : 당근🥕
2021. 3. 21. 21:01, 경민 : 서워니네서놀다가이제집감
2021. 3. 21. 21:02, 경민 : ㄹㅇ2일 풀로놀앗누;;;;
2021. 3. 21. 21:04, 원준오빠 : 저..
2021. 3. 21. 21:04, 원준오빠 : 당근...
2021. 3. 21. 21:07, abyss오재 : 좋네
2021. 3. 21. 21:07, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:07, abyss오재 : 당근...?
2021. 3. 21. 21:08, 경민 : 애용당근
2021. 3. 21. 21:08, 경민 : 오빠
2021. 3. 21. 21:08, 경민 : 집가서보스잡으실;?
2021. 3. 21. 21:08, 경민 : (만취상태)
2021. 3. 21. 21:08, 원준오빠 : ㅋㅋㅋㅋㅋㅈㅅㅈㅅ
2021. 3. 21. 21:09, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:09, 원준오빠 : 걍 안잡을래..
2021. 3. 21. 21:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:09, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:09, 경민 : 왜ㅠ
2021. 3. 21. 21:09, 경민 : 어이엊누ㅠ
2021. 3. 21. 21:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:09, 원준오빠 : 메플
2021. 3. 21. 21:09, 경민 : 솔플조진다
2021. 3. 21. 21:09, 경민 : ㅇㅇ
2021. 3. 21. 21:09, 원준오빠 : 스트레스조짐 ㅠ
2021. 3. 21. 21:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:09, 경민 : 환멸남?
2021. 3. 21. 21:09, 원준오빠 : 파이팅하라누
2021. 3. 21. 21:10, 경민 : 로아로가버렸누
2021. 3. 21. 21:10, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:10, 원준오빠 : ㅎㅋㅎㅋ
2021. 3. 21. 21:12, 경민 : 힝구ㅠ
2021. 3. 21. 21:15, abyss오재 : 맥주
2021. 3. 21. 21:15, abyss오재 : 한캔파라무
2021. 3. 21. 21:16, abyss오재 : 하라누
2021. 3. 21. 21:16, 경민 : ㄱ
2021. 3. 21. 21:16, 경민 : 좋누
2021. 3. 21. 21:16, 경민 : 일요일은조져야 제맛아니겟누?;
2021. 3. 21. 21:17, 정우 : ㅇㅈㅇㅈ
2021. 3. 21. 21:17, 정우 : 다달려
2021. 3. 21. 21:17, 정우 : 아 너무졸리다
2021. 3. 21. 21:18, 원준오빠 : 나도 따야겤ㅅ다
2021. 3. 21. 21:21, abyss오재 : 아직안된다
2021. 3. 21. 21:47, 경민 : 떠나실분;
2021. 3. 21. 21:48, abyss오재 : 어디로떠남
2021. 3. 21. 21:48, 경민 : 너랑같이떠남;
2021. 3. 21. 21:49, 경민 : 음주의세계로;
2021. 3. 21. 21:49, abyss오재 : ㅁㅊ
2021. 3. 21. 21:49, abyss오재 : 이거먹고
2021. 3. 21. 21:49, abyss오재 : 지금 계속화장실가느라
2021. 3. 21. 21:49, abyss오재 : ;;;;;;;;;;
2021. 3. 21. 21:50, 경민 : ㅇㅋ;;
2021. 3. 21. 21:50, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:50, 빠충 : 푸룬개빡세
2021. 3. 21. 21:54, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:54, 정우 : ㅁㅊ
2021. 3. 21. 21:54, abyss오재 : 맥주못먹고잇음
2021. 3. 21. 21:54, abyss오재 : 더러운데
2021. 3. 21. 21:54, abyss오재 : 그냥주루룩
2021. 3. 21. 21:54, abyss오재 : 싼다고
2021. 3. 21. 21:54, abyss오재 : 보면됨
2021. 3. 21. 21:54, abyss오재 : ;;
2021. 3. 21. 21:54, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 21:54, 경민 : 오응아
2021. 3. 21. 21:55, 경민 : 다음닉 ㄱ
2021. 3. 21. 21:55, abyss오재 : 오루룩
2021. 3. 21. 21:55, abyss오재 : 하면안됨;?
2021. 3. 21. 22:00, 경민 : ;좋누;
2021. 3. 21. 22:04, 양우성 : 오루룩 개기엽
2021. 3. 21. 22:09, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 22:09, abyss오재 : 사진
2021. 3. 21. 22:09, abyss오재 : 아 ㅅㅂ 바람의나라존나일차ㅓㅈㄱ으로
2021. 3. 21. 22:10, abyss오재 : 욕하는거개웃김 ㅠ
2021. 3. 21. 22:14, 양우성 : ㅋㅋㅋㅋㅋ ㅈㄴ처묵는것드 웃기다
2021. 3. 21. 22:14, 원준오빠 : ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 22:14, 원준오빠 : 제사지내는데
2021. 3. 21. 22:14, 원준오빠 : 욕 다 박히네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 21. 22:18, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃김
2021. 3. 21. 22:18, abyss오재 : 댓글개웃기던데
2021. 3. 21. 22:18, abyss오재 : 제삿밥이맛잇ㅈ
2021. 3. 21. 22:18, abyss오재 : 이러고잇음 ㅅㅂ ㅠ
2021. 3. 21. 22:18, 양우성 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ
2021. 3. 21. 22:18, 양우성 : 도른센스
2021. 3. 21. 22:19, abyss오재 : 아너무웃겨개속봐도웃기네
2021. 3. 21. 22:32, abyss오재 : 목요일에
2021. 3. 21. 22:32, abyss오재 : 축구함일전하네
2021. 3. 21. 22:45, abyss오재 : 나중에
2021. 3. 21. 22:45, abyss오재 : 자식이름 주인으로 지으면
2021. 3. 21. 22:45, abyss오재 : 다른사람들이부를때 주인님이라고부르겟네
2021. 3. 21. 22:45, 경민 : 좋누
2021. 3. 21. 22:45, abyss오재 : 샵검색 : #오 주인님
2021. 3. 21. 22:45, 경민 : 줃인님,,,
2021. 3. 21. 22:45, abyss오재 : ;;드라마홍보하길래

2021년 3월 22일 월요일
2021. 3. 22. 00:04, abyss오재 : 구해줘홈즈
2021. 3. 22. 00:04, abyss오재 : 나오는집도랏네
2021. 3. 22. 00:08, 정우 : 왜
2021. 3. 22. 00:08, 정우 : 뭐나옴
2021. 3. 22. 00:10, abyss오재 : 아니짘짜미텻늨뎈ㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:10, abyss오재 : 저런아파트가잇다고
2021. 3. 22. 00:10, abyss오재 : 좈나궁전임
2021. 3. 22. 00:10, abyss오재 : 용인인데
2021. 3. 22. 00:10, abyss오재 : 내일되면나올듯..인터넷에
2021. 3. 22. 00:10, abyss오재 : 진짜미텻음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:12, abyss오재 : 샵검색 : #용인 알함브라 궁전
2021. 3. 22. 00:13, abyss오재 : 아니네
2021. 3. 22. 00:13, abyss오재 : 오늘끝나야올라올듯
2021. 3. 22. 00:13, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와진자근데미친집인데
2021. 3. 22. 00:14, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:14, 정우 : 근데 저기나오는집들은
2021. 3. 22. 00:14, 정우 : 다들좀 포장너무 잘해놓긴했던데
2021. 3. 22. 00:14, 정우 : ㄹㅇ도라이같은 집인가보네
2021. 3. 22. 00:14, abyss오재 : ㅇㅇㅇ
2021. 3. 22. 00:14, abyss오재 : 그거감안해도진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:14, 정우 : 누군지
2021. 3. 22. 00:14, 정우 : 돈존나많나보군
2021. 3. 22. 00:15, 정우 : 부럽다
2021. 3. 22. 00:15, abyss오재 : 근데그렇게
2021. 3. 22. 00:15, abyss오재 : 안비싸서지금
2021. 3. 22. 00:15, abyss오재 : 5억원대로구해달라햇는데
2021. 3. 22. 00:15, abyss오재 : 거의40평넘는거같은데
2021. 3. 22. 00:16, 정우 : ;;;;;;;
2021. 3. 22. 00:16, 정우 : 5억원에 산다고?
2021. 3. 22. 00:16, 정우 : 전세도아니고?
2021. 3. 22. 00:16, 정우 : 진짜 저기 용인 제일끝에 딸려있나
2021. 3. 22. 00:16, abyss오재 : 아직가격은안뜸
2021. 3. 22. 00:16, 정우 : 5억9천
2021. 3. 22. 00:16, abyss오재 : 원한사람이 오억원대로
2021. 3. 22. 00:17, 정우 : 5억원대
2021. 3. 22. 00:17, abyss오재 : 해달랫는데
2021. 3. 22. 00:17, abyss오재 : 방4개화2
2021. 3. 22. 00:17, abyss오재 : 오억팔천 전세래
2021. 3. 22. 00:17, abyss오재 : 근데가격
2021. 3. 22. 00:17, abyss오재 : 일단떼고그냥
2021. 3. 22. 00:17, abyss오재 : 시바집이미텻음
2021. 3. 22. 00:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:17, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹㅇ 궁전같아
2021. 3. 22. 00:17, abyss오재 : 사진
2021. 3. 22. 00:18, abyss오재 : 집로비가잇음
2021. 3. 22. 00:18, abyss오재 : 45평이넵
2021. 3. 22. 00:18, 정우 : 쩝
2021. 3. 22. 00:18, 정우 : 부럽다
2021. 3. 22. 00:18, abyss오재 : 진짜와우다와우
2021. 3. 22. 00:18, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:19, abyss오재 : 아이
2021. 3. 22. 00:19, abyss오재 : 피곤하다
2021. 3. 22. 00:19, 정우 : 나도
2021. 3. 22. 00:20, abyss오재 : 괴물 재밋다는데
2021. 3. 22. 00:20, abyss오재 : 조만간달려야지
2021. 3. 22. 00:21, 정우 : 와벌써
2021. 3. 22. 00:21, 정우 : 열두시넘었네
2021. 3. 22. 00:21, 정우 : 시간돌았다
2021. 3. 22. 00:21, 정우 : ㅅㅂ
2021. 3. 22. 00:21, 정우 : 와진짜이번주
2021. 3. 22. 00:22, 정우 : 내내술처먹느라 주말다보냈다
2021. 3. 22. 00:22, 정우 : ㅎ;;;;;;;;;;;;
2021. 3. 22. 00:22, 이석준 : ㄱㅊㄱㅊ
2021. 3. 22. 00:22, abyss오재 : ㄱㅊㄱㅊ
2021. 3. 22. 00:22, 이석준 : 내일부터 현생살면
2021. 3. 22. 00:22, abyss오재 : 내일0도니까
2021. 3. 22. 00:22, abyss오재 : 조심하고
2021. 3. 22. 00:22, 이석준 : ㄱㅊㄱㅊ
2021. 3. 22. 00:22, 이석준 : ㅁㅊ
2021. 3. 22. 00:22, 정우 : ㄱㅊ
2021. 3. 22. 00:22, 정우 : 내일어디안나감
2021. 3. 22. 00:22, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:23, 이석준 : 사실 나도 안나감
2021. 3. 22. 00:30, abyss오재 : 오근데
2021. 3. 22. 00:30, abyss오재 : 그집선택안함
2021. 3. 22. 00:31, abyss오재 : 신호부부랑 애기잇어서 그런지
2021. 3. 22. 00:31, abyss오재 : 너무부담스러운집같긴하드라
2021. 3. 22. 00:31, abyss오재 : 애기땜에
2021. 3. 22. 00:31, abyss오재 : 딴집골랏네
2021. 3. 22. 00:31, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:32, abyss오재 : 흐아누눠볼가
2021. 3. 22. 00:39, 정우 : 하 나도 눕고싶다
2021. 3. 22. 00:39, 정우 : 어우 피곤하네
2021. 3. 22. 00:40, abyss오재 : 아미친
2021. 3. 22. 00:40, abyss오재 : 자고싶은데
2021. 3. 22. 00:40, abyss오재 : 배에서꾸루룩이안멈춤
2021. 3. 22. 00:40, abyss오재 : ㅜ왜저녁에푸룬주스룰
2021. 3. 22. 00:40, abyss오재 : 먹어서
2021. 3. 22. 00:40, abyss오재 : ㅅㅂ ㅠㅠ
2021. 3. 22. 00:42, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:42, 정우 : 진짜
2021. 3. 22. 00:42, 정우 : 효과지리나보네
2021. 3. 22. 00:42, abyss오재 : 샵검색 : #
2021. 3. 22. 00:42, abyss오재 : ㄹㅇ
2021. 3. 22. 00:42, abyss오재 : 쉽게봣다...
2021. 3. 22. 00:42, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 00:49, abyss오재 : 살려주시지요
2021. 3. 22. 00:49, abyss오재 : 🧟‍♂️
2021. 3. 22. 00:52, 정우 : 이모티콘 
2021. 3. 22. 01:02, abyss오재 : 갱얼쥐들나오는예능보다잘까
2021. 3. 22. 01:02, abyss오재 : 아자야하는데
2021. 3. 22. 01:04, 정우 : 자야지자야지
2021. 3. 22. 01:23, abyss오재 : 어우
2021. 3. 22. 01:23, abyss오재 : 배지진낫음
2021. 3. 22. 01:23, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 01:24, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 01:24, 정우 : 나도
2021. 3. 22. 01:24, 정우 : 근데나느
2021. 3. 22. 01:24, 정우 : 술땜에;;;;
2021. 3. 22. 01:24, abyss오재 : Rgrg
2021. 3. 22. 01:24, 정우 : 휴
2021. 3. 22. 01:24, abyss오재 : 라
2021. 3. 22. 01:24, 정우 : 당분간 자제해야하나
2021. 3. 22. 01:24, abyss오재 : 진짜이거어케되나
2021. 3. 22. 01:24, abyss오재 : ㅜ
2021. 3. 22. 01:24, abyss오재 : 내닐부터스테이회기하셈
2021. 3. 22. 01:24, abyss오재 : 힐링주건
2021. 3. 22. 01:24, 정우 : 회기;;;
2021. 3. 22. 01:24, 정우 : 힐링맞냐?
2021. 3. 22. 01:24, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 01:25, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 01:25, 경민 : ㄹㅇ
2021. 3. 22. 01:27, 이석준 : 회기스테이 간혹사
2021. 3. 22. 01:29, 정우 : 힐링하다 죽을듯
2021. 3. 22. 01:29, 정우 : 이모티콘 
2021. 3. 22. 07:40, 원준오빠 : ㅎㅇㅎㅇ
2021. 3. 22. 07:57, 빠충 : ㅎㅇ
2021. 3. 22. 08:21, abyss오재 : ㅎㅎ ㅎㅇㅎㅇ
2021. 3. 22. 08:24, 부그뷰 : 월요일 ㅎㅇ
2021. 3. 22. 08:29, 정우 : ㅎㅇㅎㅇ
2021. 3. 22. 08:33, 원준오빠 : 배고프네
2021. 3. 22. 08:33, 원준오빠 : 안철수 내번호 어케알고 문자보내는거냐
2021. 3. 22. 08:40, abyss오재 : 해큉
2021. 3. 22. 08:42, 원준오빠 : ㅡㅡ
2021. 3. 22. 08:42, 원준오빠 : 막아줘
2021. 3. 22. 08:50, abyss오재 : 어쩔수없어형
2021. 3. 22. 09:25, 원준오빠 : 너도 못막아?
2021. 3. 22. 09:26, 빠충 : ㅠ
2021. 3. 22. 09:45, abyss오재 : 응
2021. 3. 22. 09:45, abyss오재 : 왜냐면
2021. 3. 22. 09:45, abyss오재 : 망햇너
2021. 3. 22. 09:45, abyss오재 : 오늘퇴근도7시넘어서야
2021. 3. 22. 09:56, 원준오빠 : ㅠ
2021. 3. 22. 09:56, abyss오재 : ㅠ
2021. 3. 22. 09:56, abyss오재 : 아니
2021. 3. 22. 09:56, 원준오빠 : 화 수 중에 봐야하는가아니누
2021. 3. 22. 09:56, abyss오재 : 눈은 7시30분에떳는데
2021. 3. 22. 09:56, abyss오재 : 난왜대체지금
2021. 3. 22. 09:56, abyss오재 : 학교를가는걸까
2021. 3. 22. 09:56, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 09:56, 원준오빠 : 므아
2021. 3. 22. 09:56, abyss오재 : 하
2021. 3. 22. 09:56, 원준오빠 : 뭐했냐
2021. 3. 22. 09:56, abyss오재 : ㅠ침대개져아
2021. 3. 22. 09:56, abyss오재 : 침대에서안떨어져요
2021. 3. 22. 09:56, 원준오빠 : 므아
2021. 3. 22. 09:57, 원준오빠 : 인정한다
2021. 3. 22. 09:57, abyss오재 : 화수가
2021. 3. 22. 09:57, abyss오재 : 오늘내일임가요
2021. 3. 22. 09:57, abyss오재 : 내일모레군요
2021. 3. 22. 09:57, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ므아
2021. 3. 22. 09:57, abyss오재 : 이모티콘 
2021. 3. 22. 09:57, 원준오빠 : 침대에 뇌 ㄷㅜ고왔니야
2021. 3. 22. 09:57, abyss오재 : ㅠ
2021. 3. 22. 09:57, 정우 : 어우
2021. 3. 22. 09:57, abyss오재 : 아직얼어잇어버리기
2021. 3. 22. 09:57, 정우 : 못일어나겠어
2021. 3. 22. 09:57, abyss오재 : ㅎㅇ
2021. 3. 22. 09:57, 원준오빠 : ㅎㅇ
2021. 3. 22. 09:57, abyss오재 : 오재훈2다
2021. 3. 22. 09:57, 원준오빠 : 오2오2
2021. 3. 22. 09:57, abyss오재 : 오우
2021. 3. 22. 09:57, 정우 : 5252
2021. 3. 22. 09:58, abyss오재 : 일고ㅛㅣ반까지
2021. 3. 22. 09:58, abyss오재 : 개달려
2021. 3. 22. 10:00, 경민 : ㅎㅇ
2021. 3. 22. 10:00, abyss오재 : ㅎㅇ
2021. 3. 22. 10:00, abyss오재 : 오늘로제조짐
2021. 3. 22. 10:00, abyss오재 : 로제노래들으면서등교
2021. 3. 22. 10:00, abyss오재 : 하교에서로제떡볶이먹어야지
2021. 3. 22. 10:00, 경민 : 그러고집가서 제로 ㄱ
2021. 3. 22. 10:01, abyss오재 : 아니
2021. 3. 22. 10:01, abyss오재 : 제로
2021. 3. 22. 10:01, abyss오재 : 어제왜제로꿈꾼거같지
2021. 3. 22. 10:01, abyss오재 : 뭐지
2021. 3. 22. 10:06, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 10:07, 원준오빠 : 제로 키우기 ㄱ
2021. 3. 22. 10:07, abyss오재 : 으아학교도착
2021. 3. 22. 10:07, abyss오재 : 메플,,,
2021. 3. 22. 10:07, 경민 : 제러사이다엿음
2021. 3. 22. 10:07, 경민 : 제로;
2021. 3. 22. 10:07, abyss오재 : 아
2021. 3. 22. 10:07, abyss오재 : 그건가
2021. 3. 22. 10:07, abyss오재 : 제로사이다이번주에도3리터조짐
2021. 3. 22. 10:07, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 22. 10:07, abyss오재 : 2.5리터인가
2021. 3. 22. 10:46, 원준오빠 : 미틴
2021. 3. 22. 10:46, 원준오빠 : 아스파탐
2021. 3. 22. 10:46, 원준오빠 : 과복용이누
2021. 3. 22. 10:46, 원준오빠 : 아니 하는것도 없는데 왜 편두통오누
2021. 3. 22. 10:46, 경민 : 월여병
2021. 3. 22. 10:53, 정우 : ㅇㅈㅇㅈ
2021. 3. 22. 10:56, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋ
