Talk_2021.8.24 13:11-85.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 6월 24일 목요일
2021. 6. 24. 22:35, abyss오재 : 일단 얼찜먼저한다
2021. 6. 24. 23:01, abyss오재 : 뒤에
2021. 6. 24. 23:01, abyss오재 : 종아리뒤에
2021. 6. 24. 23:01, abyss오재 : 멍남
2021. 6. 24. 23:01, abyss오재 : 깁스때문에 ㅎㅎ
2021. 6. 24. 23:02, abyss오재 : 나참
2021. 6. 24. 23:02, abyss오재 : 깁스누가만든거야
2021. 6. 24. 23:02, 정우 : 그거땜에
2021. 6. 24. 23:02, 정우 : 그나마빨리낫는거다
2021. 6. 24. 23:02, abyss오재 : 사진
2021. 6. 24. 23:02, abyss오재 : 아 딴데로옮기는거냐
2021. 6. 24. 23:02, abyss오재 : 인성나갈개그 ㅅㅂ
2021. 6. 24. 23:02, abyss오재 : ㅠ
2021. 6. 24. 23:02, 경민 : 사진
2021. 6. 24. 23:02, 경민 : 마넌대줄게
2021. 6. 24. 23:02, 경민 : 어떰
2021. 6. 24. 23:03, 경민 : 아내일은퇴근시간이라막히려나
2021. 6. 24. 23:03, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:03, abyss오재 : 이문로3임
2021. 6. 24. 23:03, 경민 : ㅇㅇ얾ㄱ;ㄱ;
2021. 6. 24. 23:03, 경민 : 옮기기귀찬아서
2021. 6. 24. 23:03, abyss오재 : 근데그럼또그담날올라가야하잔아
2021. 6. 24. 23:03, abyss오재 : ㅜ
2021. 6. 24. 23:03, 경민 : 민족통일보이길래걍
2021. 6. 24. 23:03, abyss오재 : 하하하
2021. 6. 24. 23:03, abyss오재 : 오봐데스네
2021. 6. 24. 23:03, 경민 : 근데모분모닌ㅁ오시면
2021. 6. 24. 23:03, abyss오재 : ㅇㅇㅇ
2021. 6. 24. 23:04, abyss오재 : 그것도그렇고
2021. 6. 24. 23:04, 경민 : 그럼
2021. 6. 24. 23:04, abyss오재 : 이동길게는오바
2021. 6. 24. 23:04, 경민 : 해결책
2021. 6. 24. 23:04, 경민 : 알려준ㅁ
2021. 6. 24. 23:04, abyss오재 : 지하철에서못앉으면어캄
2021. 6. 24. 23:04, abyss오재 : 모
2021. 6. 24. 23:04, 경민 : 하이네켄
2021. 6. 24. 23:04, 경민 : 무알콜로
2021. 6. 24. 23:04, 경민 : 마시고
2021. 6. 24. 23:04, 경민 : 기분느끼기어떰
2021. 6. 24. 23:04, abyss오재 : 하이네켄무알콜이업는데
2021. 6. 24. 23:04, abyss오재 : ?!?
2021. 6. 24. 23:04, 경민 : 잇어
2021. 6. 24. 23:04, 경민 : 사진
2021. 6. 24. 23:05, 경민 : 이렇게생긴거
2021. 6. 24. 23:05, 경민 : 무알콜임
2021. 6. 24. 23:05, abyss오재 : 아니
2021. 6. 24. 23:05, abyss오재 : 울집에업다규
2021. 6. 24. 23:05, abyss오재 : 이모티콘 
2021. 6. 24. 23:05, 경민 : 아
2021. 6. 24. 23:05, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:05, 경민 : 사와야지그건;
2021. 6. 24. 23:05, 경민 : 임마;
2021. 6. 24. 23:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:08, abyss오재 : 후
2021. 6. 24. 23:08, abyss오재 : 배민구경ㄱㄴ?
2021. 6. 24. 23:09, 정우 : ㄱㄴ
2021. 6. 24. 23:10, abyss오재 : 나언제부터얼찜햇지
2021. 6. 24. 23:22, 정우 : 배민구경은 어케됨
2021. 6. 24. 23:23, 경민 : 공유 ㄱ
2021. 6. 24. 23:24, abyss오재 : 육전에소주두변
2021. 6. 24. 23:24, abyss오재 : 어떰..?
2021. 6. 24. 23:24, abyss오재 : 사진
2021. 6. 24. 23:25, 경민 : ㅅㅂㅋㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:25, 경민 : 머하는데
2021. 6. 24. 23:25, 경민 : 당장빼라
2021. 6. 24. 23:25, 경민 : ㅡㅡ
2021. 6. 24. 23:25, abyss오재 : 뭘
2021. 6. 24. 23:25, abyss오재 : 왜..?
2021. 6. 24. 23:25, abyss오재 : 내일도어차피
2021. 6. 24. 23:25, abyss오재 : 못마실테니,,,
2021. 6. 24. 23:25, abyss오재 : 오늘만딱
2021. 6. 24. 23:25, abyss오재 : 주말동안또자제감
2021. 6. 24. 23:28, 정우 : 안돼안돼
2021. 6. 24. 23:28, 정우 : 깁스풀때까지 안됨
2021. 6. 24. 23:29, abyss오재 : 사진
2021. 6. 24. 23:29, abyss오재 : 깁스풀고얼찜중이니까
2021. 6. 24. 23:29, abyss오재 : 풀엇으니잠시;;
2021. 6. 24. 23:29, abyss오재 : 푼동안조지고다시묶고
2021. 6. 24. 23:29, abyss오재 : 진짜존나답도업다
2021. 6. 24. 23:32, 재환오빠 : 혼술로 두병조짐?
2021. 6. 24. 23:32, 재환오빠 : 지리누..
2021. 6. 24. 23:32, abyss오재 : ,,,
2021. 6. 24. 23:32, abyss오재 : 이모티콘 
2021. 6. 24. 23:32, abyss오재 : 하하하
2021. 6. 24. 23:33, 경민 : ㅅㅂ
2021. 6. 24. 23:33, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:33, 경민 : 결국
2021. 6. 24. 23:33, 경민 : 명불허전이누
2021. 6. 24. 23:33, abyss오재 : 4일이면
2021. 6. 24. 23:33, abyss오재 : 그래도좀참앗다
2021. 6. 24. 23:33, abyss오재 : 아니가
2021. 6. 24. 23:34, 경민 : 아니지;
2021. 6. 24. 23:34, abyss오재 : 왜
2021. 6. 24. 23:34, abyss오재 : 니좀박하네,,
2021. 6. 24. 23:34, 빠충 : 무마 주문한거 왔는데
2021. 6. 24. 23:34, 빠충 : 약간 마음에 드는듯안드는듯
2021. 6. 24. 23:34, abyss오재 : 무마가모임
2021. 6. 24. 23:35, 빠충 : 무선마우스
2021. 6. 24. 23:35, abyss오재 : 아
2021. 6. 24. 23:35, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:35, 빠충 : ㅋㅋㅋ손아파서
2021. 6. 24. 23:35, abyss오재 : 나도손아파서,,,
2021. 6. 24. 23:35, 빠충 : 타자치기힘들어서
2021. 6. 24. 23:35, abyss오재 : ㅇㅈㅇㅈ이다...
2021. 6. 24. 23:35, 빠충 : 별다줄해봄
2021. 6. 24. 23:35, abyss오재 : 학교돈으로그런거사면
2021. 6. 24. 23:35, abyss오재 : 개꿀이다
2021. 6. 24. 23:35, abyss오재 : 이모티콘 
2021. 6. 24. 23:35, abyss오재 : 회사돈으로사라
2021. 6. 24. 23:35, abyss오재 : 그런거
2021. 6. 24. 23:36, 빠충 : 환급받은기념으로
2021. 6. 24. 23:36, 빠충 : 풀렉스
2021. 6. 24. 23:36, 빠충 : 해봄
2021. 6. 24. 23:36, 빠충 : 4마넌플렉스
2021. 6. 24. 23:36, abyss오재 : 좋네
2021. 6. 24. 23:36, abyss오재 : 나도오늘육전
2021. 6. 24. 23:36, abyss오재 : 플렉스함걸로해어겟다
2021. 6. 24. 23:40, abyss오재 : 어 내일은 tvt예매...
2021. 6. 24. 23:40, abyss오재 : 이모티콘 
2021. 6. 24. 23:41, 재환오빠 : tvt라고 부름??
2021. 6. 24. 23:41, 재환오빠 : 구린데..
2021. 6. 24. 23:41, 재환오빠 : 딱히 대안이 없네
2021. 6. 24. 23:41, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:41, abyss오재 : 샵검색 : #Tvt
2021. 6. 24. 23:41, abyss오재 : 진짜대안이업네이건
2021. 6. 24. 23:42, abyss오재 : 얘네노랜만이안들엇는데
2021. 6. 24. 23:42, abyss오재 : 끊으면 조지게듣고가야지
2021. 6. 24. 23:43, 재환오빠 : 게스트 너무많아
2021. 6. 24. 23:43, 재환오빠 : 8팀이라니
2021. 6. 24. 23:43, 재환오빠 : 결정장애옴
2021. 6. 24. 23:45, 원준오빠 : tvt
2021. 6. 24. 23:45, 원준오빠 : 울면서 웃는거같네
2021. 6. 24. 23:46, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 24. 23:46, abyss오재 : 저는 게스트들은
2021. 6. 24. 23:46, abyss오재 : 암도몰라서,,,
2021. 6. 24. 23:46, abyss오재 : ㄹㅇ한팀한팀 매일매일달라서
2021. 6. 24. 23:46, abyss오재 : Tvt
2021. 6. 24. 23:46, abyss오재 : tvt

2021년 6월 25일 금요일
2021. 6. 25. 00:10, abyss오재 : 사진
2021. 6. 25. 00:10, abyss오재 : 호호;?;
2021. 6. 25. 00:11, 경민 : 저거먼데오른쪽
2021. 6. 25. 00:11, 경민 : 오징어가
2021. 6. 25. 00:11, 경민 : 아맛잇겟다
2021. 6. 25. 00:11, 경민 : ㅠ
2021. 6. 25. 00:11, abyss오재 : 복껍질
2021. 6. 25. 00:12, abyss오재 : 안조아하는데서비스루주네
2021. 6. 25. 00:18, 경민 : 마싯겟는데
2021. 6. 25. 00:18, 경민 : 아배고파ㅏ
2021. 6. 25. 00:18, abyss오재 : 전맛잇네
2021. 6. 25. 00:19, abyss오재 : 김치맛집이고젓갈개써
2021. 6. 25. 00:25, 재환오빠 : 혼술 찐하누
2021. 6. 25. 00:26, 재환오빠 : 안주지리네..
2021. 6. 25. 00:26, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 00:26, abyss오재 : 마쉿네요,,
2021. 6. 25. 00:26, abyss오재 : 티비는 해방타운이란걸보고잇는데
2021. 6. 25. 00:26, abyss오재 : 이거재미나네요,,,,,
2021. 6. 25. 00:27, abyss오재 : 결혼한사람들혼자시간만들어주는건데
2021. 6. 25. 00:27, abyss오재 : 다들술조지네,,,
2021. 6. 25. 00:27, abyss오재 : 저기나오는집보면서
2021. 6. 25. 00:27, abyss오재 : 딱저런데만살아도좋겟다햇는데월세150
2021. 6. 25. 00:28, abyss오재 : 샵검색 : #성동 해방타운
2021. 6. 25. 00:28, abyss오재 : 샵검색 : #성동구 코리빙
2021. 6. 25. 00:29, abyss오재 : 이런데도 ㄱㅊ은듓,,,
2021. 6. 25. 00:31, 경민 : 아
2021. 6. 25. 00:31, 경민 : 갑자기케이크먹고싶어
2021. 6. 25. 00:31, abyss오재 : 카페에서
2021. 6. 25. 00:31, abyss오재 : 시켜
2021. 6. 25. 00:31, 경민 : 입터지기일보직전
2021. 6. 25. 00:31, abyss오재 : 내일먹느라
2021. 6. 25. 00:31, abyss오재 : 참는건가
2021. 6. 25. 00:31, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이시간에다문닫앗을듯
2021. 6. 25. 00:32, 경민 : 그것도그렇고...
2021. 6. 25. 00:32, 경민 : 이시간은무리임
2021. 6. 25. 00:32, 경민 : 언제자
2021. 6. 25. 00:32, abyss오재 : 4시쯤
2021. 6. 25. 00:32, abyss오재 : 자야겟다나도다먹고
2021. 6. 25. 00:32, abyss오재 : 3화까지보고자야지
2021. 6. 25. 00:32, abyss오재 : 와근데이거신기하네
2021. 6. 25. 00:33, abyss오재 : 근데존나
2021. 6. 25. 00:34, abyss오재 : 방송보면이해가되다가도안되다가도
2021. 6. 25. 00:34, abyss오재 : 운동만하느라아무것도몰랏겟지싶더라도
2021. 6. 25. 00:34, abyss오재 : 와저건심햇지싶더라도
2021. 6. 25. 00:34, abyss오재 : 곤란하네...
2021. 6. 25. 00:38, abyss오재 : 칼질은잘하시눼,,,
2021. 6. 25. 00:38, abyss오재 : 밥솥뚜껑못여는거보고울뻔햇는데
2021. 6. 25. 00:38, abyss오재 : ㄱㄱㅁ
2021. 6. 25. 00:38, abyss오재 : 네시에자셈
2021. 6. 25. 00:38, 경민 : 갑자기?
2021. 6. 25. 00:38, 경민 : 지금잠와죽기
2021. 6. 25. 00:38, 경민 : 일보직전
2021. 6. 25. 00:39, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 00:39, abyss오재 : ㅠ
2021. 6. 25. 00:39, abyss오재 : 한병완료
2021. 6. 25. 00:40, abyss오재 : 겔겔
2021. 6. 25. 00:42, abyss오재 : ㅠ누가담배조지네
2021. 6. 25. 00:44, 재환오빠 : 30분에 한병 ㄷㄷ
2021. 6. 25. 00:46, abyss오재 : 이모티콘 
2021. 6. 25. 00:46, abyss오재 : 내일또조져져서누워잇어도되는놜
2021. 6. 25. 00:46, abyss오재 : 이모티콘 
2021. 6. 25. 00:52, abyss오재 : 이종혁 이랑 아들래미는 ㄹㅇ관계도랏다
2021. 6. 25. 00:53, abyss오재 : 샵검색 : #이종혁 차
2021. 6. 25. 00:53, abyss오재 : 와우;
2021. 6. 25. 01:08, abyss오재 : 와쉬바이크가일억
2021. 6. 25. 01:08, abyss오재 : ,,;,;,;,;,;,;,;,;,;
2021. 6. 25. 01:10, abyss오재 : ㄹㅇ존멋은장윤정이엇는데 6청만원스피커 앞에서 살까말까고민하고 있는장면나온뒤에 제가 돈때문에고민하는건 아니라고 말해도 아무도 안믿는다고 ,,,,
2021. 6. 25. 01:11, abyss오재 : 뭔소리야
2021. 6. 25. 01:11, abyss오재 : 돈땨문에고민하다고하면 아무도안믿는다고지
2021. 6. 25. 01:11, abyss오재 : ㅂㅅ이냐?
2021. 6. 25. 01:14, abyss오재 : 이종혁인터뷰하는ㄱ계속술취한상태같아;;;;;;;
2021. 6. 25. 01:30, abyss오재 : 종료
2021. 6. 25. 01:30, abyss오재 : 겔겔겔
2021. 6. 25. 01:31, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ재밋누
2021. 6. 25. 01:32, abyss오재 : 장윤정말재밋게하는거도랏어유
2021. 6. 25. 01:32, abyss오재 : 도경완이자기바이크타고싶다니까
2021. 6. 25. 01:32, abyss오재 : 언제부터되냐니까
2021. 6. 25. 01:32, abyss오재 : 당신의빈자리가느껴지지않을때
2021. 6. 25. 01:32, abyss오재 : ㄹㅇ 진짜 ㅁㅊ
2021. 6. 25. 01:32, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ죽어도상관없을때;;
2021. 6. 25. 01:33, abyss오재 : 개웃기네장윤정
2021. 6. 25. 01:33, abyss오재 : 또티비보러슉슉
2021. 6. 25. 01:34, abyss오재 : 도연우울겟누
2021. 6. 25. 01:34, abyss오재 : 도경완이구나
2021. 6. 25. 01:39, abyss오재 : 장윤정요리슉슉존나잘해,,
2021. 6. 25. 01:39, abyss오재 : 티비충
2021. 6. 25. 02:23, 경민 : 오재훈이내린저주에걸렷나봄
2021. 6. 25. 02:23, 경민 : 아직도못자는중;
2021. 6. 25. 02:23, 경민 : 이러다진짜4시에자겟네;
2021. 6. 25. 02:24, abyss오재 : ㅎㅇ
2021. 6. 25. 02:24, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:24, 경민 : 아너무배고파
2021. 6. 25. 02:24, 경민 : ㅠㅠ
2021. 6. 25. 02:24, abyss오재 : 저주 먹히누
2021. 6. 25. 02:24, 경민 : 불닭먹고싶다
2021. 6. 25. 02:24, abyss오재 : 이게그니까
2021. 6. 25. 02:24, abyss오재 : 집에닭소50개
2021. 6. 25. 02:25, abyss오재 : 사놓으면 ㄱㅊ음
2021. 6. 25. 02:25, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:25, 경민 : 아니그거잇어도이시간애먹으면
2021. 6. 25. 02:25, 경민 : 에바쎄바참치
2021. 6. 25. 02:25, abyss오재 : 배고파도안부담스럽게먹을수잇단말이쥐,,
2021. 6. 25. 02:25, abyss오재 : ㄴㄴ100칼로리임;;
2021. 6. 25. 02:25, 경민 : 아자야돠는데
2021. 6. 25. 02:25, 경민 : 나는내가안다
2021. 6. 25. 02:25, abyss오재 : 얘기하니먹고싶네
2021. 6. 25. 02:25, 경민 : 그거먹자나?
2021. 6. 25. 02:25, 경민 : 바로
2021. 6. 25. 02:25, abyss오재 : 열개
2021. 6. 25. 02:25, 경민 : 입터져서
2021. 6. 25. 02:25, 경민 : 배달시킴
2021. 6. 25. 02:25, abyss오재 : 먹나
2021. 6. 25. 02:25, 경민 : ㅇㅇ;
2021. 6. 25. 02:25, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:25, 경민 : 천칼순삭
2021. 6. 25. 02:25, abyss오재 : 나는육전
2021. 6. 25. 02:25, abyss오재 : 삼분의이남김
2021. 6. 25. 02:25, 경민 : 아육전
2021. 6. 25. 02:25, 경민 : 맛잇겟다ㅠ
2021. 6. 25. 02:25, 경민 : 배고파ㅠ
2021. 6. 25. 02:25, abyss오재 : 낼먹어야지
2021. 6. 25. 02:26, abyss오재 : 낼또엄빠한테화낼까봐
2021. 6. 25. 02:26, abyss오재 : 머리집중중
2021. 6. 25. 02:26, 경민 : 엥
2021. 6. 25. 02:26, abyss오재 : 어그래엄빠올려면와 이래야지
2021. 6. 25. 02:26, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:26, abyss오재 : 짜증나는이유뭔지앎?
2021. 6. 25. 02:26, 경민 : ㄱㄱ
2021. 6. 25. 02:26, abyss오재 : 논리가안돼서
2021. 6. 25. 02:26, abyss오재 : 나다리다쳤지
2021. 6. 25. 02:26, abyss오재 : 엄마다리다쳤지
2021. 6. 25. 02:26, 경민 : ㅇㅇ
2021. 6. 25. 02:26, abyss오재 : 서울와서누가일할건데
2021. 6. 25. 02:26, abyss오재 : 엄마가하거든
2021. 6. 25. 02:26, abyss오재 : 그럼더나빠짖
2021. 6. 25. 02:26, 경민 : ㅠ
2021. 6. 25. 02:26, abyss오재 : 그럼왜오냐고;
2021. 6. 25. 02:26, 경민 : 근데그거알제
2021. 6. 25. 02:26, 경민 : 아들
2021. 6. 25. 02:26, 경민 : 걱정되는
2021. 6. 25. 02:26, 경민 : 부모님마음
2021. 6. 25. 02:26, abyss오재 : 그건알지
2021. 6. 25. 02:27, 경민 : 아니가
2021. 6. 25. 02:27, 경민 : ㅜ
2021. 6. 25. 02:27, abyss오재 : 근데
2021. 6. 25. 02:27, 경민 : 휴근데진짜
2021. 6. 25. 02:27, abyss오재 : 그래서남는게뭔데
2021. 6. 25. 02:27, 경민 : 세상어렵다어려오
2021. 6. 25. 02:27, abyss오재 : 치료만더길어지지
2021. 6. 25. 02:27, 경민 : 부모님이둔둔하시겟지
2021. 6. 25. 02:27, 경민 : 니얼굴보면
2021. 6. 25. 02:27, abyss오재 : 그래봣자
2021. 6. 25. 02:27, abyss오재 : 아픈게달라지나
2021. 6. 25. 02:27, abyss오재 : 뭐그래서
2021. 6. 25. 02:27, abyss오재 : 하이튼뭐낼결정햇다그러면
2021. 6. 25. 02:27, abyss오재 : 넴해야지뭐
2021. 6. 25. 02:27, 경민 : F좀 늘리셈 오재훈
2021. 6. 25. 02:27, 경민 : 어껌
2021. 6. 25. 02:27, 경민 : 어떰
2021. 6. 25. 02:27, abyss오재 : 그게먼데
2021. 6. 25. 02:27, abyss오재 : 아니
2021. 6. 25. 02:27, 경민 : 감성
2021. 6. 25. 02:27, 경민 : ㅎ;
2021. 6. 25. 02:27, abyss오재 : 논리가안되잖아
2021. 6. 25. 02:27, abyss오재 : 하
2021. 6. 25. 02:27, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:27, abyss오재 : 누가평생보지말자한것도아니고
2021. 6. 25. 02:28, 경민 : 먼지앎나도내상황이면그럴듯
2021. 6. 25. 02:28, abyss오재 : 빨리낫고보자둘다
2021. 6. 25. 02:28, abyss오재 : 이건데
2021. 6. 25. 02:28, 경민 : 마자근데
2021. 6. 25. 02:28, 경민 : 다음주
2021. 6. 25. 02:28, 경민 : 내랴간대매
2021. 6. 25. 02:28, abyss오재 : 그니까
2021. 6. 25. 02:28, 경민 : 아그담주구나
2021. 6. 25. 02:28, abyss오재 : 내일그거얘기해야함
2021. 6. 25. 02:28, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:28, 경민 : 그
2021. 6. 25. 02:28, abyss오재 : 그게딜임
2021. 6. 25. 02:28, 경민 : 나도존나
2021. 6. 25. 02:28, 경민 : 엄빠한테말할때
2021. 6. 25. 02:28, 경민 : 답답한거잇거든
2021. 6. 25. 02:28, 경민 : 그럴때
2021. 6. 25. 02:28, 경민 : 승질내면서말하는거좀
2021. 6. 25. 02:28, 경민 : 고쳐야되는데
2021. 6. 25. 02:28, 경민 : ㅅㅂ
2021. 6. 25. 02:28, 경민 : 나ㅕ년
2021. 6. 25. 02:28, abyss오재 : 아니
2021. 6. 25. 02:28, abyss오재 : 하
2021. 6. 25. 02:28, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 25. 02:28, abyss오재 : 진짜
2021. 6. 25. 02:28, abyss오재 : 하
2021. 6. 25. 02:29, abyss오재 : 그냥 하임하
2021. 6. 25. 02:29, abyss오재 : Rg;?
2021. 6. 25. 02:29, 경민 : Rgrg
2021. 6. 25. 02:29, 경민 : 아
2021. 6. 25. 02:29, 경민 : 깐쇼새우먹고싳다
2021. 6. 25. 02:29, 경민 : 지금배고파서
2021. 6. 25. 02:29, 경민 : 브로콜리도
2021. 6. 25. 02:29, abyss오재 : 중국집가자
2021. 6. 25. 02:29, 경민 : 맛잇게먹을수잇는수준임
2021. 6. 25. 02:29, 경민 : 이시간에
2021. 6. 25. 02:29, 경민 : 쿠팡이츠
2021. 6. 25. 02:29, 경민 : 궁금해서한번들어가봄
2021. 6. 25. 02:29, 경민 : 연데잇나
2021. 6. 25. 02:30, abyss오재 : 다잇지임마
2021. 6. 25. 02:31, abyss오재 : 근데
2021. 6. 25. 02:31, abyss오재 : 내일온다하면그냥그래엄빠맘대로해
2021. 6. 25. 02:31, abyss오재 : 이생각지금존나갖고잇다가도
